,,,,,RSU,No.,5,,,,,
Article,2,Special,Education- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.2800.2160.51010.040,,OT Salary,"$10,739.04","$10,139.53",,"$12,138.12",,"$22,422.00","$13,802.00","($8,620.00)",(38.44)
,1000.2800.2160.52010.040,,OT Benefits,$199.10,,$32.07,,$958.10,"$12,832.00","$1,007.00","($11,825.00)",(92.15)
,1000.2800.2160.52310.040,,Retirement,$446.69,,$109.08,,$483.69,"$1,537.00",$617.00,($920.00),(59.86)
,1000.2800.2160.55800.040,,Travel,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS - 2800,"$11,384.83","$10,280.68",,"$13,579.91",,"$36,916.00","$15,426.00","($21,490.00)",(58.21)
Function:,OT -,2160,,"$11,384.83","$10,280.68",,"$13,579.91",,"$36,916.00","$15,426.00","($21,490.00)",(58.21)
Cost,Center:,MAST LANDING,- 040,"$418,131.53","$345,641.24",,"$538,517.69",,"$660,483.00","$542,675.00","($117,808.00)",(17.84)
,1000.2200.1000.51010.050,,Teacher Salaries,"$116,253.54","$120,507.69",,"$110,644.93",,"$111,113.00","$126,036.00","$14,923.00",13.43
,1000.2200.1000.51020.050,,Ed Tech Salaries,"$25,023.34","$48,225.78",,"$92,390.53",,"$73,304.00","$132,625.00","$59,321.00",80.92
,1000.2200.1000.52010.050,,Teacher Benefits,"$29,208.25","$6,551.18",,"$30,372.93",,"$22,567.00","$43,996.00","$21,429.00",94.96
,1000.2200.1000.52020.050,,Ed Tech Benefits,"$9,248.39","$3,514.61",,"$20,774.68",,"$21,336.00","$46,650.00","$25,314.00",118.64
,1000.2200.1000.52310.050,,Retirement,"$4,881.57","$1,170.29",,,"$4,248.76","$4,622.00","$5,634.00","$1,012.00",21.90
,1000.2200.1000.52320.050,,Retirement,"$1,180.04",,$407.86,,"$3,283.24","$3,049.00","$6,343.00","$3,294.00",108.04
Program:,,RESOURCE,CLASSROOM PLACEMENT - 2200,"$185,795.13","$180,377.41",,"$261,715.07",,"$235,991.00","$361,284.00","$125,293.00",53.09
,1000.2300.1000.51010.050,,Teacher Salaries,"$79,991.06","$125,125.02",,"$145,504.33",,"$151,212.00","$138,242.00","($12,970.00)",(8.58)
,1000.2300.1000.51020.050,,Ed Tech Salaries,"$140,092.62","$175,540.61",,"$156,972.57",,"$186,324.00","$194,216.00","$7,892.00",4.24
,1000.2300.1000.52010.050,,Teacher Benefits,"$22,186.05","$4,828.55",,"$37,552.66",,"$38,139.00","$32,098.00","($6,041.00)",(15.84)
,1000.2300.1000.52020.050,,Ed Tech Benefits,"$50,226.77","$5,027.11",,"$30,148.05",,"$59,409.00","$47,081.00","($12,328.00)",(20.75)
,1000.2300.1000.52310.050,,Retirement,"$2,845.34",,$668.94,,"$5,587.22","$6,290.00","$6,179.00",($111.00),(1.76)
,1000.2300.1000.52320.050,,Retirement,"$6,195.22","$1,684.87",,,"$5,055.93","$7,751.00","$9,289.00","$1,538.00",19.84
Program:,SELF,CONTAINED,CLASS PLACEMENT - 2300,"$301,537.06","$312,875.10",,"$380,820.76",,"$449,125.00","$427,105.00","($22,020.00)",(4.90)
,Page,22 of 80,,,,,,,,,,
