,,,,RSU,No. 5,,,,,,,
,FY27 Article,11 All,Other Expenditures- Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,
,1000.0000.3100.59100.900,,Nutrition Assessment,$0.00,"$293,245.00",,"$185,334.00","$139,591.00","$69,796.00","($69,795.00)",,(50.00)
,Program:,OVERHEAD - 0000,,$0.00,"$293,245.00",,"$185,334.00","$139,591.00","$69,796.00","($69,795.00)",,(50.00)
,Function: FOOD,SERVICES,OPERATIONS - 3100,$0.00,"$293,245.00",,"$185,334.00","$139,591.00","$69,796.00","($69,795.00)",,(50.00)
Cost,Center:,SYSTEM WIDE -,900,$0.00,"$293,245.00",,"$185,334.00","$139,591.00","$69,796.00","($69,795.00)",,(50.00)
Grand,Total:,,,$0.00,"$293,245.00",,"$185,334.00","$139,591.00","$69,796.00","($69,795.00)",,(50.00)
,,,,End of,Report,,,,,,,
,,,,Page 89,of 89,,,,,,,
