,,,,,,RSU,No. 5,,,,,,,
,FY27 Article,1 Regular,Instruction-,Proposed,,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition:,FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,,
,Function:,REGULAR INSTRUCTION,- 1000,,"$952,750.95",,"$1,012,534.26",,"$988,121.87","$1,226,403.00","$1,196,683.00","($29,720.00)",,(2.42)
Cost,Center:,POWNAL ELEMENTARY,- 030,,"$952,750.95",,"$1,012,534.26",,"$988,121.87","$1,226,403.00","$1,196,683.00","($29,720.00)",,(2.42)
,1000.1100.1000.51010.040,,Teacher,Salaries,"$1,347,635.74",,"$1,382,269.93",,"$1,535,640.93","$1,771,344.00","$1,673,143.00","($98,201.00)",,(5.54)
,1000.1100.1000.51020.040,,Ed,Tech Salaries,"$52,422.61",,,"$80,864.99","$64,206.95","$29,472.00",$0.00,"($29,472.00)",,(100.00)
,1000.1100.1000.51230.040,,,Substitute Wages,"$32,974.25",,,"$40,866.08","$73,039.64","$43,727.00","$52,387.00",,"$8,660.00",19.80
,1000.1100.1000.51500.040,,Stipends,,,$0.00,,$0.00,$0.00,"$2,400.00","$2,400.00",,$0.00,0.00
,1000.1100.1000.52000.040,,Stipend,Benefits,,$0.00,,$0.00,$0.00,$81.00,$81.00,,$0.00,0.00
,1000.1100.1000.52010.040,,Teacher,Benefits,"$312,984.83",,"$341,645.17",,"$344,789.21","$443,878.00","$440,473.00","($3,405.00)",,(0.77)
,1000.1100.1000.52020.040,,Ed,Tech Benefits,"$8,359.80",,,"$11,232.62","$2,315.68","$6,118.00",$0.00,"($6,118.00)",,(100.00)
,1000.1100.1000.52030.040,,,Substitute Benefits,"$2,178.14",,,"$2,302.62","$5,551.17","$1,412.00","$4,940.00",,"$3,528.00",249.86
,1000.1100.1000.52300.040,,,Retirement - Stipends,,$0.00,,$0.00,$0.00,$107.00,$107.00,,$0.00,0.00
,1000.1100.1000.52310.040,,,Retirement,"$58,257.41",,,"$62,425.79","$71,171.19","$79,179.00","$74,789.00","($4,390.00)",,(5.54)
,1000.1100.1000.52320.040,,,Retirement,$898.14,,,"$2,112.59","$1,251.26","$1,328.00",$0.00,"($1,328.00)",,(100.00)
