,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,,
,1000.0000.2130.51010.010,,,,Nurse Salary,,"$73,164.93","$75,001.20",,"$88,966.36","$91,021.00","$97,392.00",,"$6,371.00",7.00
,1000.0000.2130.51200.010,,,,Nurse,Substitute - DCS,$0.00,,"$1,459.02","$2,081.52",$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52000.010,,,,Employee,Benefits,$0.00,,$100.39,$159.10,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52010.010,,,,Nurse Benefits,,"$18,421.44","$14,359.24",,"$12,168.25","$20,799.00","$22,330.00",,"$1,531.00",7.36
,1000.0000.2130.52300.010,,,,Retirement,- Stipends,$0.00,,$10.87,$11.63,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52310.010,,,,Retirement,,"$2,782.78",,"$3,352.45","$3,785.49","$4,069.00","$4,353.00",,$284.00,6.98
,1000.0000.2130.53000.010,,,,Professional,Services,$319.00,,$279.00,$268.99,$300.00,$300.00,,$0.00,0.00
,1000.0000.2130.54310.010,,,,Repairs &,Maintenance,$0.00,,$75.00,$0.00,$135.00,$135.00,,$0.00,0.00
,1000.0000.2130.55800.010,,,,Travel,,$0.00,,$25.46,$9.38,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.56000.010,,,,Supplies,,"$1,209.02",,"$1,396.38","$1,436.24","$1,701.00","$1,868.00",,$167.00,9.82
,1000.0000.2130.58100.010,,,,Dues & Fees,,$0.00,,$0.00,$150.00,$180.00,$180.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,,"$95,897.17","$96,059.01",,"$109,036.96","$118,205.00","$126,558.00",,"$8,353.00",7.07
Function:,HEALTH,SERVICES,- 2130,,,,"$95,897.17","$96,059.01",,"$109,036.96","$118,205.00","$126,558.00",,"$8,353.00",7.07
,1000.0000.2213.51500.010,,,,Stipends-Acad,Leadership,"$43,191.00","$43,431.75",,"$42,671.10","$32,962.00","$32,962.00",,$0.00,0.00
,,,,,and LCC,,,,,,,,,,
,1000.0000.2213.52000.010,,,,Stipend,Benefits - DCS,"$7,383.56",,"$6,842.34","$7,073.10","$1,108.00","$1,108.00",,$0.00,0.00
,1000.0000.2213.52300.010,,,,Stipend,Retirement - DCS,"$1,658.68",,"$1,932.97","$1,903.11","$1,473.00","$1,473.00",,$0.00,0.00
,1000.0000.2213.52510.010,,,,Tuition,Reimbursement,$70.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,,"$52,303.24","$52,207.06",,"$51,647.31","$35,543.00","$35,543.00",,$0.00,0.00
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,,"$52,303.24","$52,207.06",,"$51,647.31","$35,543.00","$35,543.00",,$0.00,0.00
,,,,,,,Page,46 of 89,,,,,,,
