,,,,,,,,,RSU No.,5,,,,,,,,
,Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,Description,,,,,,,,,,,,
,,1000.0000.2600.51180.010,,Salaries,,,,"$135,530.83",,"$168,699.54","$194,423.20",,"$176,779.00",,"$197,358.00","$20,579.00",,11.64
,,1000.0000.2600.52080.010,,Custodian,Benefits,,,"$26,080.71",,"$46,898.86","$53,127.43",,"$68,362.00",,"$56,719.00","($11,643.00)",,(17.03)
,,1000.0000.2600.52380.010,,Retirement,,,,$0.00,,$764.05,"$1,677.39",,"$2,371.00",,"$9,868.00","$7,497.00",,316.20
,,1000.0000.2600.53300.010,,Employee,Training,,,$0.00,,$0.00,,$0.00,,$0.00,$125.00,,$125.00,0.00
,,1000.0000.2600.54300.010,,Purchased,,Repairs/Maint,,"$81,654.57",,"$85,022.55","$98,904.85",,"$90,000.00",,"$104,144.00","$14,144.00",,15.72
,,1000.0000.2600.55200.010,,Insurance,,,,"$28,095.44",,"$32,411.20","$32,679.04",,"$22,746.00",,"$43,425.00","$20,679.00",,90.91
,,1000.0000.2600.55320.010,,Telephone,,,,"$4,102.28",,"$4,552.16","$9,217.33",,"$4,800.00",,"$9,494.00","$4,694.00",,97.79
,,1000.0000.2600.55800.010,,Travel,,,,$54.75,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56000.010,,Supplies,,,,"$30,802.40",,"$21,856.51","$31,415.80",,"$28,500.00",,"$28,500.00",,$0.00,0.00
,,1000.0000.2600.56011.010,,Materials,for Repair,,,"$5,728.92",,"$2,554.61","$2,321.61",,"$10,000.00",,"$9,100.00",($900.00),,(9.00)
,,1000.0000.2600.56013.010,,Major,Maintenance,,,"$5,093.72",,"$10,610.00","$4,980.32",,"$8,600.00",,"$16,500.00","$7,900.00",,91.86
,,1000.0000.2600.56050.010,,Furniture,& Equipment,- Non Instructional,DCS,$0.00,,$244.07,,$0.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2600.56220.010,,Electricity,- Durham,,,"$90,686.87",,"$123,515.62","$86,520.41",,"$154,000.00",,"$142,000.00","($12,000.00)",,(7.79)
