,,,,,RSU,No.,5,,,,,
FY25,Article,7 School,Administration-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2400.51040.010,,Admin Salary,"$221,072.09","$216,412.08",,"$230,806.00",,"$229,606.00","$252,894.00","$23,288.00",10.14
,1000.0000.2400.51180.010,,Support Wages,"$79,948.21","$82,243.08",,"$82,988.27",,"$82,032.00","$94,464.00","$12,432.00",15.16
,1000.0000.2400.52040.010,,Admin Benefits,"$46,526.14","$49,286.08",,"$51,312.82",,"$64,477.00","$57,776.00","($6,701.00)",(10.39)
,1000.0000.2400.52080.010,,Support Benefits,"$16,319.87","$22,953.12",,"$23,255.02",,"$37,655.00","$23,666.00","($13,989.00)",(37.15)
,1000.0000.2400.52340.010,,Retirement,"$3,392.40","$8,430.56",,,"$8,816.86","$10,674.00","$11,305.00",$631.00,5.91
,1000.0000.2400.52380.010,,Retirement,$339.20,,$0.00,,$0.00,"$2,053.00","$4,723.00","$2,670.00",130.05
,1000.0000.2400.53400.010,,Other Professional Services,$0.00,,$0.00,,$0.00,$0.00,$240.00,$240.00,0.00
,1000.0000.2400.55310.010,,Postage,"$1,738.70","$2,684.49",,,"$1,754.45","$2,250.00","$2,250.00",$0.00,0.00
,1000.0000.2400.55800.010,,Travel,$16.24,,$0.00,,$408.77,$520.00,$520.00,$0.00,0.00
,1000.0000.2400.56000.010,,Supplies,"$1,150.22",,$800.52,,"$1,028.67","$1,200.00","$1,200.00",$0.00,0.00
,1000.0000.2400.56100.010,,Supplies,$75.65,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2400.56400.010,,Books,$160.76,,$81.72,,$49.90,$150.00,$150.00,$0.00,0.00
,1000.0000.2400.58100.010,,Dues & Fees,$730.00,,$878.00,,$421.21,"$1,150.00","$1,200.00",$50.00,4.35
,1000.0000.2400.58150.010,,Fingerprinting Fees - DCS,$0.00,,$70.00,,$0.00,$0.00,$0.00,$0.00,0.00
,Program:,OVERHEAD - 0000,,"$371,469.48","$383,839.65",,"$400,841.97",,"$431,767.00","$450,388.00","$18,621.00",4.31
,Function: SCHOOL,,ADMINISTRATION - 2400,"$371,469.48","$383,839.65",,"$400,841.97",,"$431,767.00","$450,388.00","$18,621.00",4.31
Cost,Center:,DURHAM,COMMUNITY - 010,"$371,469.48","$383,839.65",,"$400,841.97",,"$431,767.00","$450,388.00","$18,621.00",4.31
,1000.0000.2400.51040.020,,Admin Salary,"$111,372.40","$108,562.31",,"$117,628.00",,"$193,651.00","$228,008.00","$34,357.00",17.74
,1000.0000.2400.51180.020,,Support Wages,"$56,965.58","$51,156.74",,"$53,659.62",,"$51,961.00","$61,815.00","$9,854.00",18.96
,03/13/2024,,,,,,,,,,64,
,,,,,RSU,No.,5,,,,,
FY25,Article,7 School,Administration-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2400.52040.020,,Admin Benefits,"$5,725.00","$7,065.47",,,"$7,587.81","$42,363.00","$45,132.00","$2,769.00",6.54
,1000.0000.2400.52080.020,,Support Benefits,"$5,520.61","$12,081.62",,"$11,880.93",,"$17,564.00","$18,519.00",$955.00,5.44
,1000.0000.2400.52340.020,,Retirement,"$1,708.90","$4,381.16",,,"$4,547.98","$9,002.00","$9,882.00",$880.00,9.78
,1000.0000.2400.52380.020,,Retirement,$0.00,"$2,004.15",,,"$1,957.74","$2,175.00","$3,091.00",$916.00,42.11
,1000.0000.2400.53400.020,,Other Professional Services,$0.00,,$0.00,,$0.00,$0.00,$240.00,$240.00,0.00
,1000.0000.2400.55310.020,,Postage,$569.92,,$918.57,,$717.70,"$1,000.00","$1,000.00",$0.00,0.00
,1000.0000.2400.55800.020,,Travel,$16.24,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2400.56000.020,,Supplies,$140.64,,$339.12,,$418.59,$500.00,$500.00,$0.00,0.00
,1000.0000.2400.58100.020,,Dues & Fees,$340.00,,$340.00,,$340.00,$575.00,"$1,150.00",$575.00,100.00
,Program:,OVERHEAD - 0000,,"$182,359.29","$186,849.14",,"$198,738.37",,"$319,091.00","$369,637.00","$50,546.00",15.84
,Function: SCHOOL,,ADMINISTRATION - 2400,"$182,359.29","$186,849.14",,"$198,738.37",,"$319,091.00","$369,637.00","$50,546.00",15.84
Cost,Center:,MORSE STREET,- 020,"$182,359.29","$186,849.14",,"$198,738.37",,"$319,091.00","$369,637.00","$50,546.00",15.84
,1000.0000.2400.51040.030,,Admin Salary,"$111,353.31","$108,629.62",,"$118,228.00",,"$117,628.00","$128,449.00","$10,821.00",9.20
,1000.0000.2400.51180.030,,Support Wages,"$37,425.53","$43,164.13",,"$38,519.01",,"$35,686.00","$48,993.00","$13,307.00",37.29
,1000.0000.2400.52040.030,,Admin Benefits,"$9,921.64","$11,289.80",,"$34,212.32",,"$28,251.00","$28,955.00",$704.00,2.49
,1000.0000.2400.52080.030,,Support Benefits,"$4,967.33","$3,914.33",,,"$3,337.60","$9,039.00","$11,649.00","$2,610.00",28.87
,1000.0000.2400.52340.030,,Retirement,"$1,708.90","$4,237.42",,,"$4,516.98","$5,468.00","$5,742.00",$274.00,5.01
,1000.0000.2400.52380.030,,Retirement,$0.00,,$0.00,,$7.82,"$1,909.00","$2,450.00",$541.00,28.34
,1000.0000.2400.53400.030,,Other Professional Services,$0.00,,$0.00,,$0.00,$0.00,$240.00,$240.00,0.00
,1000.0000.2400.55310.030,,Postage,$280.43,,$233.70,,$300.84,$400.00,$400.00,$0.00,0.00
,1000.0000.2400.55800.030,,Travel,$16.24,,$235.46,,$533.12,$470.00,$470.00,$0.00,0.00
,03/13/2024,,,,,,,,,,65,
