,,,,,,RSU,No.,5,,,,,
,Article 7,School,Administration,- - Adopted,,,,,,,,,
From,Date:,7/1/2022,To,Date: 6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY23,Adopted,,
,Account,,,Description,,,,,,,,,
,1000.0000.2400.56000.300,,Supplies,,"$1,502",,"$1,307",,"$2,000","$2,000","$2,000",$0,0.00
,1000.0000.2400.56100.010,,Supplies,,$984,,$836,,$76,$0,$0,$0,0.00
,1000.0000.2400.56400.010,,Books,,$132,,$63,,$161,$150,$150,$0,0.00
,1000.0000.2400.58100.010,,Dues & Fees,,$799,,$630,,$730,"$1,150","$1,150",$0,0.00
,1000.0000.2400.58100.020,,Dues & Fees,,$290,,$290,,$340,$575,$575,$0,0.00
,1000.0000.2400.58100.030,,Dues & Fees,,$482,,$290,,$429,$575,$575,$0,0.00
,1000.0000.2400.58100.040,,Dues & Fees,,$290,,$290,,$0,$110,$450,$340,309.09
,1000.0000.2400.58100.050,,Dues & Fees,,$0,,$565,,$0,$810,$900,$90,11.11
,1000.0000.2400.58100.300,,Dues and,Fees,"$6,695",,"$5,751",,"$5,278","$6,523","$6,823",$300,4.60
,Function: SCHOOL,ADMINISTRATION,-,2400,"$1,534,924","$1,636,101",,"$1,670,328",,"$1,767,263","$1,942,616","$175,353",9.92
Grand,Total:,,,,"$1,534,924","$1,636,101",,"$1,670,328",,"$1,767,263","$1,942,616","$175,353",9.92
,,,,,,End,of Report,,,,,,
