,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education,- Adopted,,,,,,,,,,
From,Date:,3/22/2023,,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,,FY24,Adopted,,,
,Account,,,Description,,,,,,,,,,
,1000.2800.2190.51010.900,,BCBA,Salary,$0.00,,$0.00,,$0.00,$0.00,"$70,000.00",,"$70,000.00",0.00
,1000.2800.2190.52010.900,,BCBA,Benefits,$0.00,,$0.00,,$0.00,$0.00,"$18,000.00",,"$18,000.00",0.00
,1000.2800.2190.52310.900,,BCBA,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$2,000.00",,"$2,000.00",0.00
Fund:,GENERAL,FUND - 1000,,,"$4,090,541.89","$3,776,139.68",,"$4,319,465.25",,"$4,972,716.00","$5,366,821.00",,"$394,105.00",7.93
Grand,Total:,,,,"$4,090,541.89","$3,776,139.68",,"$4,319,465.25",,"$4,972,716.00","$5,366,821.00",,"$394,105.00",7.93
,,,,,,End,of Report,,,,,,,
,,03/22/2023,,,,,,,,,,,Page 21,
