,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,Education- Proposed,,,,,,,,,
From,Date:,3/1/2024,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.2800.2160.52310.300,,Retirement,$54.48,,$241.89,,$248.56,$308.00,$301.00,($7.00),(2.27)
Program:,OTHER,SPECIAL PROGRAMS,- 2800,"$5,140.02","$6,790.47",,,"$7,237.83","$7,713.00","$7,548.00",($165.00),(2.14)
Function:,OT - 2160,,,"$5,140.02","$6,790.47",,,"$7,237.83","$7,713.00","$7,548.00",($165.00),(2.14)
Cost,Center:,FREEPORT HIGH,SCHOOL - 300,"$634,329.48","$668,848.24",,"$649,264.37",,"$771,339.00","$854,310.00","$82,971.00",10.76
,1000.2800.2110.55800.900,Social,Worker Travel,$0.00,,$0.00,,$0.00,$300.00,$0.00,($300.00),(100.00)
Program:,OTHER,SPECIAL PROGRAMS,- 2800,$0.00,,$0.00,,$0.00,$300.00,$0.00,($300.00),(100.00)
Function:,Attendance,& Social Work,- 2110,$0.00,,$0.00,,$0.00,$300.00,$0.00,($300.00),(100.00)
,1000.2800.2140.55800.900,,Psychologist Travel - District Wide,$0.00,,$0.00,,$0.00,"$1,785.00","$1,100.00",($685.00),(38.38)
Program:,OTHER,SPECIAL PROGRAMS,- 2800,$0.00,,$0.00,,$0.00,"$1,785.00","$1,100.00",($685.00),(38.38)
Function:,,PSYCHOLOGICAL - 2140,,$0.00,,$0.00,,$0.00,"$1,785.00","$1,100.00",($685.00),(38.38)
,1000.2800.2150.55800.900,Travel,- Speech District Wide,$0.00,,$0.00,,$0.00,$375.00,$0.00,($375.00),(100.00)
Program:,OTHER,SPECIAL PROGRAMS,- 2800,$0.00,,$0.00,,$0.00,$375.00,$0.00,($375.00),(100.00)
Function:,SPEECH,& AUDIOLOGY -,2150,$0.00,,$0.00,,$0.00,$375.00,$0.00,($375.00),(100.00)
,1000.2800.2160.55800.900,Travel,- OT - District Wide,$0.00,,$0.00,,$0.00,$835.00,$300.00,($535.00),(64.07)
Program:,OTHER,SPECIAL PROGRAMS,- 2800,$0.00,,$0.00,,$0.00,$835.00,$300.00,($535.00),(64.07)
Function:,OT - 2160,,,$0.00,,$0.00,,$0.00,$835.00,$300.00,($535.00),(64.07)
,03/13/2024,,,,,,,,,,26,
