,,,,,RSU,No.,5,,,,,,
Article,9 Operations,& Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,Program:,OVERHEAD - 0000,"$412,608.00",$0.00,"$412,608.00",,$0.00,$0.00,"$412,608.00","$108,240.00","$304,368.00",73.77%
,Function:,OPERATION,OF PLANT - 2600,"$412,608.00",$0.00,"$412,608.00",,$0.00,$0.00,"$412,608.00","$108,240.00","$304,368.00",73.77%
,,Cost Center: MAST,LANDING - 040,"$412,608.00",$0.00,"$412,608.00",,$0.00,$0.00,"$412,608.00","$108,240.00","$304,368.00",73.77%
,1000.0000.2600.51180.050,Custodian Salaries,,"$245,456.00",$0.00,"$245,456.00",,$0.00,$0.00,"$245,456.00","$228,604.50","$16,851.50",6.87%
,1000.0000.2600.52080.050,Custodian Benefits,,"$106,699.00",$0.00,"$106,699.00",,$0.00,$0.00,"$106,699.00",$0.00,"$106,699.00",100.00%
,1000.0000.2600.52380.050,Retirement,,"$12,273.00",$0.00,"$12,273.00",,$0.00,$0.00,"$12,273.00",$0.00,"$12,273.00",100.00%
,1000.0000.2600.53000.050,Purchased,Professional,$118.00,$0.00,,$118.00,$0.00,$0.00,$118.00,$0.00,$118.00,100.00%
,1000.0000.2600.53300.050,Employee Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
,1000.0000.2600.54100.050,Water/Sewage,,"$13,167.00",$0.00,"$13,167.00",,$0.00,$0.00,"$13,167.00",$0.00,"$13,167.00",100.00%
,1000.0000.2600.54300.050,Purchased Repair,,"$57,081.00",$0.00,"$57,081.00",,$0.00,$0.00,"$57,081.00",$0.00,"$57,081.00",100.00%
,1000.0000.2600.55200.050,Insurance,,"$20,787.00",$0.00,"$20,787.00",,$0.00,$0.00,"$20,787.00",$0.00,"$20,787.00",100.00%
,1000.0000.2600.55320.050,Telephone,,"$9,183.00",$0.00,"$9,183.00",,$0.00,$0.00,"$9,183.00",$0.00,"$9,183.00",100.00%
,1000.0000.2600.55800.050,Travel,,$15.00,$0.00,,$15.00,$0.00,$0.00,$15.00,$0.00,$15.00,100.00%
,1000.0000.2600.56000.050,Supplies,,"$22,525.00",$0.00,"$22,525.00",,$0.00,$0.00,"$22,525.00",$0.00,"$22,525.00",100.00%
,1000.0000.2600.56011.050,Materials for Repair,,"$6,950.00",$0.00,"$6,950.00",,$0.00,$0.00,"$6,950.00",$0.00,"$6,950.00",100.00%
,1000.0000.2600.56013.050,Major Maintenance,,"$15,035.00",$0.00,"$15,035.00",,$0.00,$0.00,"$15,035.00",$0.00,"$15,035.00",100.00%
,1000.0000.2600.56220.050,Electricity,,"$14,000.00",$0.00,"$14,000.00",,$0.00,$0.00,"$14,000.00",$0.00,"$14,000.00",100.00%
,1000.0000.2600.56240.050,Heating Fuel,,"$50,000.00",$0.00,"$50,000.00",,$0.00,$0.00,"$50,000.00",$0.00,"$50,000.00",100.00%
,,Program:,OVERHEAD - 0000,"$573,414.00",$0.00,"$573,414.00",,$0.00,$0.00,"$573,414.00","$228,604.50","$344,809.50",60.13%
,Function:,OPERATION,OF PLANT - 2600,"$573,414.00",$0.00,"$573,414.00",,$0.00,$0.00,"$573,414.00","$228,604.50","$344,809.50",60.13%
,Cost Center:,FREEPORT MIDDLE,SCHOOL - 050,"$573,414.00",$0.00,"$573,414.00",,$0.00,$0.00,"$573,414.00","$228,604.50","$344,809.50",60.13%
,1000.0000.2600.51180.300,Custodian Salaries,,"$253,639.00",$0.00,"$253,639.00",,$0.00,$0.00,"$253,639.00","$288,949.60","($35,310.60)",-13.92%
,1000.0000.2600.51200.300,Salaries of,Temporary Employees,"$37,212.00",$0.00,"$37,212.00",,$0.00,$0.00,"$37,212.00",$0.00,"$37,212.00",100.00%
,1000.0000.2600.52000.300,Employee Benefits,,"$5,782.00",$0.00,"$5,782.00",,$0.00,$0.00,"$5,782.00",$0.00,"$5,782.00",100.00%
,1000.0000.2600.52080.300,Custodian Benefits,,"$109,434.00",$0.00,"$109,434.00",,$0.00,$0.00,"$109,434.00",$0.00,"$109,434.00",100.00%
,1000.0000.2600.52380.300,Retirement,,"$12,682.00",$0.00,"$12,682.00",,$0.00,$0.00,"$12,682.00",$0.00,"$12,682.00",100.00%
,1000.0000.2600.53000.300,Purchased,Professional,$118.00,$0.00,,$118.00,$0.00,$0.00,$118.00,$0.00,$118.00,100.00%
,1000.0000.2600.53300.300,Employee Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
,1000.0000.2600.54100.300,Water/Sewage,,"$28,960.00",$0.00,"$28,960.00",,$0.00,$0.00,"$28,960.00",$0.00,"$28,960.00",100.00%
,1000.0000.2600.54300.300,Purchased Repair,,"$91,944.00",$0.00,"$91,944.00",,$0.00,$0.00,"$91,944.00",$0.00,"$91,944.00",100.00%
,1000.0000.2600.55200.300,Insurance,,"$23,976.00",$0.00,"$23,976.00",,$0.00,$0.00,"$23,976.00",$0.00,"$23,976.00",100.00%
,1000.0000.2600.55320.300,Telephone,,"$10,373.00",$0.00,"$10,373.00",,$0.00,$0.00,"$10,373.00",$0.00,"$10,373.00",100.00%
