,,,,RSU,No.,5,,,,,
Article 2,Special,Education - - Adopted,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,FY24,Adopted,,
Account,,Description,,,,,,,,,
1000.2300.1000.52310.010,,Retirement,"$2,195.84",,$522.24,,"$1,789.27","$2,069.00","$2,381.00",$312.00,15.08
1000.2300.1000.52310.020,,Retirement,"$2,404.20",,$585.66,,"$4,929.43","$5,339.00","$5,187.00",($152.00),(2.85)
1000.2300.1000.52310.040,,Retirement,$0.00,,$0.00,,"$4,598.23","$5,087.00","$2,996.00","($2,091.00)",(41.10)
1000.2300.1000.52310.050,,Retirement,"$2,845.34",,$668.94,,"$5,587.22","$6,290.00","$6,179.00",($111.00),(1.76)
1000.2300.1000.52310.300,,Retirement,"$5,920.35","$1,400.46",,,"$5,200.34","$5,884.00","$6,699.00",$815.00,13.85
1000.2300.1000.52320.010,,Retirement,"$3,863.93",,$922.51,,"$4,229.85","$4,481.00","$7,185.00","$2,704.00",60.34
1000.2300.1000.52320.020,,Retirement,"$2,198.50",,$561.14,,"$1,438.37",$0.00,$0.00,$0.00,0.00
1000.2300.1000.52320.030,,Retirement,$998.23,,$7.19,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2300.1000.52320.040,,Retirement,$0.00,,$0.00,,"$1,973.64","$5,825.00","$2,471.00","($3,354.00)",(57.58)
1000.2300.1000.52320.050,,Retirement,"$6,195.22","$1,684.87",,,"$5,055.93","$7,751.00","$9,289.00","$1,538.00",19.84
1000.2300.1000.52320.300,,Retirement,"$3,224.42",,$923.72,,"$3,326.14","$4,257.00","$2,350.00","($1,907.00)",(44.80)
1000.2400.1000.53440.990,,Tutoring Services -,Hospital/Homebound SEC$0.00,,$0.00,,$697.50,$0.00,"$15,000.00","$15,000.00",0.00
1000.2500.2330.51010.900,,Instructional Strategist,"Salaries $125,550.70","$216,539.46",,"$233,936.10",,"$251,065.00","$252,471.00","$1,406.00",0.56
1000.2500.2330.51040.900,,Admin Salaries,"$128,978.98","$136,213.02",,"$140,837.68",,"$136,873.00","$126,000.00","($10,873.00)",(7.94)
1000.2500.2330.51180.900,,Support Wages,"$47,660.85","$51,839.29",,"$52,079.65",,"$55,080.00","$53,040.00","($2,040.00)",(3.70)
