,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff Support -,Proposed,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.0000.2213.52330.300,,Retirement,$0.00,,$0.00,,$4.99,$0.00,$0.00,$0.00,0.00
1000.0000.2213.52330.950,,Retirement,$0.00,,$0.00,,$0.00,$208.00,$0.00,($208.00),(100.00)
1000.0000.2213.52510.300,,Tuition Reimbursement-Teacher,"$16,336.50","$11,076.50",,"$26,408.00",,"$20,000.00","$20,000.00",$0.00,0.00
1000.0000.2213.52510.950,,Tuition Reimbursement-Prof,"$54,273.65","$53,435.40",,"$62,144.08",,"$47,000.00","$50,400.00","$3,400.00",7.23
1000.0000.2213.52520.300,,Tuition Reimbursement-Support,$0.00,,$0.00,,$0.00,"$1,300.00","$1,300.00",$0.00,0.00
1000.0000.2213.52520.950,,Tuition Reimbursement-Support,"$2,388.00","$2,289.60",,,$0.00,"$2,700.00","$1,300.00","($1,400.00)",(51.85)
1000.0000.2213.53000.300,,Purchased Professional,"Services $20,298.79","$8,195.03",,,"$6,028.50","$39,536.00","$39,536.00",$0.00,0.00
1000.0000.2213.53000.950,,K-8 Purchased Professional,"$12,433.05","$51,815.55",,"$43,062.60",,"$46,072.00","$49,900.00","$3,828.00",8.31
1000.0000.2213.53300.010,,Professional Services,$0.00,,$0.00,,$140.00,$0.00,$0.00,$0.00,0.00
1000.0000.2213.53300.020,,Employee Training,$0.00,,$0.00,,$129.00,$0.00,$0.00,$0.00,0.00
1000.0000.2213.53300.040,,Employee Training,$0.00,,$0.00,,$100.00,$0.00,$0.00,$0.00,0.00
1000.0000.2213.53300.300,,Employee Training,$0.00,,$0.00,,$150.00,$0.00,$0.00,$0.00,0.00
1000.0000.2213.55000.300,,Other Purchased Services,$0.00,,$0.00,,$0.00,"$1,000.00","$1,000.00",$0.00,0.00
