,,,,,,RSU,No.,5,,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,Function:,INSTRUCTION,RELATED TECHNOLOGY,- 2230,"$1,160,274.00",$0.00,"$1,160,274.00",,"$234,039.94","$234,039.94","$926,234.06","$475,365.57","$450,868.49",38.86%
,1000.0000.2240.53000.900,,Purchased Professional,-,$750.00,$0.00,,$750.00,$0.00,$0.00,$750.00,$0.00,$750.00,100.00%
,,,Assessment,,,,,,,,,,,
,,,Program:,OVERHEAD - 0000,$750.00,$0.00,,$750.00,$0.00,$0.00,$750.00,$0.00,$750.00,100.00%
,Function:,ACADEMIC,STUDENT ASSESSMENT,- 2240,$750.00,$0.00,,$750.00,$0.00,$0.00,$750.00,$0.00,$750.00,100.00%
,,,Cost Center: SYSTEM,WIDE - 900,"$1,335,815.00",$0.00,"$1,335,815.00",,"$238,129.72","$238,129.72","$1,097,685.28","$563,343.95","$534,341.33",40.00%
,1000.0000.2213.51010.950,,K-8 HONORARIUM,,"$16,220.00",$0.00,"$16,220.00",,$0.00,$0.00,"$16,220.00","$3,500.00","$12,720.00",78.42%
,1000.0000.2213.51500.950,,New Educator,Mentors K-8,"$30,231.00",$0.00,"$30,231.00",,$0.00,$0.00,"$30,231.00",$0.00,"$30,231.00",100.00%
,1000.0000.2213.52000.950,,Stipend Benefits -,K-8,$539.00,$0.00,,$539.00,$0.00,$0.00,$539.00,$0.00,$539.00,100.00%
,1000.0000.2213.52010.950,,K-8 HONORARIUM,BENEFITS,$825.00,$0.00,,$825.00,$0.00,$0.00,$825.00,$0.00,$825.00,100.00%
,1000.0000.2213.52300.950,,Stipend Retirement,- K-8,"$1,425.00",$0.00,,"$1,425.00",$0.00,$0.00,"$1,425.00",$0.00,"$1,425.00",100.00%
,1000.0000.2213.52310.950,,K-8 HONORARIUM,RETIREMENT,$725.00,$0.00,,$725.00,$0.00,$0.00,$725.00,$0.00,$725.00,100.00%
,1000.0000.2213.52510.950,,Tuition Reimbursement-Prof,,"$58,000.00",$0.00,"$58,000.00",,$0.00,$0.00,"$58,000.00",$0.00,"$58,000.00",100.00%
,1000.0000.2213.52520.950,,Tuition,Reimbursement-Support,"$1,500.00",$0.00,,"$1,500.00",$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2213.53000.950,,K-8 Purchased,Professional,"$51,100.00",$0.00,"$51,100.00",,$0.00,$0.00,"$51,100.00",$0.00,"$51,100.00",100.00%
,1000.0000.2213.55810.950,,Travel,,$250.00,$0.00,,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
,1000.0000.2213.56000.950,,Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2213.56400.950,,Books,,"$1,400.00",$0.00,,"$1,400.00",$0.00,$0.00,"$1,400.00",$0.00,"$1,400.00",100.00%
,,,Program:,OVERHEAD - 0000,"$162,565.00",$0.00,"$162,565.00",,$0.00,$0.00,"$162,565.00","$3,500.00","$159,065.00",97.85%
,,Function:,INSTRUCTIONAL STAFF,TRAINING - 2213,"$162,565.00",$0.00,"$162,565.00",,$0.00,$0.00,"$162,565.00","$3,500.00","$159,065.00",97.85%
,,,Cost,Center: K-8 - 950,"$162,565.00",$0.00,"$162,565.00",,$0.00,$0.00,"$162,565.00","$3,500.00","$159,065.00",97.85%
,1000.0000.2213.51500.990,,New Educator,Mentors 9-12,"$12,720.00",$0.00,"$12,720.00",,$0.00,$0.00,"$12,720.00",$0.00,"$12,720.00",100.00%
,,,Program:,OVERHEAD - 0000,"$12,720.00",$0.00,"$12,720.00",,$0.00,$0.00,"$12,720.00",$0.00,"$12,720.00",100.00%
,,Function:,INSTRUCTIONAL STAFF,TRAINING - 2213,"$12,720.00",$0.00,"$12,720.00",,$0.00,$0.00,"$12,720.00",$0.00,"$12,720.00",100.00%
,,,Cost Center:,9-12 - 990,"$12,720.00",$0.00,"$12,720.00",,$0.00,$0.00,"$12,720.00",$0.00,"$12,720.00",100.00%
Grand,Total:,,,,"$4,371,246.00",$0.00,"$4,371,246.00",,"$248,667.51","$248,667.51","$4,122,578.49","$2,145,468.80","$1,977,109.69",45.23%
,,,,,,End,of Report,,,,,,,
,,,,,,,Page 32 of,44,,,,,,
