,,,,,,,,RSU,No.,5,,,,,,
Article,9,Operations,&,Maintenance-,,Adopted,,,,,,,,,,
,,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2620.51180.900,,Salaries,,,,"$256,010.00",$0.00,"$256,010.00",,"$8,630.97","$8,630.97","$247,379.03","$208,426.40","$38,952.63",15.22%
,1000.0000.2620.52040.900,,,Administrator,Benefits,,"$24,268.00",$0.00,"$24,268.00",,$647.78,$647.78,"$23,620.22",$0.00,"$23,620.22",97.33%
,1000.0000.2620.52080.900,,Benefits,,,,"$112,907.00",$0.00,"$112,907.00",,"$2,391.31","$2,391.31","$110,515.69",$0.00,"$110,515.69",97.88%
,1000.0000.2620.52340.900,,,Administrator,Retirement,,$0.00,$0.00,,$0.00,$181.73,$181.73,($181.73),$0.00,($181.73),0.00%
,1000.0000.2620.52380.900,,,Retirement,,,"$12,800.00",$0.00,"$12,800.00",,$320.52,$320.52,"$12,479.48",$0.00,"$12,479.48",97.50%
,1000.0000.2620.53000.900,,,Purchased,Professional,,"$5,030.00",$0.00,,"$5,030.00",$0.00,$0.00,"$5,030.00",$0.00,"$5,030.00",100.00%
,1000.0000.2620.54300.900,,,Purchased Repair,,,"$40,050.00",$0.00,"$40,050.00",,$0.00,$0.00,"$40,050.00",$0.00,"$40,050.00",100.00%
,1000.0000.2620.55800.900,,Travel,,,,"$3,000.00",$0.00,,"$3,000.00",$0.00,$0.00,"$3,000.00",$0.00,"$3,000.00",100.00%
,1000.0000.2620.56000.900,,Supplies,,,,"$54,940.00",$0.00,"$54,940.00",,$0.00,$0.00,"$54,940.00",$30.54,"$54,909.46",99.94%
,1000.0000.2620.57300.900,,,Equipment,,,"$37,000.00",$0.00,"$37,000.00",,$0.00,$0.00,"$37,000.00",$0.00,"$37,000.00",100.00%
,1000.0000.2620.58100.900,,Dues,& Fees,,,$110.00,$0.00,,$110.00,$0.00,$0.00,$110.00,$0.00,$110.00,100.00%
,,,,Program:,OVERHEAD,- 0000,"$639,715.00",$0.00,"$639,715.00",,"$15,806.93","$15,806.93","$623,908.07","$299,322.32","$324,585.75",50.74%
,,Function:,MAINTENANCE,OF,BUILDINGS,- 2620,"$639,715.00",$0.00,"$639,715.00",,"$15,806.93","$15,806.93","$623,908.07","$299,322.32","$324,585.75",50.74%
,1000.0000.2690.58310.900,,Capital,Improvements,,,"$445,000.00",$0.00,"$445,000.00",,"$104,436.00","$104,436.00","$340,564.00","$4,031.00","$336,533.00",75.63%
,,,,Program:,OVERHEAD,- 0000,"$445,000.00",$0.00,"$445,000.00",,"$104,436.00","$104,436.00","$340,564.00","$4,031.00","$336,533.00",75.63%
,Function:,CAPITAL,RENEWAL,&,RENOVATION,- 2690,"$445,000.00",$0.00,"$445,000.00",,"$104,436.00","$104,436.00","$340,564.00","$4,031.00","$336,533.00",75.63%
,,,Cost Center:,,SYSTEM WIDE,- 900,"$1,084,715.00",$0.00,"$1,084,715.00",,"$120,242.93","$120,242.93","$964,472.07","$303,353.32","$661,118.75",60.95%
,1000.0000.2600.54100.941,,,Water/Sewage,,,"$1,309.00",$0.00,,"$1,309.00",$0.00,$0.00,"$1,309.00",$0.00,"$1,309.00",100.00%
,1000.0000.2600.54300.941,,Purchaed,Repairs,,,"$2,550.00",$0.00,,"$2,550.00",$0.00,$0.00,"$2,550.00",$316.96,"$2,233.04",87.57%
,1000.0000.2600.55320.941,,,Telephone,,,"$5,978.00",$0.00,,"$5,978.00",$0.00,$0.00,"$5,978.00",$0.00,"$5,978.00",100.00%
,1000.0000.2600.56000.941,,Supplies,,,,"$1,500.00",$0.00,,"$1,500.00",$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2600.56011.941,,Materials,for,Repair,,"$3,000.00",$0.00,,"$3,000.00",$0.00,$0.00,"$3,000.00",$0.00,"$3,000.00",100.00%
,1000.0000.2600.56013.941,,Major,Maintenance,,,"$5,000.00",$0.00,,"$5,000.00","$1,450.00","$1,450.00","$3,550.00",$0.00,"$3,550.00",71.00%
,1000.0000.2600.56220.941,,Electricity,,,,"$3,000.00",$0.00,,"$3,000.00",$0.00,$0.00,"$3,000.00",$0.00,"$3,000.00",100.00%
,1000.0000.2600.56240.941,,Heating,Fuel,,,"$5,900.00",$0.00,,"$5,900.00",$0.00,$0.00,"$5,900.00",$0.00,"$5,900.00",100.00%
,,,,Program:,OVERHEAD,- 0000,"$28,237.00",$0.00,"$28,237.00",,"$1,450.00","$1,450.00","$26,787.00",$316.96,"$26,470.04",93.74%
,,Function:,,OPERATION,OF PLANT,- 2600,"$28,237.00",$0.00,"$28,237.00",,"$1,450.00","$1,450.00","$26,787.00",$316.96,"$26,470.04",93.74%
,,,Cost Center:,CENTRAL,OFFICE,- 941,"$28,237.00",$0.00,"$28,237.00",,"$1,450.00","$1,450.00","$26,787.00",$316.96,"$26,470.04",93.74%
Grand,Total:,,,,,,"$5,139,408.00",$0.00,"$5,139,408.00",,"$309,755.80","$309,755.80","$4,829,652.20","$1,281,371.99","$3,548,280.21",69.04%
,,,,,,,,End,of Report,,,,,,,
,,,,,,,,,Page 42 of,44,,,,,,
