,,,,,,,RSU,No.,5,,,,,,
,Article 11 All,Other,Expenditures-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.3100.59100.900,Fund,Transfer Out,,,"$185,334.00",$0.00,"$185,334.00",,$0.00,$0.00,"$185,334.00",$0.00,"$185,334.00",100.00%
,,Program:,,OVERHEAD -,0000,"$185,334.00",$0.00,"$185,334.00",,$0.00,$0.00,"$185,334.00",$0.00,"$185,334.00",100.00%
,Function:,FOOD SERVICES,OPERATIONS,-,3100,"$185,334.00",$0.00,"$185,334.00",,$0.00,$0.00,"$185,334.00",$0.00,"$185,334.00",100.00%
,,Cost Center:,SYSTEM,WIDE -,900,"$185,334.00",$0.00,"$185,334.00",,$0.00,$0.00,"$185,334.00",$0.00,"$185,334.00",100.00%
Grand,Total:,,,,,"$185,334.00",$0.00,"$185,334.00",,$0.00,$0.00,"$185,334.00",$0.00,"$185,334.00",100.00%
,,,,,,,End,of Report,,,,,,,
,,,,,,,,Page 44 of,44,,,,,,
