,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2220.52310.300,,Retirement,"$2,972.84",,$712.38,,"$2,994.45","$3,383.00","$3,792.00",$409.00,12.09
,1000.0000.2220.52320.300,,Retirement,$0.00,,$0.00,,$0.00,$952.00,"$1,170.00",$218.00,22.90
,1000.0000.2220.54330.300,,Software,"$1,042.50","$1,042.50",,,"$1,060.35","$2,843.00","$1,129.00","($1,714.00)",(60.29)
,1000.0000.2220.56000.300,,Supplies,$535.81,,$802.70,,"$1,430.17","$1,440.00",$0.00,"($1,440.00)",(100.00)
,1000.0000.2220.56100.300,,Instructional Supplies,$0.00,,$0.00,,$0.00,$0.00,"$1,440.00","$1,440.00",0.00
,1000.0000.2220.56400.300,,Books,"$7,489.04","$12,652.08",,"$11,748.52",,"$14,141.00","$13,020.00","($1,121.00)",(7.93)
,1000.0000.2220.57300.300,,Equipment,$0.00,,$0.00,,$0.00,$100.00,$100.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$124,411.24","$108,472.20",,"$127,884.56",,"$153,597.00","$152,230.00","($1,367.00)",(0.89)
Function:,LIBRARY,SERVICES,- 2220,"$124,411.24","$108,472.20",,"$127,884.56",,"$153,597.00","$152,230.00","($1,367.00)",(0.89)
,1000.0000.2230.51010.300,,Teacher Salaries,"$76,135.08","$16,964.50",,,"$2,092.50",$0.00,$0.00,$0.00,0.00
,1000.0000.2230.51180.300,,Support Salaries,"$36,247.68","($1,083.73)",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52000.300,,Teacher Benefits,$0.00,"$2,340.21",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.300,,Teacher Benefits,"$19,851.70",,$0.00,,$295.53,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52080.300,,SUPPORT BENEFITS,"$12,879.91",($562.44),,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52310.300,,Retirement,"$3,284.95",,$0.00,,$80.35,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.54320.300,,Tech Repairs/Maint,$0.00,,$64.08,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.56500.300,,Supplies,$0.00,,$0.00,,$139.50,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.57340.300,,Equipment,"$174,162.00","$40,580.56",,"$31,087.44",,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$322,561.32","$58,303.18",,"$33,695.32",,$0.00,$0.00,$0.00,0.00
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,"$322,561.32","$58,303.18",,"$33,695.32",,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,
,Page 56,of 80,,,,,,,,,,
