,,,,,,2019,2019,2020,2020,2021,2021,2022,,,
,,,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff
634,,Cost Center:,300 -,FREEPORT,HIGH SCHOOL,,,,,,,,,,
635,1000-0000-2120-51010-300,,Counselor,Salaries,,,"214,659.00","227,766.92","240,697.00","235,415.87","249,774.00","308,962.77","263,356.23","13,582.23",5.44%
636,1000-0000-2120-51180-300,,Guidance,Support,Wages,,"40,150.00","41,477.90","40,150.00","25,239.72","40,768.00","26,380.63","75,823.46","35,055.46",85.99%
637,1000-0000-2120-52010-300,,Counselor,Benefits,,,"25,988.00","43,922.56","39,398.00","60,220.84","58,949.00","14,087.28","63,969.70","5,020.70",8.52%
638,1000-0000-2120-52080-300,,Support,Benefits,,,"15,673.00","9,953.36","15,673.00","2,168.22","16,490.00",300.65,"4,857.27","-11,632.73",-70.54%
639,1000-0000-2120-52310-300,,Retirement,,,,"8,522.00","9,331.60","10,013.00","9,987.27","10,391.00","2,480.75","10,955.61",564.61,5.43%
640,1000-0000-2120-53000-300,,Purchased,,Professional,,"10,400.00","3,755.78","13,082.00","11,710.98","13,482.00","7,039.84","19,738.00","6,256.00",46.40%
641,1000-0000-2120-54330-300,,Software,,,,0.00,0.00,0.00,0.00,334.00,0.00,334.00,0.00,0.00%
642,1000-0000-2120-55800-300,,Travel,,,,0.00,0.00,0.00,0.00,400.00,0.00,400.00,0.00,0.00%
643,1000-0000-2120-55810-300,,Travel,,,,300.00,0.00,400.00,0.00,0.00,0.00,400.00,400.00,0.00%
644,1000-0000-2120-56100-300,,,Instructional,Supplies,,700.00,621.87,"1,000.00",470.99,"1,000.00",453.50,"1,000.00",0.00,0.00%
645,1000-0000-2120-57300-300,,Equipment,,,,0.00,0.00,0.00,0.00,500.00,0.00,500.00,0.00,0.00%
,,,,,,Totals,"316,392.00","336,829.99","360,413.00","345,213.89","392,088.00","359,705.42","441,334.27","49,246.27",12.56%
646,Function: 2130 -,HEALTH,SERVICES,,,,,,,,,,,,
647,,Cost Center:,010 -,DURHAM,COMMUNITY,,,,,,,,,,
648,1000-0000-2130-51010-010,,Nurse,Salary,,,"61,314.00","64,072.71","67,975.00","65,996.06","69,630.00","85,690.11","70,014.42",384.42,0.55%
649,1000-0000-2130-52010-010,,Nurse,Benefits,,,"18,975.00","15,205.52","15,765.00","15,120.47","15,884.00","3,282.57","15,132.47",-751.53,-4.73%
650,1000-0000-2130-52310-010,,Retirement,,,,"2,434.00","2,562.33","2,828.00","2,745.34","2,897.00",649.02,"2,912.60",15.60,0.54%
651,1000-0000-2130-53000-010,,,Professional,Services,,200.00,248.98,200.00,0.00,200.00,129.00,200.00,0.00,0.00%
652,1000-0000-2130-54310-010,,Repairs,&,Maintenance,,135.00,0.00,135.00,0.00,135.00,0.00,135.00,0.00,0.00%
653,1000-0000-2130-55800-010,,Travel,,,,0.00,219.24,0.00,0.00,220.00,0.00,220.00,0.00,0.00%
654,1000-0000-2130-56000-010,,Supplies,,,,"1,098.00","1,069.29","1,116.00","1,093.40","1,148.00",35.98,"1,186.86",38.86,3.39%
,,,,,,Totals,"84,156.00","83,378.07","88,019.00","84,955.27","90,114.00","89,786.68","89,801.35",-312.65,-0.35%
655,,Cost Center:,020 -,MORSE STREET,,,,,,,,,,,
656,1000-0000-2130-51010-020,,Nurse,Salary,,,"61,314.00","62,176.41","67,165.00","64,978.68","67,958.00","73,830.02","71,218.83","3,260.83",4.80%
657,1000-0000-2130-52010-020,,Nurse,Benefits,,,"8,651.00","3,942.45","4,944.00","4,785.19","5,540.00","1,415.53","1,354.73","-4,185.27",-75.55%
658,1000-0000-2130-52310-020,,Retirement,,,,"2,434.00","2,486.59","2,794.00","2,748.54","2,827.00",652.06,"2,962.71",135.71,4.80%
659,1000-0000-2130-53000-020,,Purchased,,Professional,,200.00,149.99,200.00,125.00,200.00,0.00,200.00,0.00,0.00%
660,1000-0000-2130-54310-020,,Repairs,&,Maintenance,,135.00,0.00,135.00,65.00,135.00,65.00,135.00,0.00,0.00%
661,1000-0000-2130-56000-020,,Supplies,,,,705.00,700.42,799.00,765.03,841.00,534.86,872.46,31.46,3.74%
,,,,,,Totals,"73,439.00","69,455.86","76,037.00","73,467.44","77,501.00","76,497.47","76,743.73",-757.27,-0.98%
662,,Cost Center:,030 -,POWNAL,ELEMENTARY,,,,,,,,,,
663,1000-0000-2130-51010-030,,Nurse,Salary,,,"49,051.00","34,140.36","52,171.00","51,907.94","54,082.00","71,540.67","56,011.54","1,929.54",3.57%
664,1000-0000-2130-52010-030,,Nurse,Benefits,,,"19,804.00","9,995.52","17,188.00","16,953.50","8,274.00","4,133.90","21,150.92","12,876.92",155.63%
665,1000-0000-2130-52310-030,,Retirement,,,,"1,947.00","1,355.33","2,170.00",0.00,"2,250.00",129.80,0.00,"-2,250.00",-100.00%
666,1000-0000-2130-53000-030,,Purchased,,Professional,,200.00,45.00,200.00,0.00,200.00,0.00,200.00,0.00,0.00%
667,1000-0000-2130-54310-030,,Repairs,&,Maintenance,,135.00,0.00,135.00,0.00,135.00,0.00,135.00,0.00,0.00%
668,1000-0000-2130-56000-030,,Supplies,,,,299.00,297.92,299.00,720.17,291.00,179.14,269.86,-21.14,-7.26%
,,,,,,Totals,"71,436.00","45,834.13","72,163.00","69,581.61","65,232.00","75,983.51","77,767.32","12,535.32",19.22%
669,,Cost Center:,040 -,MAST LANDING,,,,,,,,,,,
670,1000-0000-2130-51010-040,,Nurse,Salary,,,"62,713.00","65,536.00","67,502.00","67,501.98","67,586.00","54,095.70","54,871.48","-12,714.52",-18.81%
671,1000-0000-2130-52010-040,,Nurse,Benefits,,,"9,248.00","5,337.17","5,431.00","5,923.84","5,532.00",112.68,"1,030.89","-4,501.11",-81.36%
672,1000-0000-2130-52310-040,,Retirement,,,,"2,490.00","2,620.97","2,808.00","2,808.00","2,812.00",460.80,"2,282.65",-529.35,-18.82%
673,1000-0000-2130-53000-040,,Purchased,,Professional,,200.00,0.00,200.00,0.00,200.00,0.00,200.00,0.00,0.00%
674,1000-0000-2130-54310-040,,Repairs,&,Maintenance,,135.00,130.00,135.00,0.00,135.00,0.00,135.00,0.00,0.00%
675,1000-0000-2130-55800-040,,Travel,,,,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%
676,1000-0000-2130-56000-040,,Supplies,,,,658.00,244.60,600.00,547.15,574.00,20.91,592.12,18.12,3.16%
,,,,,,Totals,"75,494.00","73,868.74","76,676.00","76,780.97","76,839.00","54,690.09","59,112.14","-17,726.86",-23.07%
677,,Cost Center:,050 -,FREEPORT,MIDDLE,SCHOOL,,,,,,,,,
678,1000-0000-2130-51010-050,,Nurse,Salary,,,"41,905.00","44,320.02","65,995.00","39,687.44","69,630.00","97,384.34","71,414.42","1,784.42",2.56%
679,1000-0000-2130-52010-050,,Nurse,Benefits,,,"17,243.00","14,496.08","21,023.00","12,360.40","13,106.00","2,733.55","13,120.43",14.43,0.11%
680,1000-0000-2130-52310-050,,Retirement,,,,"1,664.00","1,772.39","2,745.00","1,651.00","2,897.00",389.40,"2,970.84",73.84,2.55%
681,1000-0000-2130-53000-050,,Purchased,,Professional,,200.00,"2,019.26",200.00,88.00,200.00,0.00,200.00,0.00,0.00%
682,1000-0000-2130-54310-050,,Repairs,&,Maintenance,,135.00,135.00,135.00,131.73,135.00,0.00,135.00,0.00,0.00%
683,1000-0000-2130-56000-050,,Supplies,,,,927.00,963.70,917.00,896.87,844.00,131.70,791.24,-52.76,-6.25%
,,,,,,Totals,"62,074.00","63,706.45","91,015.00","54,815.44","86,812.00","100,638.99","88,631.93","1,819.93",2.10%
,,,,,,,,,15 of 27,,,,,,
