,,,,,,RSU,No.,5,,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2110.52010.050,,Social Worker Benefits,,"$6,329.00",$0.00,"$6,329.00",,$0.00,$0.00,"$6,329.00",$0.00,"$6,329.00",100.00%
,1000.0000.2110.52310.050,,Social Worker,Retirement,"$2,063.00",$0.00,"$2,063.00",,$0.00,$0.00,"$2,063.00",$0.00,"$2,063.00",100.00%
,,,Program:,OVERHEAD - 0000,"$51,516.00",$0.00,"$51,516.00",,$0.00,$0.00,"$51,516.00","$42,284.62","$9,231.38",17.92%
,,Function:,Attendance & Social,Work - 2110,"$51,516.00",$0.00,"$51,516.00",,$0.00,$0.00,"$51,516.00","$42,284.62","$9,231.38",17.92%
,1000.0000.2120.51010.050,,Guidance Salaries,,"$89,503.00",$0.00,"$89,503.00",,$0.00,$0.00,"$89,503.00","$84,853.47","$4,649.53",5.19%
,1000.0000.2120.52010.050,,Benefits,,"$32,347.00",$0.00,"$32,347.00",,$0.00,$0.00,"$32,347.00",$0.00,"$32,347.00",100.00%
,1000.0000.2120.52310.050,,Retirement,,"$4,281.00",$0.00,"$4,281.00",,$0.00,$0.00,"$4,281.00",$0.00,"$4,281.00",100.00%
,1000.0000.2120.53000.050,,Purchased Professional,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2120.54330.050,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.56100.050,,Instructional Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,,,Program:,OVERHEAD - 0000,"$127,115.00",$0.00,"$127,115.00",,$0.00,$0.00,"$127,115.00","$84,853.47","$42,261.53",33.25%
,,,Function: COUNSELING,- 2120,"$127,115.00",$0.00,"$127,115.00",,$0.00,$0.00,"$127,115.00","$84,853.47","$42,261.53",33.25%
,1000.0000.2130.51010.050,,Nurse Salary,,"$75,001.00",$0.00,"$75,001.00",,$0.00,$0.00,"$75,001.00","$75,001.19",($0.19),0.00%
,1000.0000.2130.52010.050,,Nurse Benefits,,"$11,462.00",$0.00,"$11,462.00",,$0.00,$0.00,"$11,462.00","$3,500.00","$7,962.00",69.46%
,1000.0000.2130.52310.050,,Retirement,,"$3,587.00",$0.00,"$3,587.00",,$0.00,$0.00,"$3,587.00",$0.00,"$3,587.00",100.00%
,1000.0000.2130.53000.050,,Purchased Professional,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2130.54310.050,,Repairs & Maintenance,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,1000.0000.2130.56000.050,,Supplies,,$846.00,$0.00,,$846.00,$0.00,$0.00,$846.00,$0.00,$846.00,100.00%
,1000.0000.2130.58100.050,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,,Program:,OVERHEAD - 0000,"$91,461.00",$0.00,"$91,461.00",,$0.00,$0.00,"$91,461.00","$78,501.19","$12,959.81",14.17%
,,,Function: HEALTH,SERVICES - 2130,"$91,461.00",$0.00,"$91,461.00",,$0.00,$0.00,"$91,461.00","$78,501.19","$12,959.81",14.17%
,1000.0000.2213.51500.050,,Stipends-Acad,Leadership and LCC,"$26,841.00",$0.00,"$26,841.00",,$0.00,$0.00,"$26,841.00",$0.00,"$26,841.00",100.00%
,1000.0000.2213.52000.050,,Stipend Benefits -,FMS,$426.00,$0.00,,$426.00,$0.00,$0.00,$426.00,$0.00,$426.00,100.00%
,1000.0000.2213.52300.050,,Stipend Retirement,- FMS,"$1,126.00",$0.00,"$1,126.00",,$0.00,$0.00,"$1,126.00",$0.00,"$1,126.00",100.00%
,,,Program:,OVERHEAD - 0000,"$28,393.00",$0.00,"$28,393.00",,$0.00,$0.00,"$28,393.00",$0.00,"$28,393.00",100.00%
,Function:,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$28,393.00",$0.00,"$28,393.00",,$0.00,$0.00,"$28,393.00",$0.00,"$28,393.00",100.00%
,1000.0000.2220.51010.050,,Librarian Salaries,,"$79,261.00",$0.00,"$79,261.00",,$0.00,$0.00,"$79,261.00","$79,261.15",($0.15),0.00%
,1000.0000.2220.52010.050,,Librarian Benefits,,"$32,339.00",$0.00,"$32,339.00",,$0.00,$0.00,"$32,339.00",$0.00,"$32,339.00",100.00%
,1000.0000.2220.52310.050,,Retirement,,"$3,838.00",$0.00,"$3,838.00",,$0.00,$0.00,"$3,838.00",$0.00,"$3,838.00",100.00%
,1000.0000.2220.54330.050,,Software,,"$1,320.00",$0.00,"$1,320.00",,"$1,319.05","$1,319.05",$0.95,$0.00,$0.95,0.07%
,1000.0000.2220.56100.050,,Instructional Supplies,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2220.56400.050,,Books,,"$6,384.00",$0.00,"$6,384.00",,$0.00,$0.00,"$6,384.00",$0.00,"$6,384.00",100.00%
,,,,,,Page,28 of,44,,,,,,
