,,,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff,Support-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2290.51060.300,,Outreach,Coordinator,Salary,$0.00,,$0.00,"$61,435.80",,"$87,674.00","$60,612.00","($27,062.00)",(30.87)
,1000.0000.2290.52060.300,,Outreach,Coordinator,Benefits,$0.00,,$0.00,"$26,053.33",,$0.00,"$30,095.00","$30,095.00",0.00
Program:,OVERHEAD,- 0000,,,,$0.00,,$0.00,"$87,489.13",,"$87,674.00","$90,707.00","$3,033.00",3.46
Function:,OTH,SUPPORT,SVCS - STAFF,- 2290,,$0.00,,$0.00,"$87,489.13",,"$87,674.00","$90,707.00","$3,033.00",3.46
Cost,Center:,FREEPORT HIGH,SCHOOL,- 300,,"$942,065.38","$635,710.75",,"$788,625.31",,"$906,708.00","$956,149.00","$49,441.00",5.45
,1000.0000.2130.51500.900,,,Doctor-Consulting,Physician-Stipend,$0.00,,$0.00,,$0.00,$0.00,"$1,500.00","$1,500.00",0.00
,1000.0000.2130.52000.900,,Doctor,- Consulting,Physician - Ben,$0.00,,$0.00,,$0.00,$0.00,$27.00,$27.00,0.00
,1000.0000.2130.53000.900,,Purchased,,Professional-District Wide,$0.00,,$0.00,,$0.00,$0.00,"$1,000.00","$1,000.00",0.00
,1000.0000.2130.56000.900,,Supplies,- District,Wide,$0.00,,$0.00,,$0.00,$0.00,"$1,200.00","$1,200.00",0.00
Program:,OVERHEAD,- 0000,,,,$0.00,,$0.00,,$0.00,$0.00,"$3,727.00","$3,727.00",0.00
Function:,HEALTH,SERVICES,- 2130,,,$0.00,,$0.00,,$0.00,$0.00,"$3,727.00","$3,727.00",0.00
,1000.0000.2210.51040.900,,Curriculum,Director,Salary,"$72,190.82","$77,949.57",,"$77,331.06",,"$80,135.00","$79,651.00",($484.00),(0.60)
,1000.0000.2210.52040.900,,Curriculum,Director,Benefits,"$12,380.74","$11,635.05",,"$12,298.57",,"$17,739.00","$19,079.00","$1,340.00",7.55
,1000.0000.2210.52340.900,,Retirement,,,"$3,003.26","$1,196.60",,,"$2,969.47","$3,345.00","$3,703.00",$358.00,10.70
,1000.0000.2210.53000.900,,Purchased,,Professional,$0.00,,$150.00,"$14,229.00",,"$8,000.00","$10,000.00","$2,000.00",25.00
,1000.0000.2210.55810.900,,Travel,,,$0.00,,$0.00,,$0.00,$700.00,$700.00,$0.00,0.00
,1000.0000.2210.56400.900,,Curriculum,Materials,,"$24,572.76","$25,445.12",,"$12,851.94",,"$50,000.00","$50,000.00",$0.00,0.00
,1000.0000.2210.58100.900,,Dues,& Fees,,"$1,219.00",,$524.00,,$524.00,"$1,000.00",$239.00,($761.00),(76.10)
Program:,OVERHEAD,- 0000,,,,"$113,366.58","$116,900.34",,"$120,204.04",,"$160,919.00","$163,372.00","$2,453.00",1.52
Function:,,IMPROVEMENT OF,INSTRUCTION,-,2210,"$113,366.58","$116,900.34",,"$120,204.04",,"$160,919.00","$163,372.00","$2,453.00",1.52
,Page 57,of 80,,,,,,,,,,,,
,,,,,,,RSU,No.,5,,,,,
Article,5,Student,and,Staff,Support- Adopted,,,,,,,,,
From,Date:,7/1/2023,,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2230.51040.900,,,Technology,Director Salary,"$88,394.06","$124,325.64",,"$93,155.46",,"$98,561.00","$100,457.00","$1,896.00",1.92
,1000.0000.2230.51180.900,,,Support Wages,,"$107,178.33","$222,625.57",,"$274,656.06",,"$289,015.00","$291,790.00","$2,775.00",0.96
,1000.0000.2230.52040.900,,,Benefits,,"$15,881.16","$4,259.03",,"$21,746.93",,"$34,412.00","$30,301.00","($4,111.00)",(11.95)
,1000.0000.2230.52080.900,,,Benefits,,"$33,123.77","$56,048.18",,"$93,845.49",,"$129,643.00","$104,192.00","($25,451.00)",(19.63)
,1000.0000.2230.52340.900,,,Retirement,,$0.00,,$0.00,,"$4,831.18","$4,100.00","$10,554.00","$6,454.00",157.41
,1000.0000.2230.52380.900,,,Retirement,,$0.00,,$0.00,,"$6,798.32",$0.00,"$7,395.00","$7,395.00",0.00
,1000.0000.2230.53000.900,,,Purchased,Professional,"$4,671.35","$1,949.00",,,"$4,166.00","$7,952.00","$3,572.00","($4,380.00)",(55.08)
,1000.0000.2230.54320.900,,,Tech,Repairs/Maintenance,$0.00,"$5,230.58",,,$63.60,$0.00,"$5,500.00","$5,500.00",0.00
,1000.0000.2230.54330.900,,,Software,,$0.00,"$1,168.54",,,$849.95,"$1,200.00",$500.00,($700.00),(58.33)
,1000.0000.2230.54432.900,,,SOFTWARE,LICENCE/RENTAL,$0.00,"$2,640.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.55000.900,,,Other Purchased,Services,"$27,651.73","$23,787.93",,"$39,954.58",,"$51,593.00","$39,726.00","($11,867.00)",(23.00)
,1000.0000.2230.55200.900,,,Insurance (P&C),,$0.00,,$0.00,,$0.00,"$9,100.00","$26,874.00","$17,774.00",195.32
,1000.0000.2230.55800.900,,,Travel,,"$1,438.80",,$0.00,,$41.44,"$7,530.00","$5,000.00","($2,530.00)",(33.60)
,1000.0000.2230.56500.900,,,Computer,Materials,$0.00,"$4,026.04",,"$11,878.92",,"$6,000.00","$7,500.00","$1,500.00",25.00
,1000.0000.2230.57340.900,,,EQUIPMENT,,"$280,132.32","$57,736.36",,"$223,302.01",,"$244,641.22","$247,000.00","$2,358.78",0.96
,1000.0000.2230.58100.900,,,Dues and Fees,,$0.00,,$170.00,,$150.00,$150.00,$150.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$558,471.52","$503,966.87",,"$775,439.94",,"$883,897.22","$880,511.00","($3,386.22)",(0.38)
Function:,,INSTRUCTION,RELATED,TECHNOLOGY,-,"$558,471.52","$503,966.87",,"$775,439.94",,"$883,897.22","$880,511.00","($3,386.22)",(0.38)
2230,,,,,,,,,,,,,,
,1000.0000.2240.53000.900,,,Purchased,Professional -,"Assessment$17,100.00","$4,762.50",,,"$3,750.00","$5,616.00","$3,875.00","($1,741.00)",(31.00)
Program:,OVERHEAD,- 0000,,,,"$17,100.00","$4,762.50",,,"$3,750.00","$5,616.00","$3,875.00","($1,741.00)",(31.00)
Function:,ACADEMIC,,STUDENT,ASSESSMENT,- 2240,"$17,100.00","$4,762.50",,,"$3,750.00","$5,616.00","$3,875.00","($1,741.00)",(31.00)
Cost,Center:,SYSTEM WIDE,- 900,,,"$688,938.10","$625,629.71",,"$899,393.98",,"$1,050,432.22","$1,051,485.00","$1,052.78",0.10
