,,,,,RSU 5,,,,,,
,,,,2026-2027,SUPERINTENDENT'S,PROPOSED,,BUDGET,,,
,,,,,Adopted,,Proposed,,,,
,,,,,2025-2026,,2026-2027,,Difference,,Difference
Article,#,,,Description,Budget,,Budget,,$,,%
Article,1,Regular,Instruction,,"$19,356,261",,"$19,873,193",,$,"516,932",2.67%
Article,2,Special,Education,,"$6,513,451",,"$7,510,422",,$,"996,971",15.31%
Article,3,Career,& Technical,Education,$,"307,645",$,"337,282",$,"29,637",9.63%
Article,4,Other,Instruction,(Co-Curricular &,Athletics) $,"1,119,087","$1,172,539",,$,"53,452",4.78%
Article,5,Student,& Staff,Support,"$4,644,307",,"$4,906,366",,$,"262,059",5.64%
Article,6,System,Administration,,"$1,263,587",,"$1,308,008",,$,"44,421",3.52%
Article,7,School,Administration,,"$2,514,485",,"$2,638,024",,$,"123,539",4.91%
Article,8,,Transportation &,Buses,"$1,931,576",,"$2,388,457",,$,"456,881",23.65%
Article,9,Facilities,Maintenance,,$,"5,490,511","$5,993,777",,$,"503,266",9.17%
Article,10,Debt,Service &,Other Commitments,"$1,087,428",,"$1,071,577",,$,"(15,851)",-1.46%
Article,11,All Other,Expenses,(Nutrition),$,"139,591",$,"69,796",$,"(69,795)",-50.00%
,,,,Total Articles 1-11,"Budget $44,367,929",,"$47,269,441",,"$2,901,512",,6.54%
,,Adult,Education,,$,"88,000",$,"88,000",$,-,0.00%
,,,,Total Operating,"Budget $44,455,929",,"$47,357,441",,"$2,901,512",,6.53%
,,Cost,Centers,,,,,,,,
,,010 =,Durham,Community School,,,,,,,
,,020 =,Morse Street,School,,,,,,,
,,030 =,Pownal,Elementary School,,,,,,,
,,040 =,Mast Landing,School,,,,,,,
,,050 =,Freeport,Middle School,,,,,,,
,,300 =,Freeport High,School,,,,,,,
,,900 =,District Wide,,,,,,,,
,,950 =,K-8,,,,,,,,
,,990 =,9-12,,,,,,,,
,,,,,Page 2 of 89,,,,,,
,,,,,,,,,,,Proposed 02.11.2026
