,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,- Proposed,,,,,,,,,
From Date:,7/1/2021,,To Date: 6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.2200.1000.52320.040,,,Retirement,"$2,911",,$0,,$0,$958,$0,($958),(100.00)
1000.2200.1000.52320.050,,,Retirement,$960,,"$1,180",,$408,"$3,313","$3,049",($264),(7.96)
1000.2200.1000.52320.300,,,Retirement,"$1,862",,"$1,081",,$332,$957,"$2,012","$1,055",110.24
1000.2200.1000.52330.020,,,Retirement,$52,,$12,,$0,$0,$0,$0,0.00
1000.2300.1000.51010.010,,Teacher,Salaries,"$48,528",,"$51,548",,"$56,840",$0,"$49,737","$49,737",0.00
1000.2300.1000.51010.020,,Teacher,Salaries,"$121,458",,"$57,793",,"$66,695","$65,042","$128,357","$63,315",97.34
1000.2300.1000.51010.040,,Teacher,Salaries,$0,,$0,,$0,"$61,500","$122,293","$60,793",98.85
1000.2300.1000.51010.050,,Teacher,Salaries,"$116,583",,"$79,991",,"$125,125","$135,586","$151,212","$15,626",11.52
1000.2300.1000.51010.300,,Teacher,Salaries,"$128,602","$146,904",,,"$149,708","$110,308","$141,454","$31,146",28.24
1000.2300.1000.51020.010,,Ed,Tech Salaries,"$103,881",,"$92,140",,"$123,583","$150,893","$107,718","($43,175)",(28.61)
1000.2300.1000.51020.020,,Ed,Tech Salaries,"$71,714",,"$52,849",,"$48,367","$76,511","$96,978","$20,467",26.75
1000.2300.1000.51020.030,,Ed,Tech Salaries,"$35,466",,"$23,995",,$524,$0,$0,$0,0.00
1000.2300.1000.51020.040,,Ed,Tech Salaries,$0,,$0,,$0,"$31,546","$140,033","$108,487",343.90
1000.2300.1000.51020.050,,Ed,Tech Salaries,"$159,388","$140,093",,,"$175,541","$137,261","$186,324","$49,063",35.74
1000.2300.1000.51020.300,,Ed,Tech Salaries,"$90,286",,"$86,299",,"$128,660","$170,410","$102,321","($68,089)",(39.96)
1000.2300.1000.52010.010,,Teacher,Benefits,"$14,751",,"$14,687",,"$3,290",$0,"$21,391","$21,391",0.00
1000.2300.1000.52010.020,,Teacher,Benefits,"$26,441",,"$21,736",,"$4,790","$21,317","$37,614","$16,297",76.45
1000.2300.1000.52010.040,,Teacher,Benefits,$0,,$0,,$0,"$1,153","$15,132","$13,980","1,212.97"
1000.2300.1000.52010.050,,Teacher,Benefits,"$41,747",,"$22,186",,"$4,829","$85,291","$38,139","($47,152)",(55.28)
1000.2300.1000.52010.300,,Teacher,Benefits,"$36,521",,"$40,204",,"$8,373","$58,653","$26,419","($32,234)",(54.96)
1000.2300.1000.52020.010,,Ed,Tech Benefits,"$25,998",,"$26,831",,"$23,539","$27,805","$43,743","$15,938",57.32
1000.2300.1000.52020.020,,Ed,Tech Benefits,"$25,330",,"$26,655",,"$6,256","$1,158","$41,185","$40,027","3,458.07"
1000.2300.1000.52020.030,,Ed,Tech Benefits,"$13,402",,"$9,066",,$5,$0,$0,$0,0.00
1000.2300.1000.52020.040,,Ed,Tech Benefits,$0,,$0,,$0,$481,"$59,873","$59,392","12,345.54"
,,,,,,,,,,,3/21/22 Page 12,
