,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
,1000.0000.2120.51010.050,,,,Guidance Salaries,"$98,348.62","$84,853.47",,"$90,368.95","$95,791.00","$101,060.00",,"$5,269.00",5.50
,1000.0000.2120.52010.050,,,,Benefits,"$18,672.66","$19,156.21",,"$24,454.18","$28,178.00","$30,221.00",,"$2,043.00",7.25
,1000.0000.2120.52310.050,,,,Retirement,"$3,770.76",,"$3,792.87","$4,024.10","$4,282.00","$4,517.00",,$235.00,5.49
,1000.0000.2120.53000.050,,,,Purchased Professional,$226.50,,$280.57,$0.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2120.54330.050,,,,Software,$333.35,,$333.35,$275.33,$334.00,$334.00,,$0.00,0.00
,1000.0000.2120.56100.050,,,,Instructional Supplies,$793.20,,$705.73,$338.49,"$1,100.00","$1,100.00",,$0.00,0.00
,1000.0000.2120.57300.050,,,,Equipment,$426.27,,$725.91,$0.00,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$122,571.36","$109,848.11",,"$119,461.05","$129,985.00","$137,532.00",,"$7,547.00",5.81
Function:,,COUNSELING -,2120,,,"$122,571.36","$109,848.11",,"$119,461.05","$129,985.00","$137,532.00",,"$7,547.00",5.81
,1000.0000.2130.51010.050,,,,Nurse Salary,"$72,464.93","$75,001.19",,"$85,006.36","$91,021.00","$97,392.00",,"$6,371.00",7.00
,1000.0000.2130.51200.050,,,,Nurse Substitute - FMS,"$2,244.85",,"$2,800.12","$4,943.62",$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52000.050,,,,Employee Benefits,$80.55,,$204.47,$400.23,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52010.050,,,,Nurse Benefits,"$5,306.19",,"$5,302.51","$6,036.97","$6,440.00","$6,646.00",,$206.00,3.20
,1000.0000.2130.52300.050,,,,Retirement - Stipends,$48.58,,$13.45,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52310.050,,,,Retirement,"$2,782.78",,"$3,352.45","$3,785.49","$4,069.00","$4,353.00",,$284.00,6.98
,1000.0000.2130.53000.050,,,,Purchased Professional,$276.76,,$259.78,$113.84,$300.00,$300.00,,$0.00,0.00
,1000.0000.2130.56000.050,,,,Supplies,$737.44,,$841.02,$806.55,$994.00,"$1,224.00",,$230.00,23.14
,1000.0000.2130.58100.050,,,,Dues & Fees,$0.00,,$0.00,$150.00,$180.00,$180.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$83,942.08","$87,774.99",,"$101,243.06","$103,004.00","$110,095.00",,"$7,091.00",6.88
,,,,,,Page,56 of 89,,,,,,,
