,,,,,RSU,No.,5,,,,,,
Article 5,Student and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,Function: OTH,SUPPORT SVCS -,STAFF - 2290,"$99,934.00",$0.00,"$99,934.00",,$0.00,$0.00,"$99,934.00","$65,870.00","$34,064.00",34.09%
,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$1,068,988.00",$0.00,"$1,068,988.00",,"$3,546.81","$3,546.81","$1,065,441.19","$537,436.93","$528,004.26",49.39%
1000.0000.2130.51500.900,,Doctor-Consulting,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,,Physician-Stipend,,,,,,,,,,,
1000.0000.2130.53000.900,,Purchased,Professional-District,"$1,000.00",$0.00,"$1,000.00",,$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",100.00%
,,Wide,,,,,,,,,,,
1000.0000.2130.56000.900,,Supplies - District,Wide,"$2,565.00",$0.00,"$2,565.00",,$0.00,$0.00,"$2,565.00",$0.00,"$2,565.00",100.00%
1000.0000.2130.58100.900,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,Program:,OVERHEAD - 0000,"$5,195.00",$0.00,"$5,195.00",,$0.00,$0.00,"$5,195.00",$0.00,"$5,195.00",100.00%
,,Function: HEALTH,SERVICES - 2130,"$5,195.00",$0.00,"$5,195.00",,$0.00,$0.00,"$5,195.00",$0.00,"$5,195.00",100.00%
1000.0000.2210.51040.900,,Curriculum Director,Salary,"$87,360.00",$0.00,"$87,360.00",,"$3,392.31","$3,392.31","$83,967.69","$84,807.69",($840.00),-0.96%
1000.0000.2210.52040.900,,Curriculum Director,Benefits,"$18,492.00",$0.00,"$18,492.00",,$545.83,$545.83,"$17,946.17",$0.00,"$17,946.17",97.05%
1000.0000.2210.52340.900,,Retirement,,"$3,905.00",$0.00,"$3,905.00",,$151.64,$151.64,"$3,753.36",$0.00,"$3,753.36",96.12%
1000.0000.2210.53000.900,,Purchased Professional,,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
1000.0000.2210.55810.900,,Travel,,$700.00,$0.00,,$700.00,$0.00,$0.00,$700.00,$0.00,$700.00,100.00%
1000.0000.2210.56400.900,,Curriculum Materials,,"$53,900.00",$0.00,"$53,900.00",,$0.00,$0.00,"$53,900.00","$3,170.69","$50,729.31",94.12%
1000.0000.2210.58100.900,,Dues & Fees,,$239.00,$0.00,,$239.00,$0.00,$0.00,$239.00,$0.00,$239.00,100.00%
,,Program:,OVERHEAD - 0000,"$169,596.00",$0.00,"$169,596.00",,"$4,089.78","$4,089.78","$165,506.22","$87,978.38","$77,527.84",45.71%
,Function: IMPROVEMENT,OF INSTRUCTION,- 2210,"$169,596.00",$0.00,"$169,596.00",,"$4,089.78","$4,089.78","$165,506.22","$87,978.38","$77,527.84",45.71%
1000.0000.2230.51040.900,,Technology Director,Salary,"$116,480.00",$0.00,"$116,480.00",,"$4,523.08","$4,523.08","$111,956.92","$113,076.92","($1,120.00)",-0.96%
1000.0000.2230.51180.900,,Support Wages,,"$347,797.00",$0.00,"$347,797.00",,"$7,519.91","$7,519.91","$340,277.09","$250,228.65","$90,048.44",25.89%
1000.0000.2230.52040.900,,Benefits,,"$40,169.00",$0.00,"$40,169.00",,"$1,040.32","$1,040.32","$39,128.68",$0.00,"$39,128.68",97.41%
1000.0000.2230.52080.900,,Benefits,,"$114,563.00",$0.00,"$114,563.00",,"$1,797.08","$1,797.08","$112,765.92",$0.00,"$112,765.92",98.43%
1000.0000.2230.52340.900,,Retirement,,"$11,532.00",$0.00,"$11,532.00",,$447.78,$447.78,"$11,084.22",$0.00,"$11,084.22",96.12%
1000.0000.2230.52380.900,,Retirement,,"$19,792.00",$0.00,"$19,792.00",,$136.56,$136.56,"$19,655.44",$0.00,"$19,655.44",99.31%
1000.0000.2230.53000.900,,Purchased Professional,,"$6,067.00",$0.00,"$6,067.00",,$0.00,$0.00,"$6,067.00",$0.00,"$6,067.00",100.00%
1000.0000.2230.54320.900,,Tech Repairs/Maintenance,,"$6,000.00",$0.00,"$6,000.00",,$0.00,$0.00,"$6,000.00",$0.00,"$6,000.00",100.00%
1000.0000.2230.55000.900,,Other Purchased,Services,"$94,860.00",$0.00,"$94,860.00",,"$4,350.00","$4,350.00","$90,510.00",$0.00,"$90,510.00",95.41%
1000.0000.2230.55200.900,,Insurance (P&C),,"$16,500.00",$0.00,"$16,500.00",,"$16,584.00","$16,584.00",($84.00),$0.00,($84.00),-0.51%
1000.0000.2230.55800.900,,Travel,,"$4,000.00",$0.00,"$4,000.00",,$0.00,$0.00,"$4,000.00",$0.00,"$4,000.00",100.00%
1000.0000.2230.56500.900,,Computer Materials,,"$7,560.00",$0.00,"$7,560.00",,$0.00,$0.00,"$7,560.00",$0.00,"$7,560.00",100.00%
1000.0000.2230.57340.900,,EQUIPMENT,,"$374,684.00",$0.00,"$374,684.00",,"$197,641.21","$197,641.21","$177,042.79","$112,060.00","$64,982.79",17.34%
1000.0000.2230.58100.900,,Dues and Fees,,$270.00,$0.00,,$270.00,$0.00,$0.00,$270.00,$0.00,$270.00,100.00%
,,Program:,OVERHEAD - 0000,"$1,160,274.00",$0.00,"$1,160,274.00",,"$234,039.94","$234,039.94","$926,234.06","$475,365.57","$450,868.49",38.86%
,,,,,Page,31 of,44,,,,,,
