,,,,,,,RSU,No.,5,,,,,,
,Article,5 Student,and,Staff,Support- Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,,,Program:,OVERHEAD - 0000,"$123,642.00",$0.00,"$123,642.00",,"$1,319.05","$1,319.05","$122,322.95","$79,261.15","$43,061.80",34.83%
,,,,Function: LIBRARY,SERVICES - 2220,"$123,642.00",$0.00,"$123,642.00",,"$1,319.05","$1,319.05","$122,322.95","$79,261.15","$43,061.80",34.83%
,1000.0000.2230.51500.050,,,Stipends,,"$4,266.00",$0.00,"$4,266.00",,$0.00,$0.00,"$4,266.00",$0.00,"$4,266.00",100.00%
,1000.0000.2230.52000.050,,,Stipend Benefits,,$72.00,$0.00,,$72.00,$0.00,$0.00,$72.00,$0.00,$72.00,100.00%
,1000.0000.2230.52300.050,,,Retirement,,$191.00,$0.00,,$191.00,$0.00,$0.00,$191.00,$0.00,$191.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$4,529.00",$0.00,"$4,529.00",,$0.00,$0.00,"$4,529.00",$0.00,"$4,529.00",100.00%
,,Function:,INSTRUCTION,RELATED,TECHNOLOGY - 2230,"$4,529.00",$0.00,"$4,529.00",,$0.00,$0.00,"$4,529.00",$0.00,"$4,529.00",100.00%
,,Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,"$426,656.00",$0.00,"$426,656.00",,"$1,319.05","$1,319.05","$425,336.95","$284,900.43","$140,436.52",32.92%
,1000.0000.2110.51010.300,,,Teachers Salaries,,"$84,853.00",$0.00,"$84,853.00",,$0.00,$0.00,"$84,853.00",$0.00,"$84,853.00",100.00%
,1000.0000.2110.52010.300,,,Teacher Benefits,,"$31,854.00",$0.00,"$31,854.00",,$0.00,$0.00,"$31,854.00",$0.00,"$31,854.00",100.00%
,1000.0000.2110.52310.300,,,Retirement,,"$4,058.00",$0.00,"$4,058.00",,$0.00,$0.00,"$4,058.00",$0.00,"$4,058.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$120,765.00",$0.00,"$120,765.00",,$0.00,$0.00,"$120,765.00",$0.00,"$120,765.00",100.00%
,,,Function:,Attendance & Social,Work - 2110,"$120,765.00",$0.00,"$120,765.00",,$0.00,$0.00,"$120,765.00",$0.00,"$120,765.00",100.00%
,1000.0000.2120.51010.300,,,Counselor Salaries,,"$224,692.00",$0.00,"$224,692.00",,$720.00,$720.00,"$223,972.00","$216,391.95","$7,580.05",3.37%
,1000.0000.2120.51180.300,,,Guidance Support,Wages,"$65,371.00",$0.00,"$65,371.00",,"$1,351.10","$1,351.10","$64,019.90","$68,985.73","($4,965.83)",-7.60%
,1000.0000.2120.52010.300,,,Counselor Benefits,,"$113,222.00",$0.00,"$113,222.00",,$13.41,$13.41,"$113,208.59",$0.00,"$113,208.59",99.99%
,1000.0000.2120.52080.300,,,Support Benefits,,"$26,250.00",$0.00,"$26,250.00",,$111.06,$111.06,"$26,138.94",$0.00,"$26,138.94",99.58%
,1000.0000.2120.52310.300,,,Retirement,,"$10,967.00",$0.00,"$10,967.00",,$32.19,$32.19,"$10,934.81",$0.00,"$10,934.81",99.71%
,1000.0000.2120.52380.300,,,Retirement,,"$3,269.00",$0.00,"$3,269.00",,$0.00,$0.00,"$3,269.00",$0.00,"$3,269.00",100.00%
,1000.0000.2120.53000.300,,,Purchased,Professional,"$24,418.00",$0.00,"$24,418.00",,$0.00,$0.00,"$24,418.00",$0.00,"$24,418.00",100.00%
,1000.0000.2120.54330.300,,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.55810.300,,,Travel,,$600.00,$0.00,,$600.00,$0.00,$0.00,$600.00,$0.00,$600.00,100.00%
,1000.0000.2120.56100.300,,,Instructional Supplies,,"$1,000.00",$0.00,"$1,000.00",,$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",100.00%
,1000.0000.2120.58100.300,,,Dues & Fees,,$510.00,$0.00,,$510.00,$0.00,$0.00,$510.00,$0.00,$510.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$470,633.00",$0.00,"$470,633.00",,"$2,227.76","$2,227.76","$468,405.24","$285,377.68","$183,027.56",38.89%
,,,,Function:,COUNSELING - 2120,"$470,633.00",$0.00,"$470,633.00",,"$2,227.76","$2,227.76","$468,405.24","$285,377.68","$183,027.56",38.89%
,1000.0000.2130.51010.300,,,Nurse Salary,,"$73,228.00",$0.00,"$73,228.00",,$0.00,$0.00,"$73,228.00","$73,228.08",($0.08),0.00%
,1000.0000.2130.52010.300,,,Nurses Benefits,,"$31,599.00",$0.00,"$31,599.00",,$0.00,$0.00,"$31,599.00",$0.00,"$31,599.00",100.00%
,1000.0000.2130.52310.300,,,Retirement,,"$3,545.00",$0.00,"$3,545.00",,$0.00,$0.00,"$3,545.00",$0.00,"$3,545.00",100.00%
,1000.0000.2130.53000.300,,,Purchased,Professional,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2130.54310.300,,,Repairs & Maintenance,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,,,,,,,Page,29 of,44,,,,,,
