,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,Support- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,,,
,1000.0000.2213.51500.050,,Stipends-Acad,Leadership and LCC,,$0.00,,"$20,620.50","$28,530.00",,"$25,191.00",,"$26,841.00","$1,650.00",,6.55
,1000.0000.2213.52000.050,,Stipend,Benefits - FMS,,$0.00,,$936.22,"$4,630.26",,,$0.00,$426.00,,$426.00,0.00
,1000.0000.2213.52300.050,,Stipend,Retirement - FMS,,$0.00,,$791.87,"$1,095.64",,,$0.00,"$1,126.00","$1,126.00",,0.00
,1000.0000.2213.56400.050,,Books,,,$0.00,,$45.71,,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,$0.00,,"$22,394.30","$34,255.90",,"$25,191.00",,"$28,393.00",,"$3,202.00",,12.71
Function:,,INSTRUCTIONAL,STAFF TRAINING,- 2213,$0.00,,"$22,394.30","$34,255.90",,"$25,191.00",,"$28,393.00",,"$3,202.00",,12.71
,1000.0000.2220.51010.050,,Librarian,Salaries,,"$72,428.52",,"$72,167.78","$75,696.16",,"$80,237.00",,"$79,261.00",($976.00),,(1.22)
,1000.0000.2220.51020.050,,Ed Tech,Salaries,,"$1,239.82",,$0.00,"$9,170.00",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.52010.050,,Librarian,Benefits,,"$4,837.17",,"$21,189.43","$16,836.37",,"$23,459.00",,"$32,339.00","$8,880.00",,37.85
,1000.0000.2220.52020.050,,Ed Tech,Benefits,,$0.00,,$0.00,$779.77,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.52310.050,,Retirement,,,$732.60,,"$2,771.33","$2,906.77",,"$3,587.00",,"$3,838.00",,$251.00,7.00
,1000.0000.2220.52320.050,,Retirement,,,$0.00,,$0.00,$115.80,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.54330.050,,Software,,,"$1,042.50",,"$1,060.35","$1,043.00",,"$1,129.00",,"$1,320.00",,$191.00,16.92
,1000.0000.2220.56000.050,,Supplies,,,$486.29,,$372.55,$497.04,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.56100.050,,Instructional,Supplies,,$0.00,,$0.00,,$0.00,$500.00,,$500.00,,$0.00,0.00
,1000.0000.2220.56400.050,,Books,,,"$6,517.08",,"$5,930.85","$5,832.57",,"$5,922.00",,"$6,384.00",,$462.00,7.80
Program:,OVERHEAD,- 0000,,,"$87,283.98","$103,492.29",,"$112,877.48",,"$114,834.00",,"$123,642.00",,"$8,808.00",,7.67
Function:,LIBRARY,SERVICES,- 2220,,"$87,283.98","$103,492.29",,"$112,877.48",,"$114,834.00",,"$123,642.00",,"$8,808.00",,7.67
,1000.0000.2230.51010.050,,Teacher,Salary,,$10.98,,$0.00,"$14,511.95",,,$0.00,$0.00,,$0.00,0.00
,03/27/2024,,,,,,,,,,,,,,52 of 81,
