,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,Support -,Proposed,,,,,,,,
From Date:,7/1/2021,,To Date:,6/30/2022 Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.0000.2220.56400.030,,Books,& Periodicals,"$2,316",,"$6,607",,"$4,218","$3,726","$2,276","($1,451)",(38.93)
1000.0000.2220.56400.040,,Books,,"$5,143",,"$3,294",,"$4,644","$4,490","$5,023",$533,11.86
1000.0000.2220.56400.050,,Books,,"$6,867",,"$7,107",,"$6,517","$6,191","$5,843",($349),(5.63)
1000.0000.2220.56400.300,,Books,,"$11,861",,"$7,489",,"$12,652","$12,341","$14,141","$1,800",14.59
1000.0000.2220.57300.050,,,Equipment,"$1,189",,$0,,$0,$0,$0,$0,0.00
1000.0000.2220.57300.300,,,Equipment,$0,,$0,,$0,$100,$100,$0,0.00
1000.0000.2230.51010.010,,Teacher,Salaries,"$71,298",,"$51,938",,$12,$0,$0,$0,0.00
1000.0000.2230.51010.020,,Teacher,Salaries,"$35,165",,"$36,649",,"($3,487)",$0,$0,$0,0.00
1000.0000.2230.51010.030,,Teacher,Salaries,"$35,165",,"$36,649",,($956),$0,$0,$0,0.00
1000.0000.2230.51010.050,,Teacher,Salary,"$57,294",,"$70,602",,$11,$0,$0,$0,0.00
1000.0000.2230.51010.300,,Teacher,Salaries,"$74,103",,"$76,135",,"$16,965",$0,$0,$0,0.00
1000.0000.2230.51040.900,,,Technology Director Salary,"$95,078",,"$88,394",,"$124,326","$94,771","$98,561","$3,790",4.00
1000.0000.2230.51180.010,,Support,Salaries,$341,,$0,,$0,$0,$0,$0,0.00
1000.0000.2230.51180.030,,Support,Salaries,$324,,$0,,$0,$0,$0,$0,0.00
1000.0000.2230.51180.040,,Support,Salaries,"$6,305",,$0,,$0,$0,$0,$0,0.00
1000.0000.2230.51180.050,,Support,Salaries,"$40,137",,"$39,689",,"($1,088)",$0,$0,$0,0.00
1000.0000.2230.51180.300,,Support,Salaries,"$34,006",,"$36,248",,"($1,084)",$0,$0,$0,0.00
1000.0000.2230.51180.900,,Support,Wages,"$98,822","$107,178",,,"$222,626","$250,032","$289,015","$38,983",15.59
1000.0000.2230.51500.010,,Stipends,,"$1,385",,"$1,385",,"$3,181","$1,422","$3,815","$2,393",168.27
1000.0000.2230.51500.050,,Stipends,,"$3,855",,"$3,855",,"$2,362","$1,272","$3,815","$2,543",199.91
1000.0000.2230.52000.010,,Benefits,,$9,,$20,,$2,$23,$0,($23),(100.00)
1000.0000.2230.52000.030,,Benefits,,$0,,$0,,"$3,221",$0,$0,$0,0.00
1000.0000.2230.52000.050,,Stipend,Benefits,$22,,$19,,$2,$21,$0,($21),(100.00)
1000.0000.2230.52000.300,,Teacher,Benefits,$0,,$0,,"$2,340",$0,$0,$0,0.00
,,,,,,,,,,,3/21/22 Page 32,
