,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2 Special,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,1000.2800.2160.52310.030,,,,Retirement,$698.00,,$945.89,"$2,248.46","$1,174.00","$1,261.00",,$87.00,7.41
,1000.2800.2160.55800.030,,,Travel,,$0.00,,$0.00,$0.00,$50.00,$50.00,,$0.00,0.00
,Program: OTHER,SPECIAL,PROGRAMS -,2800,,"$22,006.37","$25,926.36",,"$31,446.01","$33,991.00","$36,454.00",,"$2,463.00",7.25
,Function: OT -,2160,,,,"$22,006.37","$25,926.36",,"$31,446.01","$33,991.00","$36,454.00",,"$2,463.00",7.25
Cost,Center:,POWNAL ELEMENTARY,- 030,,,"$226,894.85","$123,924.61",,"$149,108.01","$227,675.00","$329,115.00","$101,440.00",,44.55
,1000.2200.1000.51010.040,,,Teacher,Salaries,"$83,664.03","$87,028.47",,"$91,932.74","$95,791.00","$178,324.00","$82,533.00",,86.16
,1000.2200.1000.51020.040,,,Ed,Tech Salaries,"$57,055.14","$78,357.34",,"$172,501.54","$151,957.00","$98,304.00","($53,653.00)",,(35.31)
,1000.2200.1000.52010.040,,,Teacher,Benefits,"$18,880.91","$19,456.68",,"$24,314.47","$28,178.00","$36,217.00",,"$8,039.00",28.53
,1000.2200.1000.52020.040,,,Ed,Tech Benefits,"$9,219.14",,"$1,980.02","$28,881.43","$64,956.00","$42,248.00","($22,708.00)",,(34.96)
,1000.2200.1000.52310.040,,,,Retirement,"$3,205.14",,"$3,898.87","$4,080.02","$4,282.00","$7,971.00",,"$3,689.00",86.15
,1000.2200.1000.52320.040,,,,Retirement,"$2,591.38",,"$6,313.99","$9,073.47","$6,792.00","$4,746.00","($2,046.00)",,(30.12)
,1000.2200.1000.56100.040,,,,Instructional Supplies,$0.00,,$0.00,$0.00,$100.00,"$4,325.00",,"$4,225.00","4,225.00"
,Program:,RESOURCE CLASSROOM,PLACEMENT,-,2200,"$174,615.74","$197,035.37",,"$330,783.67","$352,056.00","$372,135.00","$20,079.00",,5.70
,1000.2300.1000.51010.040,,,Teacher,Salaries,"$126,000.03","$141,139.09",,"$219,400.01","$205,047.00","$188,007.00","($17,040.00)",,(8.31)
,1000.2300.1000.51020.040,,,Ed,Tech Salaries,"$32,548.59","$28,763.39",,"$30,729.14","$33,459.00","$89,903.00","$56,444.00",,168.70
,1000.2300.1000.52010.040,,,Teacher,Benefits,"$10,130.55","$19,418.88",,"$46,883.63","$47,990.00","$57,298.00",,"$9,308.00",19.40
,1000.2300.1000.52020.040,,,Ed,Tech Benefits,"$8,209.17",,"$8,583.53","$9,214.74","$13,281.00","$56,829.00","$43,548.00",,327.90
,,,,,,Page,22 of 89,,,,,,,
