,,,,,,,RSU,No.,5,,,,,
FY25,Article,2,Special,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.2800.2170.55800.900,,Travel,- PT -,District Wide,$0.00,,$0.00,,$0.00,$500.00,$300.00,($200.00),(40.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,,$0.00,,$0.00,$500.00,$300.00,($200.00),(40.00)
Function:,PT -,2170,,,,$0.00,,$0.00,,$0.00,$500.00,$300.00,($200.00),(40.00)
,1000.2800.2190.51010.900,,BCBA,Salary,,$0.00,,$0.00,,$0.00,"$70,000.00","$62,131.00","($7,869.00)",(11.24)
,1000.2800.2190.52010.900,,BCBA,Benefits,,$0.00,,$0.00,,$0.00,"$18,000.00","$29,685.00","$11,685.00",64.92
,1000.2800.2190.52310.900,,BCBA,Retirement,,$0.00,,$0.00,,$0.00,"$2,000.00","$3,057.00","$1,057.00",52.85
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,,$0.00,,$0.00,"$90,000.00","$94,873.00","$4,873.00",5.41
Function:,OTHER,SUPPORT,SERVICES,- 2190,,$0.00,,$0.00,,$0.00,"$90,000.00","$94,873.00","$4,873.00",5.41
,1000.2500.2330.51010.900,,,Instructional,Strategist Salaries,"$216,539.46","$233,936.10",,"$243,084.65",,"$252,471.00","$231,880.00","($20,591.00)",(8.16)
,1000.2500.2330.51040.900,,Admin,Salaries,,"$136,213.02","$140,837.68",,"$126,756.56",,"$126,000.00","$137,592.00","$11,592.00",9.20
,1000.2500.2330.51180.900,,Support,Wages,,"$51,839.29","$52,208.65",,"$53,188.92",,"$53,040.00","$59,380.00","$6,340.00",11.95
,1000.2500.2330.51230.900,,,Substitutes,,"$38,214.28",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2500.2330.52010.900,,,Instructional,Strategist Benefits,"$6,907.35","$35,279.24",,"$33,629.63",,"$34,071.00","$75,234.00","$41,163.00",120.82
,1000.2500.2330.52030.900,,Sub,Benefits,,$76.88,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2500.2330.52040.900,,Admin,Benefits,,"$4,452.26","$13,731.54",,"$11,669.30",,"$18,114.00","$18,001.00",($113.00),(0.62)
,1000.2500.2330.52080.900,,Support,Benefits,,"$19,924.26","$22,128.95",,"$22,600.25",,"$22,240.00","$26,443.00","$4,203.00",18.90
,1000.2500.2330.52310.900,,,Retirement,,"$1,243.02","$9,522.47",,,"$9,334.03","$11,285.00","$11,227.00",($58.00),(0.51)
,1000.2500.2330.52330.900,,,Retirement,,$512.59,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2500.2330.52340.900,,,Retirement,,"$2,096.80","$5,637.10",,,"$4,466.17","$5,857.00","$6,150.00",$293.00,5.00
,03/13/2024,,,,,,,,,,,,27,
