,,,,,RSU,No.,5,,,,,,
Article,9,Operations,&,Maintenance- Adopted,,,,,,,,,
From,Date:,7/1/2025,To,Date: 6/30/2026,Definition: FY26,Adopted,,,,,,,
,,,,,,,,,,FY26,Dollar,,Percent
,,,,,FY22 Actual,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,
,1000.0000.2600.52380.941,,,Custodian Retirement,$0.00,,$38.28,$91.62,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.53300.941,,,Employee Training,$0.00,,$0.00,"$1,175.17",$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.54100.941,,,Water/Sewage,$956.36,,"$1,270.90","$1,283.91","$1,309.00","$1,271.00",($38.00),,(2.90)
,1000.0000.2600.54300.941,,,Purchaed Repairs,"$1,032.15",,"$11,377.89","$12,790.39","$2,550.00","$4,695.00","$2,145.00",,84.12
,1000.0000.2600.55320.941,,,Telephone,"$5,300.24",,"$5,804.02","$5,899.85","$5,978.00","$5,978.00",,$0.00,0.00
,1000.0000.2600.56000.941,,,Supplies,"$1,080.78",,"$2,272.92","$2,690.71","$1,500.00","$1,550.00",,$50.00,3.33
,1000.0000.2600.56011.941,,,Materials for Repair,$729.89,,"$2,803.96","$2,353.25","$3,000.00","$2,700.00",($300.00),,(10.00)
,1000.0000.2600.56013.941,,,Major Maintenance,"$5,418.00",,$159.31,$92.33,"$5,000.00","$5,500.00",$500.00,,10.00
,1000.0000.2600.56220.941,,,Electricity,"$3,527.14",,"$4,380.76","$4,678.96","$3,000.00","$4,000.00","$1,000.00",,33.33
,1000.0000.2600.56240.941,,,Heating Fuel,"$4,369.77",,"$4,605.82","$3,741.27","$5,900.00","$5,000.00",($900.00),,(15.25)
Program:,OVERHEAD,- 0000,,,"$22,414.33",,"$36,370.45","$37,569.40","$28,237.00","$30,694.00","$2,457.00",,8.70
Function:,,OPERATION OF,PLANT - 2600,,"$22,414.33",,"$36,370.45","$37,569.40","$28,237.00","$30,694.00","$2,457.00",,8.70
Cost,Center:,CENTRAL OFFICE,- 941,,"$22,414.33",,"$36,370.45","$37,569.40","$28,237.00","$30,694.00","$2,457.00",,8.70
Grand,Total:,,,,"$4,860,437.57",,"$4,627,765.53","$4,819,290.03","$5,139,408.00","$5,490,511.00","$351,103.00",,6.83
,,,,,End,of Report,,,,,,,
,Adopted,04/09/2025,,,,,,,,,,Page 89 of 91,
