,,,,,RSU,No. 5,,,,,,,
FY27,Article,2 Special,Education-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.2100.1000.51210.300,,,Tutor Salaries/ESY,$471.00,,$0.00,$0.00,"$14,426.00",$0.00,"($14,426.00)",,(100.00)
,1000.2100.1000.52010.300,,,Benefits,$29.69,,$0.00,$0.00,$645.00,$0.00,,($645.00),(100.00)
,1000.2100.1000.52310.300,,,Retirement,$56.44,,$0.00,$0.00,$485.00,$0.00,,($485.00),(100.00)
,1000.2100.1000.53440.300,,,Purchased Professional,$610.00,,"$1,065.00","$1,715.00","$1,250.00",$0.00,"($1,250.00)",,(100.00)
,Program: REGULAR,CLASSROOM,PLACEMENT,- 2100,"$1,167.13",,"$1,065.00","$1,715.00","$16,806.00",$0.00,"($16,806.00)",,(100.00)
,1000.2200.1000.51010.300,,,Teacher Salaries,"$146,732.73","$166,464.73",,"$223,046.42","$142,284.00","$157,245.00","$14,961.00",,10.51
,1000.2200.1000.51020.300,,,Ed Tech Salaries,"$48,180.49",,"$9,984.74",$0.00,"$67,590.00","$47,309.00","($20,281.00)",,(30.01)
,1000.2200.1000.51210.300,,,Tutor Wages,$0.00,,$480.00,$270.00,$0.00,$0.00,,$0.00,0.00
,1000.2200.1000.52010.300,,,Teacher Benefits,"$36,941.79","$39,433.94",,"$66,676.12","$40,645.00","$43,804.00",,"$3,159.00",7.77
,1000.2200.1000.52020.300,,,Ed Tech Benefits,"$18,522.68",,"$1,730.84",$0.00,"$26,609.00","$20,839.00","($5,770.00)",,(21.68)
,1000.2200.1000.52310.300,,,Retirement,"$5,634.71",,"$6,905.69","$9,935.48","$6,360.00","$7,029.00",,$669.00,10.52
,1000.2200.1000.52320.300,,,Retirement,"$1,855.16",,$175.73,$0.00,"$3,021.00","$2,284.00",,($737.00),(24.40)
,1000.2200.1000.56100.300,,,Instructional Supplies,$0.00,,$0.00,$551.50,$600.00,"$4,825.00",,"$4,225.00",704.17
,Program:,RESOURCE,CLASSROOM,PLACEMENT - 2200,"$257,867.56","$225,175.67",,"$300,479.52","$287,109.00","$283,335.00","($3,774.00)",,(1.31)
,1000.2300.1000.51010.300,,,Teacher Salaries,"$142,287.71","$121,189.60",,"$72,584.23","$175,562.00","$254,684.00","$79,122.00",,45.07
,1000.2300.1000.51020.300,,,Ed Tech Salaries,"$68,262.27","$112,043.65",,"$116,964.42","$127,282.00","$121,682.00","($5,600.00)",,(4.40)
,1000.2300.1000.52010.300,,,Teacher Benefits,"$24,506.18","$18,953.93",,"$35,146.66","$41,720.00","$73,908.00","$32,188.00",,77.15
,1000.2300.1000.52020.300,,,Ed Tech Benefits,"$18,768.20","$26,018.91",,"$19,626.17","$49,863.00","$64,455.00","$14,592.00",,29.26
,1000.2300.1000.52310.300,,,Retirement,"$5,463.87",,"$5,289.75","$3,232.24","$7,848.00","$11,384.00",,"$3,536.00",45.06
,,,,,Page,27 of 89,,,,,,,
