,,,,,,RSU,No.,5,,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2130.56000.300,,Supplies,,"$1,899.00",$0.00,"$1,899.00",,$0.00,$0.00,"$1,899.00",$0.00,"$1,899.00",100.00%
,1000.0000.2130.58100.300,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,,Program:,OVERHEAD - 0000,"$110,836.00",$0.00,"$110,836.00",,$0.00,$0.00,"$110,836.00","$73,228.08","$37,607.92",33.93%
,,,Function: HEALTH,SERVICES - 2130,"$110,836.00",$0.00,"$110,836.00",,$0.00,$0.00,"$110,836.00","$73,228.08","$37,607.92",33.93%
,1000.0000.2213.51010.300,,9-12 HONORARIUM,,"$4,600.00",$0.00,"$4,600.00",,$0.00,$0.00,"$4,600.00",$0.00,"$4,600.00",100.00%
,1000.0000.2213.51500.300,,Stipends-Acad,Leadership and LCC,"$22,254.00",$0.00,"$22,254.00",,$0.00,$0.00,"$22,254.00",$0.00,"$22,254.00",100.00%
,1000.0000.2213.52000.300,,Stipend Benefits -,FHS,$591.00,$0.00,,$591.00,$0.00,$0.00,$591.00,$0.00,$591.00,100.00%
,1000.0000.2213.52010.300,,9-12 HONORARIUM,BENEFITS,$202.00,$0.00,,$202.00,$0.00,$0.00,$202.00,$0.00,$202.00,100.00%
,1000.0000.2213.52300.300,,Stipend Retirement,- FHS,"$1,563.00",$0.00,"$1,563.00",,$0.00,$0.00,"$1,563.00",$0.00,"$1,563.00",100.00%
,1000.0000.2213.52310.300,,9-12 HONORARIUM,RETIREMENT,$206.00,$0.00,,$206.00,$0.00,$0.00,$206.00,$0.00,$206.00,100.00%
,1000.0000.2213.52510.300,,Tuition,Reimbursement-Teacher,"$25,000.00",$0.00,"$25,000.00",,$0.00,$0.00,"$25,000.00",$0.00,"$25,000.00",100.00%
,1000.0000.2213.52520.300,,Tuition,Reimbursement-Support,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2213.53000.300,,Purchased Professional,Services,"$42,836.00",$0.00,"$42,836.00",,$0.00,$0.00,"$42,836.00",$0.00,"$42,836.00",100.00%
,1000.0000.2213.55000.300,,Other Purchased,Services,"$1,000.00",$0.00,"$1,000.00",,$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",100.00%
,1000.0000.2213.55810.300,,Travel,,"$1,000.00",$0.00,"$1,000.00",,$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",100.00%
,,,Program:,OVERHEAD - 0000,"$100,752.00",$0.00,"$100,752.00",,$0.00,$0.00,"$100,752.00",$0.00,"$100,752.00",100.00%
,Function:,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$100,752.00",$0.00,"$100,752.00",,$0.00,$0.00,"$100,752.00",$0.00,"$100,752.00",100.00%
,1000.0000.2220.51010.300,,Librarian Salary,,"$84,853.00",$0.00,"$84,853.00",,$0.00,$0.00,"$84,853.00","$84,853.47",($0.47),0.00%
,1000.0000.2220.51020.300,,Ed Tech Salaries,,"$28,965.00",$0.00,"$28,965.00",,$0.00,$0.00,"$28,965.00","$28,107.70",$857.30,2.96%
,1000.0000.2220.52010.300,,Librarian Benefits,,"$19,002.00",$0.00,"$19,002.00",,$0.00,$0.00,"$19,002.00",$0.00,"$19,002.00",100.00%
,1000.0000.2220.52020.300,,Ed Tech Benefits,,"$10,973.00",$0.00,"$10,973.00",,$0.00,$0.00,"$10,973.00",$0.00,"$10,973.00",100.00%
,1000.0000.2220.52310.300,,Retirement,,"$4,058.00",$0.00,"$4,058.00",,$0.00,$0.00,"$4,058.00",$0.00,"$4,058.00",100.00%
,1000.0000.2220.52320.300,,Retirement,,"$1,295.00",$0.00,"$1,295.00",,$0.00,$0.00,"$1,295.00",$0.00,"$1,295.00",100.00%
,1000.0000.2220.54330.300,,Software,,"$1,320.00",$0.00,"$1,320.00",,"$1,319.05","$1,319.05",$0.95,$0.00,$0.95,0.07%
,1000.0000.2220.56100.300,,Instructional Supplies,,"$1,540.00",$0.00,"$1,540.00",,$0.00,$0.00,"$1,540.00",$0.00,"$1,540.00",100.00%
,1000.0000.2220.56400.300,,Books,,"$13,962.00",$0.00,"$13,962.00",,$0.00,$0.00,"$13,962.00",$0.00,"$13,962.00",100.00%
,1000.0000.2220.57300.300,,Equipment,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,,,Program:,OVERHEAD - 0000,"$166,068.00",$0.00,"$166,068.00",,"$1,319.05","$1,319.05","$164,748.95","$112,961.17","$51,787.78",31.18%
,,Function:,LIBRARY,SERVICES - 2220,"$166,068.00",$0.00,"$166,068.00",,"$1,319.05","$1,319.05","$164,748.95","$112,961.17","$51,787.78",31.18%
,1000.0000.2290.51060.300,,Outreach Coordinator,Salary,"$65,242.00",$0.00,"$65,242.00",,$0.00,$0.00,"$65,242.00","$65,870.00",($628.00),-0.96%
,1000.0000.2290.52060.300,,Outreach Coordinator,Benefits,"$34,692.00",$0.00,"$34,692.00",,$0.00,$0.00,"$34,692.00",$0.00,"$34,692.00",100.00%
,,,Program:,OVERHEAD - 0000,"$99,934.00",$0.00,"$99,934.00",,$0.00,$0.00,"$99,934.00","$65,870.00","$34,064.00",34.09%
,,,,,,Page,30 of,44,,,,,,
