,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,and Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2210.55810.900,,Travel,$0.00,,$0.00,,$0.00,$700.00,$700.00,$0.00,0.00
,1000.0000.2210.56400.900,,Curriculum Materials,"$25,445.12","$12,851.94",,"$50,000.00",,"$50,000.00","$53,900.00","$3,900.00",7.80
,1000.0000.2210.58100.900,,Dues & Fees,$524.00,,$524.00,,"$1,784.00",$239.00,$239.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$116,900.34","$137,599.33",,"$147,247.60",,"$163,372.00","$169,596.00","$6,224.00",3.81
Function:,,IMPROVEMENT OF,INSTRUCTION - 2210,"$116,900.34","$137,599.33",,"$147,247.60",,"$163,372.00","$169,596.00","$6,224.00",3.81
,1000.0000.2230.51040.900,,Technology Director Salary,"$124,325.64","$93,155.46",,"$101,799.50",,"$100,457.00","$116,480.00","$16,023.00",15.95
,1000.0000.2230.51180.900,,Support Wages,"$222,625.57","$274,297.56",,"$285,350.48",,"$291,790.00","$347,797.00","$56,007.00",19.19
,1000.0000.2230.52040.900,,Benefits,"$4,259.03","$21,746.93",,"$20,783.11",,"$30,301.00","$40,169.00","$9,868.00",32.57
,1000.0000.2230.52080.900,,Benefits,"$56,048.18","$94,418.50",,"$90,020.45",,"$104,192.00","$114,563.00","$10,371.00",9.95
,1000.0000.2230.52340.900,,Retirement,$0.00,"$11,919.47",,"$10,254.34",,"$10,554.00","$11,532.00",$978.00,9.27
,1000.0000.2230.52380.900,,Retirement,$0.00,"$6,848.90",,,"$8,009.90","$7,395.00","$19,792.00","$12,397.00",167.64
,1000.0000.2230.53000.900,,Purchased Professional,"$1,949.00","$4,166.00",,,"$4,799.64","$3,572.00","$6,067.00","$2,495.00",69.85
,1000.0000.2230.54320.900,,Tech Repairs/Maintenance,"$5,230.58",,$63.60,,$0.00,"$5,500.00","$6,000.00",$500.00,9.09
,1000.0000.2230.54330.900,,Software,"$1,168.54",,$849.95,,$553.05,$500.00,$0.00,($500.00),(100.00)
,1000.0000.2230.54432.900,,SOFTWARE LICENCE/RENTAL,"$2,640.00",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.55000.900,,Other Purchased Services,"$23,787.93","$39,954.58",,"$28,619.28",,"$39,726.00","$94,860.00","$55,134.00",138.79
,1000.0000.2230.55200.900,,Insurance (P&C),$0.00,,$0.00,"$15,658.10",,"$26,874.00","$16,500.00","($10,374.00)",(38.60)
,1000.0000.2230.55800.900,,Travel,$0.00,,$41.44,,"$1,370.43","$5,000.00","$4,000.00","($1,000.00)",(20.00)
,1000.0000.2230.56500.900,,Computer Materials,"$4,026.04","$11,878.92",,,"$9,487.91","$7,500.00","$7,560.00",$60.00,0.80
,1000.0000.2230.57340.900,,EQUIPMENT,"$57,736.36","$273,694.27",,"$154,466.69",,"$247,000.00","$374,684.00","$127,684.00",51.69
,1000.0000.2230.58100.900,,Dues and Fees,$170.00,,$150.00,,$120.00,$150.00,$270.00,$120.00,80.00
Program:,OVERHEAD,- 0000,,"$503,966.87","$833,185.58",,"$731,292.88",,"$880,511.00","$1,160,274.00","$279,763.00",31.77
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,"$503,966.87","$833,185.58",,"$731,292.88",,"$880,511.00","$1,160,274.00","$279,763.00",31.77
2230,,,,,,,,,,,,
,03/13/2024,,,,,,,,,,58,
