,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2300.1000.52020.040,,Ed Tech Benefits,,"$12,604.00",$0.00,"$12,604.00",,$0.00,$0.00,"$12,604.00",$0.00,"$12,604.00",100.00%
,1000.2300.1000.52310.040,,Retirement,,"$6,538.00",$0.00,"$6,538.00",,$0.00,$0.00,"$6,538.00",$0.00,"$6,538.00",100.00%
,1000.2300.1000.52320.040,,Retirement,,"$1,402.00",$0.00,"$1,402.00",,$0.00,$0.00,"$1,402.00",$0.00,"$1,402.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT - 2300,"$227,187.00",$0.00,"$227,187.00",,$0.00,$0.00,"$227,187.00","$163,336.39","$63,850.61",28.10%
,,Function:,REGULAR,INSTRUCTION - 1000,"$561,444.00",$0.00,"$561,444.00",,$0.00,$0.00,"$561,444.00","$305,615.82","$255,828.18",45.57%
,1000.2800.2110.51010.040,,Social Worker,Salary,"$38,165.00",$0.00,"$38,165.00",,$0.00,$0.00,"$38,165.00","$38,165.09",($0.09),0.00%
,1000.2800.2110.52010.040,,Social Worker,Benefits,"$12,996.00",$0.00,"$12,996.00",,$0.00,$0.00,"$12,996.00",$0.00,"$12,996.00",100.00%
,1000.2800.2110.52310.040,,Retirement,,"$1,849.00",$0.00,"$1,849.00",,$0.00,$0.00,"$1,849.00",$0.00,"$1,849.00",100.00%
,1000.2800.2110.55800.040,,Travel,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$53,310.00",$0.00,"$53,310.00",,$0.00,$0.00,"$53,310.00","$38,165.09","$15,144.91",28.41%
,,Function:,Attendance &,Social Work - 2110,"$53,310.00",$0.00,"$53,310.00",,$0.00,$0.00,"$53,310.00","$38,165.09","$15,144.91",28.41%
,1000.2800.2150.51010.040,,Speech & Audiology,Salaries,"$37,278.00",$0.00,"$37,278.00",,$0.00,$0.00,"$37,278.00",$0.00,"$37,278.00",100.00%
,1000.2800.2150.52010.040,,Speech & Audiology,Benefits,"$19,058.00",$0.00,"$19,058.00",,$0.00,$0.00,"$19,058.00",$0.00,"$19,058.00",100.00%
,1000.2800.2150.52310.040,,Retirement,,"$1,834.00",$0.00,"$1,834.00",,$0.00,$0.00,"$1,834.00",$0.00,"$1,834.00",100.00%
,1000.2800.2150.55800.040,,Travel,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$58,270.00",$0.00,"$58,270.00",,$0.00,$0.00,"$58,270.00",$0.00,"$58,270.00",100.00%
,,Function:,SPEECH &,AUDIOLOGY - 2150,"$58,270.00",$0.00,"$58,270.00",,$0.00,$0.00,"$58,270.00",$0.00,"$58,270.00",100.00%
,1000.2800.2160.51010.040,,OT Salary,,"$11,517.00",$0.00,"$11,517.00",,$0.00,$0.00,"$11,517.00","$11,124.60",$392.40,3.41%
,1000.2800.2160.52010.040,,OT Benefits,,"$2,152.00",$0.00,"$2,152.00",,$0.00,$0.00,"$2,152.00",$559.92,"$1,592.08",73.98%
,1000.2800.2160.52310.040,,Retirement,,$567.00,$0.00,,$567.00,$0.00,$0.00,$567.00,$0.00,$567.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$14,236.00",$0.00,"$14,236.00",,$0.00,$0.00,"$14,236.00","$11,684.52","$2,551.48",17.92%
,,,Function:,OT - 2160,"$14,236.00",$0.00,"$14,236.00",,$0.00,$0.00,"$14,236.00","$11,684.52","$2,551.48",17.92%
,,,Cost Center: MAST,LANDING - 040,"$687,260.00",$0.00,"$687,260.00",,$0.00,$0.00,"$687,260.00","$355,465.43","$331,794.57",48.28%
,1000.2200.1000.51010.050,,Teacher Salaries,,"$126,036.00",$0.00,"$126,036.00",,$0.00,$0.00,"$126,036.00","$126,035.66",$0.34,0.00%
,1000.2200.1000.51020.050,,Ed Tech Salaries,,"$135,406.00",$0.00,"$135,406.00",,$0.00,$0.00,"$135,406.00","$92,608.97","$42,797.03",31.61%
,1000.2200.1000.52010.050,,Teacher Benefits,,"$56,669.00",$0.00,"$56,669.00",,$0.00,$0.00,"$56,669.00",$0.00,"$56,669.00",100.00%
,1000.2200.1000.52020.050,,Ed Tech Benefits,,"$53,020.00",$0.00,"$53,020.00",,$0.00,$0.00,"$53,020.00",$0.00,"$53,020.00",100.00%
,1000.2200.1000.52310.050,,Retirement,,"$6,209.00",$0.00,"$6,209.00",,$0.00,$0.00,"$6,209.00",$0.00,"$6,209.00",100.00%
,1000.2200.1000.52320.050,,Retirement,,"$6,053.00",$0.00,"$6,053.00",,$0.00,$0.00,"$6,053.00",$0.00,"$6,053.00",100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT - 2200,"$383,393.00",$0.00,"$383,393.00",,$0.00,$0.00,"$383,393.00","$218,644.63","$164,748.37",42.97%
,1000.2300.1000.51010.050,,Teacher Salaries,,"$138,242.00",$0.00,"$138,242.00",,$0.00,$0.00,"$138,242.00","$138,241.65",$0.35,0.00%
,,,,,,Page,12 of,44,,,,,,
,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2300.1000.51020.050,,Ed Tech Salaries,,"$209,554.00",$0.00,"$209,554.00",,$134.62,$134.62,"$209,419.38","$177,751.45","$31,667.93",15.11%
,1000.2300.1000.52010.050,,Teacher Benefits,,"$44,131.00",$0.00,"$44,131.00",,$0.00,$0.00,"$44,131.00",$0.00,"$44,131.00",100.00%
,1000.2300.1000.52020.050,,Ed Tech Benefits,,"$61,559.00",$0.00,"$61,559.00",,$11.07,$11.07,"$61,547.93",$0.00,"$61,547.93",99.98%
,1000.2300.1000.52310.050,,Retirement,,"$6,750.00",$0.00,"$6,750.00",,$0.00,$0.00,"$6,750.00",$0.00,"$6,750.00",100.00%
,1000.2300.1000.52320.050,,Retirement,,"$9,367.00",$0.00,"$9,367.00",,$0.00,$0.00,"$9,367.00",$0.00,"$9,367.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT - 2300,"$469,603.00",$0.00,"$469,603.00",,$145.69,$145.69,"$469,457.31","$315,993.10","$153,464.21",32.68%
,,Function:,REGULAR,INSTRUCTION - 1000,"$852,996.00",$0.00,"$852,996.00",,$145.69,$145.69,"$852,850.31","$534,637.73","$318,212.58",37.31%
,1000.2800.2110.51010.050,,Social Worker,Salary,"$85,029.00",$0.00,"$85,029.00",,$0.00,$0.00,"$85,029.00","$85,029.10",($0.10),0.00%
,1000.2800.2110.52010.050,,Social Worker,Benefits,"$26,278.00",$0.00,"$26,278.00",,$0.00,$0.00,"$26,278.00",$0.00,"$26,278.00",100.00%
,1000.2800.2110.52310.050,,Retirement,,"$4,109.00",$0.00,"$4,109.00",,$0.00,$0.00,"$4,109.00",$0.00,"$4,109.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$115,416.00",$0.00,"$115,416.00",,$0.00,$0.00,"$115,416.00","$85,029.10","$30,386.90",26.33%
,,Function:,Attendance &,Social Work - 2110,"$115,416.00",$0.00,"$115,416.00",,$0.00,$0.00,"$115,416.00","$85,029.10","$30,386.90",26.33%
,1000.2800.2150.51010.050,,Speech & Audiology,Salaries,"$43,149.00",$0.00,"$43,149.00",,$0.00,$0.00,"$43,149.00",$0.00,"$43,149.00",100.00%
,1000.2800.2150.52010.050,,Speech & Audiology,Benefits,"$15,135.00",$0.00,"$15,135.00",,$0.00,$0.00,"$15,135.00",$0.00,"$15,135.00",100.00%
,1000.2800.2150.52310.050,,Retirement,,"$2,064.00",$0.00,"$2,064.00",,$0.00,$0.00,"$2,064.00",$0.00,"$2,064.00",100.00%
,1000.2800.2150.55800.050,,Travel,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$60,448.00",$0.00,"$60,448.00",,$0.00,$0.00,"$60,448.00",$0.00,"$60,448.00",100.00%
,,Function:,SPEECH &,AUDIOLOGY - 2150,"$60,448.00",$0.00,"$60,448.00",,$0.00,$0.00,"$60,448.00",$0.00,"$60,448.00",100.00%
,1000.2800.2160.51010.050,,OT Salary,,"$7,828.00",$0.00,"$7,828.00",,$0.00,$0.00,"$7,828.00","$7,828.34",($0.34),0.00%
