,,,,,,,RSU No.,5,,,,,,,,
Article,1,Regular,Instruction-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,,,
,1000.1100.1000.51020.020,,Ed Tech,Salaries,,"$81,387.19",,"$74,832.55","$73,790.79",,"$110,932.00",,"$126,824.00","$15,892.00",,14.33
,1000.1100.1000.51230.020,,Substitute,Wages,,"$14,867.74",,"$60,405.75","$90,540.23",,"$30,000.00",,"$33,450.00","$3,450.00",,11.50
,1000.1100.1000.52010.020,,Teacher,Benefits,,"$51,067.52",,"$231,613.78","$205,630.56",,"$252,972.00",,"$385,838.00","$132,866.00",,52.52
,1000.1100.1000.52020.020,,Ed Tech,Benefits,,"$7,665.51",,"$16,501.34","$28,127.62",,"$55,751.00",,"$61,575.00","$5,824.00",,10.45
,1000.1100.1000.52030.020,,Substitute,Benefits,,$7.46,,"$4,669.38","$7,381.87",,$585.00,,"$2,559.00","$1,974.00",,337.44
,1000.1100.1000.52310.020,,Retirement,,,"$8,167.50",,"$29,983.68","$42,542.01",,"$48,083.00",,"$55,354.00","$7,271.00",,15.12
,1000.1100.1000.52320.020,,Retirement,,,$712.32,,"$1,771.63","$6,497.29",,"$5,306.00",,"$5,669.00",,$363.00,6.84
,1000.1100.1000.52330.020,,Retirement,,,$0.00,,$78.25,,$12.86,,$0.00,$0.00,,$0.00,0.00
,1000.1100.1000.53400.020,,Professional,Servics,,"$1,024.33",,$465.00,"$4,074.00",,"$8,150.00",,"$8,160.00",,$10.00,0.12
,1000.1100.1000.54300.020,,,Copiers-Equipment Maint,,"$10,720.93",,"$10,800.08","$6,075.21",,"$13,000.00",,"$13,000.00",,$0.00,0.00
,1000.1100.1000.54330.020,,Software,,,$0.00,,"$3,750.00","$4,686.63",,"$6,381.00",,"$4,050.00","($2,331.00)",,(36.53)
,1000.1100.1000.55800.020,,Travel,,,$45.55,,$60.84,$558.48,,$540.00,,$540.00,,$0.00,0.00
,1000.1100.1000.56100.020,,Instructional,Supplies,,"$48,394.89",,"$30,583.92","$42,411.85",,"$47,090.00",,"$47,245.00",,$155.00,0.33
,1000.1100.1000.56400.020,,BOOKS,,,"$8,096.29",,"$14,817.52","$6,404.43",,"$10,000.00",,"$9,200.00",($800.00),,(8.00)
,1000.1100.1000.57300.020,,Equipment,,,"$18,663.75",,"$5,158.65","$1,472.17",,,$0.00,$0.00,,$0.00,0.00
Program:,ELEMENTARY,,PROGRAMS,- 1100,"$1,054,550.86","$1,521,222.52",,"$1,640,039.98",,"$1,661,853.00",,"$1,886,299.00",,"$224,446.00",,13.51
,1000.1120.1000.51010.020,,Salaries,,,"$540,256.14",,"$325,713.93","$316,022.08",,"$468,707.00",,"$269,118.00","($199,589.00)",,(42.58)
,1000.1120.1000.51020.020,,Ed Tech,Salaries,,"$36,967.67",,"$89,363.87","$75,933.41",,"$52,228.00",,"$59,217.00","$6,989.00",,13.38
,1000.1120.1000.52010.020,,Benefits,,,"$16,757.90",,"$78,834.96","$35,772.25",,"$85,425.00",,"$102,837.00","$17,412.00",,20.38
,1000.1120.1000.52020.020,,Ed Tech,Benefit,,"$1,839.26",,"$27,274.07","$12,432.65",,"$11,641.00",,"$11,927.00",,$286.00,2.46
,1000.1120.1000.52310.020,,Retirement,,,"$4,268.16",,"$8,300.53","$11,407.09",,"$20,912.00",,"$13,258.00","($7,654.00)",,(36.60)
,1000.1120.1000.52320.020,,Retirement,,,$0.00,,"$2,572.14","$1,880.28",,"$2,498.00",,"$2,647.00",,$149.00,5.96
Program:,K-2,INSTRUCTION,- 1120,,"$600,089.13","$532,059.50",,"$453,447.76",,"$641,411.00",,"$459,004.00",,"($182,407.00)",,(28.44)
Function:,REGULAR,INSTRUCTION,-,1000,"$1,654,639.99","$2,053,282.02",,"$2,093,487.74",,"$2,303,264.00",,"$2,345,303.00",,"$42,039.00",,1.83
,03/27/2024,,,,,,,,,,,,,,5 of 81,
