,,,,,,Final FY22 Version,,,,,,,
926,1000-0000-2320-55320-900,Telephone,,0.00,0.00,0.00,350.80,0.00,0.00,0.00,0.00,0.00%,
927,1000-0000-2320-55400-900,Advertising,,"15,000.00","2,126.50","6,000.00",198.27,"6,000.00","1,239.37","6,000.00",0.00,0.00%,
928,1000-0000-2320-55800-900,Travel,,"3,200.00","1,328.00","1,500.00","2,548.26","1,500.00",19.67,"1,500.00",0.00,0.00%,
929,1000-0000-2320-56000-900,Supplies,,"10,000.00","10,010.51","14,000.00","7,829.53","14,000.00","6,090.49","14,000.00",0.00,0.00%,
930,1000-0000-2320-56400-900,Books,,300.00,338.95,300.00,40.00,300.00,506.25,300.00,0.00,0.00%,
931,1000-0000-2320-57340-900,Technology,Equipment,"2,000.00","5,964.02","2,000.00","-8,136.04","2,000.00",557.90,"2,000.00",0.00,0.00%,
932,1000-0000-2320-58100-900,Dues and Fees,,"11,500.00","26,786.04","11,500.00","9,055.03","11,500.00","10,534.80","11,500.00",0.00,0.00%,
933,1000-0000-2320-59000-900,Aspirations /,Miscellaneous,"12,172.00","6,118.62","12,172.00","5,000.00","12,172.00",0.00,"12,172.00",0.00,0.00%,
,,,Totals,"493,170.00","543,157.55","500,599.00","482,319.89","585,836.00","442,140.74","612,086.58","26,250.58",4.48%,
934,Function: 2500 - CENTRAL,SERVICES,,,,,,,,,,,
935,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
936,1000-0000-2500-51040-900,Administrator,Salary,"93,600.00","97,344.00","102,211.00","99,948.36","106,708.00","124,534.54","117,350.00","10,642.00",9.97%,5
937,1000-0000-2500-51180-900,Salaries,,"114,193.00","122,867.66","121,288.00","157,762.30","143,853.00","116,935.38","163,079.00","19,226.00",13.37%,
938,1000-0000-2500-52040-900,Admin Benefits,,"36,733.00","30,730.99","33,757.00","20,441.32","20,557.00","5,888.42","11,052.36","-9,504.64",-46.24%,
939,1000-0000-2500-52080-900,Benefits,,"59,068.00","58,502.71","57,790.00","43,718.08","49,611.00","25,897.78","46,428.54","-3,182.46",-6.41%,
940,1000-0000-2500-52340-900,Retirement,,0.00,0.00,0.00,0.00,"10,819.00",0.00,"10,819.00",0.00,0.00%,
941,1000-0000-2500-55800-900,Travel,,0.00,0.00,0.00,0.00,"1,000.00",0.00,"1,000.00",0.00,0.00%,
942,1000-0000-2500-55810-900,Travel,,"1,000.00",223.19,"1,000.00",380.09,0.00,0.00,0.00,0.00,0.00%,
943,1000-0000-2500-58100-900,Dues and Fees,,"3,500.00","3,839.35","3,500.00","4,254.97","3,500.00",0.00,"3,500.00",0.00,0.00%,
944,1000-0000-2500-59000-900,Outstanding,Checks Clearing Acct,0.00,232.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,
945,1000-0000-2500-59500-900,Special Items,,0.00,"361,387.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00%,
,,,Totals,"308,094.00","675,127.62","319,546.00","326,505.12","336,048.00","273,256.12","353,228.90","17,180.90",5.11%,
,,,Article 6 Totals,"928,151.00","1,255,016.21","950,098.00","859,568.00","1,013,211.00","751,438.94","1,067,818.68","54,607.68",5.39%,
,,,2019,2019,2020,2020,2021,2021,2022,,,,
,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
Article 7 - SCHOOL ADMINISTRATION,,,,,,,,,,,,,
946,Function: 2400 - SCHOOL,ADMINISTRATION,,,,,,,,,,,
947,Cost Center:,010 - DURHAM,COMMUNITY,,,,,,,,,,
948,1000-0000-2400-51040-010,Admin Salary,,"190,227.00","197,836.08","205,749.00","206,448.92","212,027.00","236,923.37","220,296.00","8,269.00",3.90%,5
949,1000-0000-2400-51180-010,Support Wages,,"66,096.00","69,272.56","71,474.00","70,847.07","71,645.00","83,448.36","81,602.26","9,957.26",13.90%,
950,1000-0000-2400-52040-010,Admin Benefits,,"53,422.00","49,668.28","56,095.00","51,003.43","58,445.00","48,671.38","50,599.21","-7,845.79",-13.42%,
951,1000-0000-2400-52080-010,Support Benefits,,"17,040.00","15,211.13","15,631.00","16,166.35","28,099.00","17,925.23","20,671.89","-7,427.11",-26.43%,
952,1000-0000-2400-52340-010,Retirement,,"7,786.00","7,854.08","8,559.00","8,559.20","8,854.00","3,392.40","9,164.31",310.31,3.50%,
953,1000-0000-2400-52380-010,Retirement,,"1,324.00","1,375.23","1,471.00","1,619.81",0.00,411.22,"1,483.96","1,483.96",100.00%,
954,1000-0000-2400-55310-010,Postage,,"1,600.00","1,430.00","1,760.00","2,180.00","2,020.00","1,738.70","2,020.00",0.00,0.00%,
955,1000-0000-2400-55800-010,Travel,,500.00,519.33,650.00,624.19,520.00,0.00,520.00,0.00,0.00%,
956,1000-0000-2400-56000-010,Supplies,,0.00,0.00,0.00,0.00,"1,030.00",432.65,"1,030.00",0.00,0.00%,
957,1000-0000-2400-56100-010,Supplies,,"1,030.00",984.42,"1,030.00",835.90,0.00,75.65,0.00,0.00,0.00%,
958,1000-0000-2400-56400-010,Books,,100.00,132.10,100.00,63.44,150.00,126.93,150.00,0.00,0.00%,
959,1000-0000-2400-58100-010,Dues & Fees,,950.00,799.00,950.00,630.00,950.00,50.00,"1,150.00",200.00,21.05%,
,,,Totals,"340,075.00","345,082.21","363,469.00","358,978.31","383,740.00","393,195.89","388,687.63","4,947.63",1.29%,
960,Cost Center:,020 - MORSE STREET,,,,,,,,,,,
961,1000-0000-2400-51040-020,Admin Salary,,"95,316.00","99,128.90","103,094.00","103,443.90","106,805.00","119,362.23","114,470.00","7,665.00",7.18%,5
962,1000-0000-2400-51180-020,Support Wages,,"40,217.00","42,387.93","44,028.00","42,914.92","44,925.00","62,194.07","55,013.08","10,088.08",22.46%,
963,1000-0000-2400-52040-020,Admin Benefits,,"15,464.00","9,760.18","11,858.00","8,420.61","12,085.00","3,554.84","3,723.72","-8,361.28",-69.19%,
964,1000-0000-2400-52080-020,Support Benefits,,"6,963.00","9,246.24","6,130.00","9,504.11","10,916.00","4,770.75","16,514.00","5,598.00",51.28%,
965,1000-0000-2400-52340-020,Retirement,,"3,935.00","3,935.36","4,289.00","4,288.70","4,460.00","1,708.90","4,761.95",301.95,6.77%,
966,1000-0000-2400-52380-020,Retirement,,"1,258.00",0.00,"1,385.00",0.00,0.00,0.00,0.00,0.00,0.00%,
967,1000-0000-2400-55310-020,Postage,,500.00,406.41,550.00,544.66,550.00,91.01,750.00,200.00,36.36%,
968,1000-0000-2400-55800-020,Travel,,500.00,19.46,300.00,52.26,20.00,0.00,300.00,280.00,1400.00%,
969,1000-0000-2400-56000-020,Supplies,,500.00,500.00,500.00,736.60,500.00,89.38,500.00,0.00,0.00%,
970,1000-0000-2400-58100-020,Dues & Fees,,450.00,290.00,450.00,290.00,450.00,0.00,575.00,125.00,27.78%,
,,,Totals,"165,103.00","165,674.48","172,584.00","170,195.76","180,711.00","191,771.18","196,607.75","15,896.75",8.80%,
971,Cost Center:,030 - POWNAL,ELEMENTARY,,,,,,,,,,
972,1000-0000-2400-51040-030,Admin Salary,,"95,316.00","99,128.90","103,094.00","103,383.90","106,805.00","119,340.24","110,970.00","4,165.00",3.90%,5
973,1000-0000-2400-51180-030,Support Wages,,"29,973.00","30,239.68","34,883.00","34,566.08","32,703.00","40,155.62","41,493.92","8,790.92",26.88%,
974,1000-0000-2400-52040-030,Admin Benefits,,"25,935.00","18,341.43","22,329.00","14,045.69","22,556.00","9,934.98","11,553.44","-11,002.56",-48.78%,
975,1000-0000-2400-52080-030,Support Benefits,,"5,508.00","6,768.95","4,729.00","6,685.53","11,213.00","3,110.86","3,973.71","-7,239.29",-64.56%,
976,1000-0000-2400-52340-030,Retirement,,"3,935.00","3,935.36","4,289.00","4,288.70","4,460.00","1,708.90","4,616.35",156.35,3.51%,
977,1000-0000-2400-55310-030,Postage,,500.00,520.00,550.00,500.89,550.00,144.58,550.00,0.00,0.00%,
,,,,,,19 of 24,,,,,,,
