,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,,
,1000.0000.2220.51010.300,,Librarian Salary,,"$74,880.66",,"$77,978.58","$81,340.92",,"$84,853.00",,"$84,853.00",,$0.00,0.00
,1000.0000.2220.51020.300,,Ed Tech Salaries,,"$14,711.54",,"$16,575.71","$15,249.98",,"$24,227.00",,"$28,965.00","$4,738.00",,19.56
,1000.0000.2220.52010.300,,Librarian Benefits,,"$3,514.00",,"$16,259.61","$11,262.31",,"$10,847.00",,"$19,002.00","$8,155.00",,75.18
,1000.0000.2220.52020.300,,Ed Tech Benefits,,$156.34,,$386.66,"$1,496.09",,"$11,652.00",,"$10,973.00",($679.00),,(5.83)
,1000.0000.2220.52310.300,,Retirement,,$712.38,,"$2,994.45","$3,123.40",,"$3,792.00",,"$4,058.00",,$266.00,7.01
,1000.0000.2220.52320.300,,Retirement,,$0.00,,$0.00,$141.66,,"$1,170.00",,"$1,295.00",,$125.00,10.68
,1000.0000.2220.54330.300,,Software,,"$1,042.50",,"$1,060.35","$1,128.63",,"$1,129.00",,"$1,320.00",,$191.00,16.92
,1000.0000.2220.56000.300,,Supplies,,$802.70,,"$1,430.17","$1,231.39",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.56100.300,,Instructional Supplies,,$0.00,,$0.00,,$0.00,"$1,440.00",,"$1,540.00",,$100.00,6.94
,1000.0000.2220.56400.300,,Books,,"$12,652.08",,"$27,586.09","$11,336.80",,"$13,020.00",,"$13,962.00",,$942.00,7.24
,1000.0000.2220.57300.300,,Equipment,,$0.00,,$0.00,,$0.00,$100.00,,$100.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$108,472.20","$144,271.62",,"$126,311.18",,"$152,230.00",,"$166,068.00",,"$13,838.00",,9.09
Function:,LIBRARY,SERVICES,- 2220,"$108,472.20","$144,271.62",,"$126,311.18",,"$152,230.00",,"$166,068.00",,"$13,838.00",,9.09
,1000.0000.2230.51010.300,,Teacher Salaries,,"$16,964.50",,"$2,092.50",$795.00,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.51180.300,,Support Salaries,,"($1,083.73)",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52000.300,,Teacher Benefits,,"$2,340.21",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52010.300,,Teacher Benefits,,$0.00,,$295.53,$106.61,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52080.300,,SUPPORT BENEFITS,,($562.44),,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52310.300,,Retirement,,$0.00,,$80.35,,$30.53,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.54320.300,,Tech Repairs/Maint,,$64.08,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.56500.300,,Supplies,,$0.00,,$139.50,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.57340.300,,Equipment,,"$40,580.56",,"$31,087.44",,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$58,303.18",,"$33,695.32",$932.14,,,$0.00,,$0.00,$0.00,,0.00
,03/27/2024,,,,,,,,,,,,,56 of 81,
