,,,,,,,RSU,No.,5,,,,,
FY25,Article,4 Other,Instruction-,Proposed,,,,,,,,,,
From,Date:,3/1/2024,To Date:,,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
,1000.9200.1000.58100.050,,Dues and Fees,,,"$6,612.05","$13,995.50",,"$17,621.17",,"$18,558.00","$18,168.00",($390.00),(2.10)
Program:,,EXTRA-CURRICULAR,K-8 - 9200,,,"$127,370.65","$127,731.80",,"$159,436.65",,"$154,821.00","$156,172.00","$1,351.00",0.87
Function:,REGULAR,INSTRUCTION,- 1000,,,"$181,729.07","$160,020.30",,"$228,625.08",,"$206,626.00","$198,906.00","($7,720.00)",(3.74)
,1000.9200.2330.51010.050,,Athletic Director,Salary -,,$0.00,"$31,569.03",,"$43,085.29",,"$32,626.00","$34,320.00","$1,694.00",5.19
,1000.9200.2330.51180.050,,Athletic Office,Support Staff,Wages -,$0.00,"$7,446.31",,,"$1,934.88","$5,968.00","$6,862.00",$894.00,14.98
,1000.9200.2330.52010.050,,Athletic Director,Benefits -,,$0.00,"$5,842.86",,,"$7,062.42","$18,847.00","$12,627.00","($6,220.00)",(33.00)
,1000.9200.2330.52080.050,,Athletic Office,Support Staff,Benefits -,$0.00,,$586.80,,$138.24,"$1,612.00","$1,600.00",($12.00),(0.74)
,1000.9200.2330.52310.050,,Athletic Director,Retirement -,,$0.00,"$1,212.24",,,$630.23,"$1,944.00","$1,534.00",($410.00),(21.09)
,1000.9200.2330.52340.050,,Athletic Dir Retirement,,,$0.00,,$0.00,,$619.78,$0.00,$0.00,$0.00,0.00
Program:,,EXTRA-CURRICULAR,K-8 - 9200,,,$0.00,"$46,657.24",,"$53,470.84",,"$60,997.00","$56,943.00","($4,054.00)",(6.65)
Function:,SPECIAL,AREA,ADMINISTRATION -,2330,,$0.00,"$46,657.24",,"$53,470.84",,"$60,997.00","$56,943.00","($4,054.00)",(6.65)
Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,,,"$181,729.07","$206,677.54",,"$282,095.92",,"$267,623.00","$255,849.00","($11,774.00)",(4.40)
,1000.4300.1000.51210.300,,Summer School,Tutor Wages,- FHS,$0.00,"$3,963.00",,,"$3,386.00",$0.00,$0.00,$0.00,0.00
,1000.4300.1000.52010.300,,Summer School,Teacher Benefits,- FHS,$0.00,,$0.00,,$301.46,$0.00,$0.00,$0.00,0.00
,1000.4300.1000.52030.300,,Summer School,Tutor Benefits,- FHS,$0.00,"$2,032.22",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.4300.1000.52310.300,,Summer School,Teacher,Retirement - FHS,$0.00,,$0.00,,$40.32,$0.00,$0.00,$0.00,0.00
Program:,SUMMER,SCHOOL -,4300,,,$0.00,"$5,995.22",,,"$3,727.78",$0.00,$0.00,$0.00,0.00
,1000.9500.1000.51500.300,,Stipends,,,"$80,157.40","$71,198.32",,"$70,001.42",,"$93,855.00","$101,205.00","$7,350.00",7.83
,03/13/2024,,,,,,,,,,,,36,
