,,,,,,RSU,No.,5,,,,,,,,
,Article 8,Transportation,&,Buses- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,FY25,Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,FY21,Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,,,
,1000.0000.2700.56700.900,,Supplies,,,"$64,190.68",,"$111,194.23","$33,654.37",,"$68,400.00",,"$72,871.00","$4,471.00",,6.54
,1000.0000.2700.58100.900,,Dues and,Fees,,"$4,581.00",,"$4,266.86","$4,575.50",,"$5,700.00",,$0.00,"($5,700.00)",,(100.00)
,1000.0000.2700.58310.900,,Principal-Bus,Lease Purchase,,"$95,588.94",,"$64,488.40","$74,096.28",,"$84,000.00",,"$139,911.00","$55,911.00",,66.56
,Program:,OVERHEAD - 0000,,,"$1,152,101.56","$1,357,530.56",,"$1,406,170.48",,"$1,444,757.00",,"$1,536,030.00",,"$91,273.00",,6.32
,Function:,TRANSPORTATION,- 2700,,"$1,152,101.56","$1,357,530.56",,"$1,406,170.48",,"$1,444,757.00",,"$1,536,030.00",,"$91,273.00",,6.32
,1000.0000.2750.51020.900,,Ed Tech,Salaries,,"$9,324.35",,"$6,142.98",$740.28,,,$0.00,"$9,500.00","$9,500.00",,0.00
,1000.0000.2750.51180.900,,Support,Wages,,"$35,618.62",,"$31,758.47","$66,640.21",,"$32,513.00",,"$35,620.00","$3,107.00",,9.56
,1000.0000.2750.52020.900,,Ed Tech,Benefits,,$133.49,,"$1,221.83",$422.39,,,$0.00,$746.00,,$746.00,0.00
,1000.0000.2750.52080.900,,Support,Benefits,,"$4,104.16",,"$8,743.35","$10,131.49",,"$11,912.00",,"$4,104.00","($7,808.00)",,(65.55)
,1000.0000.2750.52320.900,,Retirement,,,$59.16,,$666.52,$159.09,,,$0.00,$425.00,,$425.00,0.00
,1000.0000.2750.52380.900,,Retirement,,,$0.00,,"$1,953.29",,$28.28,"$1,626.00",,$257.00,"($1,369.00)",,(84.19)
,1000.0000.2750.55190.900,,DNU-OOD,PURCHASED,TRANSPORTATION,$0.00,,"$2,339.22",,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,,"$49,239.78","$52,825.66",,"$78,121.74",,"$46,051.00",,"$50,652.00",,"$4,601.00",,9.99
,Function:,TRANSPORTATION,SPECIAL ED,- 2750,"$49,239.78","$52,825.66",,"$78,121.74",,"$46,051.00",,"$50,652.00",,"$4,601.00",,9.99
,1000.0000.2770.55100.900,,HOMELESS,PURCHASED,TRANSPORTATION,$0.00,,$0.00,,$0.00,"$60,800.00",,$0.00,"($60,800.00)",,(100.00)
,Program:,OVERHEAD - 0000,,,$0.00,,$0.00,,$0.00,"$60,800.00",,,$0.00,"($60,800.00)",,(100.00)
,Function:,TRANSPORTATION,HOMELESS,- 2770,$0.00,,$0.00,,$0.00,"$60,800.00",,,$0.00,"($60,800.00)",,(100.00)
Cost,Center:,SYSTEM WIDE,- 900,,"$1,201,341.34","$1,410,356.22",,"$1,484,292.22",,"$1,551,608.00",,"$1,586,682.00",,"$35,074.00",,2.26
Grand,Total:,,,,,"$1,201,341.34","$1,410,356.22",,"$1,484,292.22",,"$1,551,608.00",,"$1,586,682.00","$35,074.00",,2.26
,,,,,,End,of Report,,,,,,,,,
,03/27/2024,,,,,,,,,,,,,,70 of 81,
