,,,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff,Support-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2120.53000.050,,,Purchased,Professional,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2120.54330.050,,Software,,,$0.00,,$0.00,,$333.34,$334.00,$334.00,$0.00,0.00
,1000.0000.2120.56100.050,,,Instructional,Supplies,$122.95,,$269.42,,$701.80,$709.00,$709.00,$0.00,0.00
,1000.0000.2120.57300.050,,,Equipment,,$0.00,,$0.00,,$320.02,$500.00,$750.00,$250.00,50.00
Program:,OVERHEAD,- 0000,,,,"$99,857.32","$86,477.92",,"$105,342.61",,"$113,649.00","$119,263.00","$5,614.00",4.94
Function:,,COUNSELING -,2120,,,"$99,857.32","$86,477.92",,"$105,342.61",,"$113,649.00","$119,263.00","$5,614.00",4.94
,1000.0000.2130.51010.050,,Nurse,Salary,,"$39,687.44","$59,981.69",,"$70,014.42",,"$72,067.00","$75,001.00","$2,934.00",4.07
,1000.0000.2130.51200.050,,Nurse,Substitute,- FMS,$0.00,,$0.00,,"$1,190.00",$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52000.050,,Employee,,Benefits,$0.00,,$0.00,,"$8,591.83",$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52010.050,,Nurse,Benefits,,"$12,360.40","$2,769.54",,,"$4,948.02","$5,121.00","$5,173.00",$52.00,1.02
,1000.0000.2130.52300.050,,,Retirement -,Stipends,$0.00,,$0.00,,$45.70,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52310.050,,,Retirement,,"$1,651.00",,$389.40,,"$2,822.85","$2,998.00","$3,353.00",$355.00,11.84
,1000.0000.2130.53000.050,,,Purchased,Professional,$88.00,,$270.01,,$84.76,$300.00,$300.00,$0.00,0.00
,1000.0000.2130.54310.050,,Repairs,&,Maintenance,$131.73,,$0.00,,$0.00,$135.00,$135.00,$0.00,0.00
,1000.0000.2130.56000.050,,Supplies,,,$896.87,,$839.17,,$791.24,$747.00,$846.00,$99.00,13.25
Program:,OVERHEAD,- 0000,,,,"$54,815.44","$64,249.81",,"$88,488.82",,"$81,368.00","$84,808.00","$3,440.00",4.23
Function:,HEALTH,SERVICES,- 2130,,,"$54,815.44","$64,249.81",,"$88,488.82",,"$81,368.00","$84,808.00","$3,440.00",4.23
,1000.0000.2213.51500.050,,,Stipends-Acad,Leadership and LCC,$0.00,,$0.00,"$20,620.50",,"$19,700.00","$25,191.00","$5,491.00",27.87
,1000.0000.2213.52000.050,,Stipend,Benefits,- FMS,$0.00,,$0.00,,$936.22,$0.00,$0.00,$0.00,0.00
,1000.0000.2213.52300.050,,Stipend,Retirement,- FMS,$0.00,,$0.00,,$791.87,$0.00,$0.00,$0.00,0.00
,Page 51,of 80,,,,,,,,,,,,
