,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,9,Operations,&,Maintenance-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,,Description,,,,,,,,,
,1000.0000.2600.51180.040,,,,Custodian,Salaries,"$130,629.88","$114,676.96",,"$109,637.35","$146,409.00","$174,158.00","$27,749.00",,18.95
,1000.0000.2600.52080.040,,,,Custodian,Benefits,"$58,148.61","$96,671.60",,"$43,089.99","$84,153.00","$121,717.00","$37,564.00",,44.64
,1000.0000.2600.52380.040,,,,,Retirement,"$7,045.25",,"$5,574.49","$5,554.06","$7,320.00","$9,405.00",,"$2,085.00",28.48
,1000.0000.2600.53000.040,,,,,Purchased Professional,$0.00,,$0.00,$0.00,$118.00,$118.00,,$0.00,0.00
,1000.0000.2600.53300.040,,,,Employee,Training,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,1000.0000.2600.54100.040,,,,,Water/Sewage,"$9,758.31",,"$9,658.49","$12,916.25","$10,958.00","$10,958.00",,$0.00,0.00
,1000.0000.2600.54300.040,,,,,Purchased Repairs/Maint,"$46,562.42","$83,999.02",,"$66,641.20","$53,057.00","$57,824.00",,"$4,767.00",8.98
,1000.0000.2600.55200.040,,,,Insurance,,"$15,318.31","$20,520.21",,"$19,987.00","$21,986.00","$21,986.00",,$0.00,0.00
,1000.0000.2600.55320.040,,,,,Telephone,"$4,211.45",,"$4,313.92","$4,533.04","$4,337.00","$4,669.00",,$332.00,7.66
,1000.0000.2600.55800.040,,,,Travel,,$0.00,,$152.76,$84.00,$15.00,$15.00,,$0.00,0.00
,1000.0000.2600.56000.040,,,,Supplies,,"$22,365.80","$23,654.88",,"$15,084.91","$22,700.00","$23,898.00",,"$1,198.00",5.28
,1000.0000.2600.56011.040,,,,Material,Repair,"$5,281.83",,"$2,858.62","$1,804.29","$6,500.00","$6,500.00",,$0.00,0.00
,1000.0000.2600.56013.040,,,,Major,Maintenance,"$4,751.94","$14,004.00",,"$24,485.65","$5,930.00","$17,500.00","$11,570.00",,195.11
,1000.0000.2600.56220.040,,,,Electricity,,"$24,324.85","$25,829.82",,"$37,249.17","$10,000.00","$10,000.00",,$0.00,0.00
,1000.0000.2600.56240.040,,,,Heating,Fuel,"$34,062.19","$27,809.11",,"$21,087.43","$39,000.00","$23,500.00","($15,500.00)",,(39.74)
,Program:,OVERHEAD - 0000,,,,,"$362,460.84","$429,723.88",,"$362,154.34","$412,608.00","$482,373.00","$69,765.00",,16.91
,Function:,OPERATION OF,PLANT -,2600,,,"$362,460.84","$429,723.88",,"$362,154.34","$412,608.00","$482,373.00","$69,765.00",,16.91
Cost,Center:,MAST LANDING,- 040,,,,"$362,460.84","$429,723.88",,"$362,154.34","$412,608.00","$482,373.00","$69,765.00",,16.91
,,,,,,,Page,81 of 89,,,,,,,
