,,,,,,,,RSU,No.,5,,,,,
FY25,Article,4 Other,Instruction-,,Proposed,,,,,,,,,,
From,Date:,3/1/2024,To,Date:,3/31/2024,,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,,Percent
,,,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,,
,1000.9600.2330.51060.300,,Athletic,Trainer Salary,,,$0.00,,$0.00,,$0.00,$0.00,"$65,520.00","$65,520.00",0.00
,1000.9600.2330.51180.300,,Athletic,Office Support,Staff,Wages - FHS,$0.00,"$13,273.45",,,"$7,094.56","$13,926.00","$16,012.00","$2,086.00",14.98
,1000.9600.2330.52010.300,,Athletic,Director,Benefits - FHS,,$0.00,"$14,438.46",,"$16,664.94",,"$42,639.00","$19,202.00","($23,437.00)",(54.97)
,1000.9600.2330.52060.300,,Athletic,Trainer,Benefits,,$0.00,,$0.00,,$0.00,$0.00,"$19,074.00","$19,074.00",0.00
,1000.9600.2330.52080.300,,Athletic,Office Support,Staff,Benefits - FHS,$0.00,"$1,043.50",,,$505.05,"$3,662.00","$3,735.00",$73.00,1.99
,1000.9600.2330.52310.300,,Athletic,Director,Retirement -,FHS,$0.00,"$2,828.64",,,"$1,558.58","$4,536.00","$3,580.00",($956.00),(21.08)
,1000.9600.2330.52340.300,,Athletic,Dir Retirement,,,$0.00,,$0.00,,"$1,449.55",$0.00,$0.00,$0.00,0.00
Program:,,EXTRA-CURRICULAR,9-12 -,9600,,,$0.00,"$105,245.21",,"$127,891.54",,"$140,890.00","$207,203.00","$66,313.00",47.07
Function:,SPECIAL,AREA,ADMINISTRATION,-,2330,,$0.00,"$105,245.21",,"$127,891.54",,"$140,890.00","$207,203.00","$66,313.00",47.07
Cost,Center:,FREEPORT HIGH,SCHOOL,- 300,,,"$379,739.79","$530,637.91",,"$563,780.80",,"$683,860.00","$683,677.00",($183.00),(0.03)
,1000.9100.1000.51500.950,,Stipends,Paid,,,$0.00,,$0.00,,"$2,544.00","$1,272.00","$1,422.00",$150.00,11.79
,1000.9100.1000.52000.950,,Employee,Benefits,,,$0.00,,$0.00,,$202.02,$30.00,$24.00,($6.00),(20.00)
Program:,,CO-CURRICULAR,K-8 - 9100,,,,$0.00,,$0.00,,"$2,746.02","$1,302.00","$1,446.00",$144.00,11.06
Function:,REGULAR,INSTRUCTION,- 1000,,,,$0.00,,$0.00,,"$2,746.02","$1,302.00","$1,446.00",$144.00,11.06
Cost,Center: K-8,- 950,,,,,$0.00,,$0.00,,"$2,746.02","$1,302.00","$1,446.00",$144.00,11.06
,1000.9600.2700.56260.990,,Extra,Curricular Fleet,Fuel,,$0.00,,$72.40,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9600.2700.58500.990,,Extra-Curricular,,Purchased,Transporation,$0.00,,$154.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,,EXTRA-CURRICULAR,9-12 -,9600,,,$0.00,,$226.40,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,,TRANSPORTATION,- 2700,,,,$0.00,,$226.40,,$0.00,$0.00,$0.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,,,38,
