,,,,RSU,No.,5,,,,,
Article 2,Special,Education - Proposed,,,,,,,,,
From Date:,7/1/2021,To Date:,6/30/2022 Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.2100.1000.51210.300,,Tutor Salaries/ESY,"$5,940",,$718,,$0,"$5,000","$5,000",$0,0.00
1000.2100.1000.51210.950,,Tutor Salaries/ESY,"$31,177",,"$7,185",,"$6,359","$10,000","$18,000","$8,000",80.00
1000.2100.1000.52010.300,,Benefits,$300,,$60,,$0,$0,$250,$250,0.00
1000.2100.1000.52010.950,,Benefit,"$1,075",,$190,,"$1,154",$0,$0,$0,0.00
1000.2100.1000.52030.300,,Tutor Benefits,$0,,$0,,$0,$250,$198,($52),(20.80)
1000.2100.1000.52030.950,,Benefits,$0,,$0,,$0,$900,$900,$0,0.00
1000.2100.1000.52310.300,,Retirement,$157,,$0,,$0,$0,$0,$0,0.00
1000.2100.1000.52310.950,,Retirement,$888,,$376,,$169,$0,$0,$0,0.00
1000.2100.1000.52330.300,,Retirement,$0,,$0,,$0,$199,$0,($199),(100.00)
1000.2100.1000.52330.950,,Retirement,$0,,$0,,$0,$715,$714,($1),(0.14)
1000.2100.1000.53440.300,,Purchased Professional,$0,,$0,,$344,$650,"$1,000",$350,53.85
1000.2100.1000.53440.950,,Purchased Professional,"$1,300",,$864,,"$1,473",$650,"$1,000",$350,53.85
1000.2200.1000.51010.010,,Teacher Salaries,"$152,481","$141,049",,,"$197,594","$248,107","$232,037","($16,070)",(6.48)
1000.2200.1000.51010.020,,Teacher Salaries,"$203,278","$258,883",,,"$189,588","$126,566","$72,067","($54,499)",(43.06)
1000.2200.1000.51010.030,,Teacher Salaries,"$49,137",,"$92,910",,"$45,744","$37,121","$44,563","$7,442",20.05
1000.2200.1000.51010.040,,Teacher Salaries,"$136,310","$142,126",,,"$147,450","$147,721","$81,983","($65,738)",(44.50)
1000.2200.1000.51010.050,,Teacher Salaries,"$117,967","$116,254",,,"$120,508","$123,449","$111,113","($12,336)",(9.99)
1000.2200.1000.51010.300,,Teacher Salaries,"$183,109","$196,491",,,"$188,250","$203,619","$146,731","($56,888)",(27.94)
1000.2200.1000.51020.010,,Ed Tech Salaries,"$61,755",,"$71,662",,"$126,067","$191,123","$150,192","($40,931)",(21.42)
1000.2200.1000.51020.020,,Ed Tech Salaries,"$80,372",,"$90,149",,"$90,581","$51,759",$0,"($51,759)",(100.00)
1000.2200.1000.51020.030,,Ed Tech Salaries,"$21,830",,"$21,644",,"$25,734","$27,727","$23,820","($3,907)",(14.09)
1000.2200.1000.51020.040,,Ed Tech Salaries,"$73,313",,"$1,415",,"$25,166","$63,794",$0,"($63,794)",(100.00)
1000.2200.1000.51020.050,,Ed Tech Salaries,"$27,022",,"$25,023",,"$48,226","$88,755","$73,304","($15,451)",(17.41)
1000.2200.1000.51020.300,,Ed Tech Salaries,"$46,888",,"$32,482",,"$31,095",$0,"$48,365","$48,365",0.00
,,,,,,,,,,3/21/22 Page 10,
,,,,RSU,No.,5,,,,,
Article 2,Special,Education - Proposed,,,,,,,,,
From Date:,7/1/2021,To Date:,6/30/2022 Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.2200.1000.51210.030,,Tutor Wages,$0,,$0,,"$2,382",$0,$0,$0,0.00
1000.2200.1000.51230.020,,Sub Wages,"$3,433",,$596,,"$4,748",$0,$0,$0,0.00
1000.2200.1000.52010.010,,Teacher Benefits,"$41,149",,"$36,075",,"$14,909","$75,024","$48,020","($27,004)",(35.99)
1000.2200.1000.52010.020,,Teacher Benefits,"$35,612",,"$46,586",,"$5,735","$15,657","$10,502","($5,155)",(32.93)
1000.2200.1000.52010.030,,Teacher Benefits,"$19,107",,"$28,672",,"$4,683","$84,317","$9,431","($74,886)",(88.81)
1000.2200.1000.52010.040,,Teacher Benefits,"$39,603",,"$42,788",,"$9,259","$47,609","$22,116","($25,493)",(53.55)
1000.2200.1000.52010.050,,Teacher Benefits,"$29,345",,"$29,208",,"$6,551","$33,107","$22,567","($10,540)",(31.84)
1000.2200.1000.52010.300,,Teacher Benefits,"$63,946",,"$62,485",,"$12,371","$90,413","$43,845","($46,568)",(51.51)
1000.2200.1000.52020.010,,Ed Tech Benefits,"$22,142",,"$28,739",,"$8,520","$2,776","$54,442","$51,666","1,861.46"
1000.2200.1000.52020.020,,Ed Tech Benefits,"$23,608",,"$18,762",,"$3,963","$8,886",$0,"($8,886)",(100.00)
1000.2200.1000.52020.030,,Ed Tech Benefits,$637,,$635,,$45,$534,"$4,960","$4,426",828.53
1000.2200.1000.52020.040,,Ed Tech Benefits,"$21,115",,$676,,$0,"$13,986",$0,"($13,986)",(100.00)
1000.2200.1000.52020.050,,Ed Tech Benefits,"$8,527",,"$9,248",,"$3,515","$1,573","$21,336","$19,763","1,256.53"
1000.2200.1000.52020.300,,Ed Tech Benefits,"$21,280",,"$1,153",,"$1,253",$0,"$23,894","$23,894",0.00
1000.2200.1000.52030.020,,Substitute Benefits,$207,,$18,,$0,$0,$0,$0,0.00
1000.2200.1000.52310.010,,Retirement,"$6,175",,"$6,020",,"$1,809","$10,640","$10,124",($516),(4.85)
1000.2200.1000.52310.020,,Retirement,"$8,181",,"$10,815",,"$1,729","$5,428",$0,"($5,428)",(100.00)
1000.2200.1000.52310.030,,Retirement,"$2,013",,"$3,849",,$785,"$3,693","$2,005","($1,688)",(45.70)
1000.2200.1000.52310.040,,Retirement,"$5,497",,"$5,960",,"$1,375","$6,335","$3,410","($2,925)",(46.17)
1000.2200.1000.52310.050,,Retirement,"$4,423",,"$4,882",,"$1,170","$5,294","$4,622",($672),(12.70)
1000.2200.1000.52310.300,,Retirement,"$7,215",,"$8,256",,"$1,820","$9,784","$6,104","($3,680)",(37.61)
1000.2200.1000.52320.010,,Retirement,"$2,434",,"$3,069",,$993,"$6,535","$6,247",($288),(4.41)
1000.2200.1000.52320.020,,Retirement,"$3,191",,"$3,670",,$808,"$2,128",$0,"($2,128)",(100.00)
1000.2200.1000.52320.030,,Retirement,$867,,$938,,$290,"$1,153",$991,($162),(14.08)
,,,,,,,,,,3/21/22 Page 11,
