,,,,,RSU,No. 5,,,,,,,
,FY27 Article,8 Transportation,& Buses-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2700.51020.900,,Ed,Tech Salaries,"$6,889.84",,"$6,395.76",$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.51040.900,,,Administrator Salary,"$126,602.99","$78,000.00",,"$121,197.70","$92,024.00","$105,680.00","$13,656.00",,14.84
,1000.0000.2700.51060.900,,,Transportation Office,$0.00,,$0.00,$0.00,$0.00,"$40,109.00","$40,109.00",,0.00
,,,Clerical,Support Salary,,,,,,,,,
,1000.0000.2700.51180.900,,Bus,Drivers Salaries,"$482,704.11","$482,613.46",,"$476,791.92","$529,229.00","$609,326.00","$80,097.00",,15.13
,1000.0000.2700.51200.900,,Substitute,Salaries,"$97,242.22","$76,594.85",,"$147,020.56","$77,112.00","$77,112.00",,$0.00,0.00
,1000.0000.2700.52000.900,,Sub,Bus Driver Benefits,"$22,100.98","$14,378.75",,"$23,294.16","$11,983.00","$19,111.00",,"$7,128.00",59.48
,1000.0000.2700.52020.900,,Ed,Tech Benefits,"$2,126.98",,"$1,697.63",$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52040.900,,,Administrator Benefits,"$32,278.66","$21,333.88",,"$22,868.28","$20,362.00","$32,898.00","$12,536.00",,61.57
,1000.0000.2700.52060.900,,,Transportation Office,$0.00,,$0.00,$0.00,$0.00,"$9,707.00",,"$9,707.00",0.00
,,,Clerical,Support Benefits,,,,,,,,,
,1000.0000.2700.52080.900,,Bus,Driver Benefits,"$165,980.57","$156,815.73",,"$198,128.15","$244,463.00","$342,167.00","$97,704.00",,39.97
,1000.0000.2700.52300.900,,Retirement,,$825.55,,$144.60,$514.90,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52320.900,,Retirement,,$739.71,,$786.02,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52340.900,,Retirement,,"$2,232.75",,$0.00,$0.00,$0.00,"$5,284.00",,"$5,284.00",0.00
,1000.0000.2700.52360.900,,,Transportation Office,$0.00,,$0.00,$0.00,$0.00,"$2,005.00",,"$2,005.00",0.00
,,,Clerical,Retirement,,,,,,,,,
,1000.0000.2700.52380.900,,Retirement,,"$8,301.40",,"$6,232.12","$2,741.30","$26,463.00","$32,904.00",,"$6,441.00",24.34
,1000.0000.2700.53000.900,,Purchased,Professional,"$12,784.29",,"$4,008.83","$9,644.42","$13,932.00","$13,665.00",,($267.00),(1.92)
,1000.0000.2700.53300.900,,Employee,Training,$0.00,,$0.00,"$2,306.88","$2,100.00","$2,800.00",,$700.00,33.33
,1000.0000.2700.53400.900,,Contracted,Services,$0.00,,"$4,237.40","$11,875.73","$7,700.00","$6,100.00","($1,600.00)",,(20.78)
,,,,,Page,75 of 89,,,,,,,
,,,,,RSU,No. 5,,,,,,,
FY27,Article,8,Transportation,& Buses- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2700.54300.900,,,Purchased Repair/Maint,"$127,243.84","$164,681.62",,"$216,652.39","$180,200.00","$259,200.00","$79,000.00",,43.84
,1000.0000.2700.54450.900,,,Bus Garage Lease,"$12,500.00","$13,000.00",,"$13,500.00","$13,000.00","$13,000.00",,$0.00,0.00
,1000.0000.2700.55200.900,,,Insurance,"$25,198.07","$28,998.05",,"$29,062.00","$31,968.00","$31,968.00",,$0.00,0.00
,1000.0000.2700.55320.900,,,Telephone,$0.00,,$869.95,$982.46,"$3,000.00","$3,984.00",,$984.00,32.80
,1000.0000.2700.55800.900,,,Travel,$0.00,,$204.34,$639.36,$500.00,"$2,000.00",,"$1,500.00",300.00
,1000.0000.2700.56220.900,,,Electricity,$0.00,,$158.02,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.56260.900,,,Fleet Fuel,"$166,812.87","$138,458.18",,"$141,292.73","$175,200.00","$189,000.00","$13,800.00",,7.88
,1000.0000.2700.56700.900,,,Supplies,"$33,654.37","$73,839.91",,"$32,062.85","$80,530.00","$71,930.00","($8,600.00)",,(10.68)
,1000.0000.2700.58100.900,,,Dues and Fees,"$4,575.50",,"$3,836.00",$525.00,$350.00,$400.00,,$50.00,14.29
,1000.0000.2700.58310.900,,,Principal-Bus Lease,"$74,096.28","$88,555.26",,"$136,166.57","$228,649.00","$309,872.00","$81,223.00",,35.52
,,,,Purchase,,,,,,,,,
,Program:,OVERHEAD - 0000,,,"$1,404,890.98","$1,365,840.36",,"$1,587,267.36","$1,738,765.00","$2,180,222.00","$441,457.00",,25.39
,Function:,TRANSPORTATION,- 2700,,"$1,404,890.98","$1,365,840.36",,"$1,587,267.36","$1,738,765.00","$2,180,222.00","$441,457.00",,25.39
,1000.0000.2750.51020.900,,,Ed Tech Salaries,$740.28,,$11.29,"$1,053.32","$18,760.00","$18,760.00",,$0.00,0.00
,1000.0000.2750.51180.900,,,Support Wages,"$66,640.21","$72,046.77",,"$99,035.31","$147,392.00","$147,392.00",,$0.00,0.00
,1000.0000.2750.52020.900,,,Ed Tech Benefits,$422.39,,$5.80,$242.13,"$2,915.00","$4,649.00",,"$1,734.00",59.49
,1000.0000.2750.52080.900,,,Support Benefits,"$10,131.49","$11,911.94",,"$15,900.31","$22,905.00","$36,528.00","$13,623.00",,59.48
,1000.0000.2750.52320.900,,,Retirement,$159.09,,$0.51,$47.08,$839.00,$906.00,,$67.00,7.99
,1000.0000.2750.52380.900,,,Retirement,$28.28,,$184.85,$73.32,$0.00,$0.00,,$0.00,0.00
