,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2120.51010.300,,,Counselor Salaries,"$257,571.17","$233,070.03",,"$258,254.98",,"$216,392.00","$224,692.00","$8,300.00",3.84
,1000.0000.2120.51180.300,,,Guidance Support Wages,"$33,802.40","$24,651.19",,"$36,717.30",,"$54,213.00","$65,371.00","$11,158.00",20.58
,1000.0000.2120.52010.300,,,Counselor Benefits,"$14,326.28","$69,920.50",,"$65,016.89",,"$67,681.00","$113,222.00","$45,541.00",67.29
,1000.0000.2120.52080.300,,,Support Benefits,$270.64,"$5,804.68",,,"$9,650.49","$26,070.00","$26,250.00",$180.00,0.69
,1000.0000.2120.52300.300,,,Support Retirement,$0.00,,$0.00,,$0.00,"$2,900.00",$0.00,"($2,900.00)",(100.00)
,1000.0000.2120.52310.300,,,Retirement,"$2,480.75","$6,598.20",,,"$9,847.15","$9,673.00","$10,967.00","$1,294.00",13.38
,1000.0000.2120.52380.300,,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$3,269.00","$3,269.00",0.00
,1000.0000.2120.53000.300,,,Purchased Professional,"$13,464.84","$26,834.20",,"$13,457.50",,"$21,768.00","$24,418.00","$2,650.00",12.17
,1000.0000.2120.54330.300,,,Software,$0.00,,$333.34,,$333.33,$334.00,$334.00,$0.00,0.00
,1000.0000.2120.55810.300,,,Travel,$0.00,,$0.00,,$200.00,$400.00,$600.00,$200.00,50.00
,1000.0000.2120.56100.300,,,Instructional Supplies,"$1,056.12",,$417.07,,$543.01,"$1,000.00","$1,000.00",$0.00,0.00
,1000.0000.2120.57300.300,,,Equipment,$0.00,,$0.00,,$0.00,$750.00,$0.00,($750.00),(100.00)
,1000.0000.2120.58100.300,,,Dues & Fees,$0.00,,$0.00,,$0.00,$0.00,$510.00,$510.00,0.00
,Program:,OVERHEAD - 0000,,,"$322,972.20","$367,629.21",,"$394,020.65",,"$401,181.00","$470,633.00","$69,452.00",17.31
,Function:,COUNSELING -,2120,,"$322,972.20","$367,629.21",,"$394,020.65",,"$401,181.00","$470,633.00","$69,452.00",17.31
,1000.0000.2130.51010.300,,,Nurse Salary,"$68,846.06","$66,700.84",,"$70,172.49",,"$73,228.00","$73,228.00",$0.00,0.00
,1000.0000.2130.51200.300,,,Nurse Substitute - FHS,$0.00,"$1,750.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52010.300,,,Nurses Benefits,"$4,716.65","$21,312.53",,"$18,607.90",,"$23,302.00","$31,599.00","$8,297.00",35.61
,1000.0000.2130.52030.300,,,Nurse Sub Benefits - FHS,$0.00,,$37.81,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52310.300,,,Retirement,$602.30,"$2,628.48",,,"$2,694.74","$3,273.00","$3,545.00",$272.00,8.31
,1000.0000.2130.53000.300,,,Purchased Professional,$0.00,,$575.91,,$0.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2130.54310.300,,,Repairs & Maintenance,$0.00,,$0.00,,$0.00,$135.00,$135.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,54,
