,,,,,,,,,Final FY22 Version,,,,,,,
978,1000-0000-2400-55800-030,,,Travel,,,250.00,473.13,300.00,24.15,470.00,0.00,470.00,0.00,0.00%,
979,1000-0000-2400-56000-030,,,Supplies,,,300.00,267.38,300.00,504.19,300.00,114.60,300.00,0.00,0.00%,
980,1000-0000-2400-58100-030,,,Dues & Fees,,,450.00,482.00,450.00,290.00,450.00,0.00,575.00,125.00,27.78%,
,,,,,,Totals,"162,167.00","160,156.83","170,924.00","164,289.13","179,507.00","174,509.78","174,502.42","-5,004.58",-2.79%,
981,,,Cost Center:,040 - MAST,LANDING,,,,,,,,,,,
982,1000-0000-2400-51040-040,,,Admin Salaries,,,"95,316.00","99,128.90","103,094.00","103,443.90","106,805.00","118,999.61","110,970.00","4,165.00",3.90%,5
983,1000-0000-2400-51180-040,,,Support Wages,,,"42,790.00","36,918.89","39,130.00","44,824.24","38,534.00","56,934.22","58,315.60","19,781.60",51.34%,
984,1000-0000-2400-52040-040,,,Admin Benefits,,,"10,314.00","24,628.56","25,451.00","24,953.59","27,678.00","24,095.45","24,819.16","-2,858.84",-10.33%,
985,1000-0000-2400-52080-040,,,Support Benefits,,,"28,437.00","7,370.64","9,203.00","14,975.81","16,795.00","10,532.72","12,821.40","-3,973.60",-23.66%,
986,1000-0000-2400-52340-040,,,Retirement,,,"3,935.00","3,935.36","4,289.00","4,288.70","4,460.00","1,708.90","4,616.35",156.35,3.51%,
987,1000-0000-2400-55310-040,,,Postage,,,"1,000.00",987.83,"1,100.00",950.37,"1,000.00",341.22,"1,000.00",0.00,0.00%,
988,1000-0000-2400-55800-040,,,Travel,,,300.00,102.95,300.00,66.58,300.00,0.00,300.00,0.00,0.00%,
989,1000-0000-2400-56000-040,,,Supplies,,,500.00,112.07,500.00,968.42,500.00,0.00,500.00,0.00,0.00%,
990,1000-0000-2400-58100-040,,,Dues & Fees,,,450.00,290.00,300.00,290.00,110.00,0.00,110.00,0.00,0.00%,
,,,,,,Totals,"183,042.00","173,475.20","183,367.00","194,761.61","196,182.00","212,612.12","213,452.51","17,270.51",8.80%,
,,,,,,2019,2019,2020,2020,2021,2021,2022,,,,
,,,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
991,,,Cost Center:,050 - FREEPORT,MIDDLE SCHOOL,,,,,,,,,,,
992,1000-0000-2400-51040-050,,,Admin Salaries,,,"173,659.00","180,050.00","187,252.00","187,602.00","192,865.00","215,363.99","200,384.80","7,519.80",3.90%,5
993,1000-0000-2400-51180-050,,,Support Wages,,,"59,012.00","63,706.91","63,174.00","63,820.50","76,837.00","88,110.50","99,429.85","22,592.85",29.40%,
994,1000-0000-2400-52040-050,,,Admin Benefits,,,"35,099.00","27,640.82","30,950.00","29,709.84","34,005.00","34,858.49","42,547.20","8,542.20",25.12%,
