,,,,,,,RSU,No.,5,,,,,
FY25,Article,1 Regular,,Instruction-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.4200.1000.53000.300,,JMG,,,"$25,000.00","$25,000.00",,"$25,000.00",,"$27,000.00","$27,000.00",$0.00,0.00
Program:,ALT (AT,RISK) ED,PROGRAMS,- 4200,,"$25,000.00","$25,000.00",,"$25,000.00",,"$27,000.00","$27,000.00",$0.00,0.00
Function:,REGULAR,,INSTRUCTION -,1000,,"$3,622,639.78","$4,029,891.03",,"$4,141,936.81",,"$4,463,965.00","$4,928,945.00","$464,980.00",10.42
Cost,Center:,FREEPORT,HIGH SCHOOL,- 300,,"$3,622,639.78","$4,029,891.03",,"$4,141,936.81",,"$4,463,965.00","$4,928,945.00","$464,980.00",10.42
,1000.1100.1000.51010.900,,,TEACHER,ADDITIONAL PAY,"CLEARING$6,225.02",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.1100.1000.59000.900,,,Contingency,,$0.00,,$0.00,,$0.00,"$177,000.00",$0.00,"($177,000.00)",(100.00)
Program:,,ELEMENTARY,PROGRAMS,- 1100,,"$6,225.02",,$0.00,,$0.00,"$177,000.00",$0.00,"($177,000.00)",(100.00)
,1000.4100.1000.53000.900,,,Purchased,Professional Services,$0.00,,$0.00,,$0.00,"$6,300.00","$6,300.00",$0.00,0.00
,1000.4100.1000.53300.900,,Employee,Training,& Development,$0.00,,$0.00,,$0.00,"$2,500.00","$2,500.00",$0.00,0.00
,1000.4100.1000.55800.900,,Travel,- district,wide,$0.00,,$0.00,,$0.00,$200.00,$200.00,$0.00,0.00
Program:,ELL -,4100,,,,$0.00,,$0.00,,$0.00,"$9,000.00","$9,000.00",$0.00,0.00
