,,,,,,RSU,No.,5,,,,,
FY25,Article,9,Operations,& Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2600.55320.030,,,Telephone,"$1,796.47","$1,910.92",,,"$2,967.72","$2,200.00","$3,057.00",$857.00,38.95
,1000.0000.2600.55800.030,,Travel,,$86.95,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.030,,Supplies,,"$13,931.50","$11,255.83",,"$18,407.38",,"$12,500.00","$12,500.00",$0.00,0.00
,1000.0000.2600.56011.030,,Materials,for Repair,"$2,448.17","$2,794.73",,,"$3,264.73","$5,000.00","$6,000.00","$1,000.00",20.00
,1000.0000.2600.56013.030,,Major,Maintenance,"$2,581.96","$6,142.86",,,$0.00,"$10,600.00","$5,900.00","($4,700.00)",(44.34)
,1000.0000.2600.56050.030,,Furniture,& Equipment - Non,Instructional PES$0.00,"$3,603.35",,,"$2,321.35",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.030,,Electricity,,"$14,523.06","$18,570.10",,"$11,965.22",,"$10,000.00","$4,000.00","($6,000.00)",(60.00)
,1000.0000.2600.56240.030,,Heating,Fuel,"$19,264.92","$22,909.17",,"$26,806.81",,"$28,000.00","$29,500.00","$1,500.00",5.36
,Program:,OVERHEAD - 0000,,,"$190,950.84","$170,633.66",,"$187,723.41",,"$242,267.00","$237,602.00","($4,665.00)",(1.93)
,Function:,OPERATION OF,PLANT -,2600,"$190,950.84","$170,633.66",,"$187,723.41",,"$242,267.00","$237,602.00","($4,665.00)",(1.93)
Cost,Center:,POWNAL,ELEMENTARY,- 030,"$190,950.84","$170,633.66",,"$187,723.41",,"$242,267.00","$237,602.00","($4,665.00)",(1.93)
,1000.0000.2600.51180.040,,,Custodian Salaries,"$78,562.84","$152,290.87",,"$130,629.88",,"$169,946.00","$141,512.00","($28,434.00)",(16.73)
,1000.0000.2600.52080.040,,,Custodian Benefits,"$39,517.35","$64,160.48",,"$58,148.61",,"$112,553.00","$79,701.00","($32,852.00)",(29.19)
,1000.0000.2600.52380.040,,,Retirement,$0.00,"$6,376.19",,,"$7,045.25","$6,385.00","$7,076.00",$691.00,10.82
,1000.0000.2600.53300.040,,,Employee Training,$0.00,,$0.00,,$0.00,$125.00,$125.00,$0.00,0.00
,1000.0000.2600.54100.040,,,Water/Sewage,"$6,983.41","$8,360.29",,,"$9,758.31","$8,500.00","$11,287.00","$2,787.00",32.79
,1000.0000.2600.54300.040,,,Purchased Repairs/Maint,"$40,174.61","$36,690.89",,"$47,368.17",,"$48,663.00","$49,399.00",$736.00,1.51
,1000.0000.2600.55200.040,,,Insurance,"$12,877.54","$15,192.75",,"$15,318.31",,"$22,746.00","$19,903.00","($2,843.00)",(12.50)
,1000.0000.2600.55320.040,,,Telephone,"$2,236.20","$2,403.57",,,"$4,211.45","$2,800.00","$4,337.00","$1,537.00",54.89
,1000.0000.2600.55800.040,,Travel,,$23.39,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.040,,Supplies,,"$8,507.06","$14,059.85",,"$22,365.80",,"$20,600.00","$24,000.00","$3,400.00",16.50
,03/13/2024,,,,,,,,,,,73,
