,,,,,,,RSU,No.,5,,,,,
Article,7,School,Administration-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
Function:,SCHOOL,,ADMINISTRATION,-,2400,"$164,289.13","$166,286.98",,"$171,986.42",,"$195,715.00","$199,851.00","$4,136.00",2.11
Cost,Center:,POWNAL,ELEMENTARY,- 030,,"$164,289.13","$166,286.98",,"$171,986.42",,"$195,715.00","$199,851.00","$4,136.00",2.11
,1000.0000.2400.51040.040,,Admin,Salaries,,"$103,443.90","$110,948.89",,"$108,332.18",,"$115,408.00","$117,628.00","$2,220.00",1.92
,1000.0000.2400.51180.040,,Support,,Wages,"$44,824.24","$49,988.67",,"$47,047.36",,"$46,634.00","$47,563.00",$929.00,1.99
,1000.0000.2400.52040.040,,Admin,Benefits,,"$24,953.59","$22,775.77",,"$24,797.81",,"$28,039.00","$32,414.00","$4,375.00",15.60
,1000.0000.2400.52080.040,,Support,,Benefits,"$14,975.81","$9,607.65",,"$15,101.72",,"$24,065.00","$16,880.00","($7,185.00)",(29.86)
,1000.0000.2400.52340.040,,,Retirement,,"$4,288.70","$1,708.90",,,"$4,246.17","$4,801.00","$5,468.00",$667.00,13.89
,1000.0000.2400.52380.040,,,Retirement,,$0.00,,$0.00,,$124.05,$0.00,"$1,956.00","$1,956.00",0.00
,1000.0000.2400.55310.040,,Postage,,,$950.37,,$528.67,,$918.37,"$2,020.00","$1,500.00",($520.00),(25.74)
,1000.0000.2400.55800.040,,Travel,,,$66.58,,$16.24,,$31.59,$300.00,$300.00,$0.00,0.00
,1000.0000.2400.56000.040,,,Supplies,,$968.42,,$0.00,,$51.69,$500.00,$250.00,($250.00),(50.00)
,1000.0000.2400.56400.040,,Admin,Books,,$0.00,,$0.00,,$0.00,$0.00,$100.00,$100.00,0.00
,1000.0000.2400.58100.040,,Dues,& Fees,,$290.00,,$0.00,,$399.00,$450.00,$399.00,($51.00),(11.33)
,1000.0000.2400.58150.040,,,Fingerprinting,Fees,$0.00,,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
Program:,,OVERHEAD - 0000,,,,"$194,761.61","$195,574.79",,"$201,174.94",,"$222,217.00","$224,458.00","$2,241.00",1.01
Function:,SCHOOL,,ADMINISTRATION,-,2400,"$194,761.61","$195,574.79",,"$201,174.94",,"$222,217.00","$224,458.00","$2,241.00",1.01
Cost,Center:,MAST LANDING,- 040,,,"$194,761.61","$195,574.79",,"$201,174.94",,"$222,217.00","$224,458.00","$2,241.00",1.01
,1000.0000.2400.51040.050,,Admin,Salaries,,"$187,602.00","$201,025.11",,"$196,822.52",,"$208,416.00","$208,800.00",$384.00,0.18
,Page,66 of 80,,,,,,,,,,,,
