,,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff,Support- Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,,
Cost,Center:,SYSTEM WIDE,- 900,,"$688,938.10","$625,629.71",,"$899,393.98",,"$1,050,432.22","$1,051,485.00","$1,052.78",0.10
,1000.0000.2213.51010.950,,K-8,HONORARIUM,"$5,049.52",,$59.92,"$23,253.95",,"$15,000.00","$17,010.00","$2,010.00",13.40
,1000.0000.2213.51230.950,,Substitutes,,$0.00,,$0.00,,$0.00,"$5,000.00",$0.00,"($5,000.00)",(100.00)
,1000.0000.2213.51500.950,,New Educator,Mentors K-8,"$103,090.45","$127,809.75",,,"$8,904.00","$38,384.00","$23,265.00","($15,119.00)",(39.39)
,1000.0000.2213.52000.950,,Stipend,Benefits - K-8,$565.46,,$79.34,,$333.48,"$1,919.00","$1,919.00",$0.00,0.00
,1000.0000.2213.52010.950,,K-8,HONORARIUM BENEFITS,"$1,863.98",,$0.00,"$11,243.54",,$750.00,$750.00,$0.00,0.00
,1000.0000.2213.52030.950,,Sub Benefits,,$0.00,,$0.00,,$0.00,$250.00,$0.00,($250.00),(100.00)
,1000.0000.2213.52300.950,,Stipend,Retirement - K-8,$20.37,,$4.99,,$350.68,"$1,597.00","$1,597.00",$0.00,0.00
,1000.0000.2213.52310.950,,K-8,HONORARIUM RETIREMENT,$204.77,,$0.00,,$958.94,$624.00,$624.00,$0.00,0.00
,1000.0000.2213.52330.950,,Retirement,,$0.00,,$0.00,,$0.00,$208.00,$0.00,($208.00),(100.00)
,1000.0000.2213.52510.950,,Tuition,Reimbursement-Prof,"$54,273.65","$53,435.40",,"$62,144.08",,"$47,000.00","$50,400.00","$3,400.00",7.23
,1000.0000.2213.52520.950,,Tuition,Reimbursement-Support,"$2,388.00","$2,289.60",,,$0.00,"$2,700.00","$1,300.00","($1,400.00)",(51.85)
,1000.0000.2213.53000.950,,K-8 Purchased,Professional,"$12,433.05","$51,815.55",,"$43,062.60",,"$46,072.00","$49,900.00","$3,828.00",8.31
,1000.0000.2213.55810.950,,Travel,,$168.05,($168.12),,,$0.00,$250.00,$250.00,$0.00,0.00
,1000.0000.2213.56000.950,,Supplies,,$0.00,,$0.00,,$143.60,"$1,000.00","$1,150.00",$150.00,15.00
,1000.0000.2213.56400.950,,Books,,$0.00,,$28.00,,$0.00,"$1,400.00","$1,400.00",$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$180,057.30","$235,354.43",,"$150,394.87",,"$162,154.00","$149,565.00","($12,589.00)",(7.76)
Function:,,INSTRUCTIONAL,STAFF TRAINING,- 2213,"$180,057.30","$235,354.43",,"$150,394.87",,"$162,154.00","$149,565.00","($12,589.00)",(7.76)
Cost,Center: K-8,- 950,,,"$180,057.30","$235,354.43",,"$150,394.87",,"$162,154.00","$149,565.00","($12,589.00)",(7.76)
,Page 59,of 80,,,,,,,,,,,
