,,,,,RSU,No. 5,,,,,,,
,Article 5,Student and,Staff Support-,Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY25 Adopted,,,,,,,
,,,,,,,,,,FY25,,Dollar,Percent
,,,,FY21,Actual,FY22 Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,
,1000.0000.2213.51500.990,,New Educator Mentors 9-12,,$0.00,$0.00,,$0.00,"$10,176.00","$12,720.00","$2,544.00",,25.00
,Program:,OVERHEAD - 0000,,$0.00,,$0.00,$0.00,"$10,176.00",,"$12,720.00","$2,544.00",,25.00
,Function:,INSTRUCTIONAL,STAFF TRAINING - 2213,$0.00,,$0.00,$0.00,"$10,176.00",,"$12,720.00","$2,544.00",,25.00
Cost,Center: 9-12,- 990,,$0.00,,$0.00,$0.00,"$10,176.00",,"$12,720.00","$2,544.00",,25.00
Grand,Total:,,,,"$2,716,070.25","$3,450,356.55","$3,384,976.28",,"$3,867,554.00","$4,371,246.00","$503,692.00",,13.02
,,,,,End,of Report,,,,,,,
,03/27/2024,,,,,,,,,,,60 of 81,
