,,,,,RSU,No. 5,,,,,,,
FY27,Article,1 Regular,Instruction- Proposed,,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition:,FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,,
,1000.1100.1000.52030.030,,Sub Benefits,"$1,140.15",,,"$1,238.73","$2,327.76",$558.00,"$1,946.00",,"$1,388.00",248.75
,1000.1100.1000.52310.030,,Retirement,"$25,772.12",,,"$26,866.13","$24,892.54","$32,462.00","$29,620.00","($2,842.00)",,(8.75)
,1000.1100.1000.52320.030,,Retirement,"$1,264.76",,,"$1,993.53","$2,019.54","$2,108.00","$2,282.00",,$174.00,8.25
,1000.1100.1000.52330.030,,Retirement,,$31.78,,$216.26,$324.65,$772.00,$462.00,,($310.00),(40.16)
,1000.1100.1000.53400.030,,Professional Services,"$7,622.99",,,"$9,773.92","$10,827.13","$12,967.00","$14,687.00",,"$1,720.00",13.26
,1000.1100.1000.54300.030,,Copiers Repairs/Maint,"$6,657.30",,,"$7,255.50","$6,210.19","$9,700.00","$9,700.00",,$0.00,0.00
,1000.1100.1000.54330.030,,Software,"$4,530.85",,,"$5,780.40","$4,536.33","$5,610.00","$4,636.00",,($974.00),(17.36)
,1000.1100.1000.55800.030,,Travel,"$1,125.55",,,"$1,321.62","$1,395.78","$2,000.00","$1,600.00",,($400.00),(20.00)
,1000.1100.1000.56100.030,,Instructional Supplies,"$18,272.93",,,"$18,749.27","$23,156.76","$18,405.00","$17,990.00",,($415.00),(2.25)
,1000.1100.1000.56110.030,,"Equipment & Furniture,","$1,230.15",,,"$3,532.05","$1,689.16","$2,303.00","$2,620.00",,$317.00,13.76
,,,Instructional,,,,,,,,,,
,1000.1100.1000.56400.030,,Books,"$2,817.18",,,"$3,977.80","$3,184.77","$3,200.00","$3,000.00",,($200.00),(6.25)
,1000.1100.1000.58100.030,,Dues and Fees,,$0.00,,$0.00,$200.00,$200.00,$200.00,,$0.00,0.00
,Program:,ELEMENTARY PROGRAMS,- 1100,"$777,578.30",,"$845,375.74",,"$813,918.87","$1,019,177.00","$970,952.00","($48,225.00)",,(4.73)
,1000.1120.1000.51010.030,,Teacher Salaries,"$113,825.05",,"$119,668.34",,"$126,108.99","$132,314.00","$145,313.00","$12,999.00",,9.82
,1000.1120.1000.51020.030,,Ed Tech Salaries,"$15,491.81",,,"$14,636.95","$14,611.03","$29,432.00","$29,232.00",,($200.00),(0.68)
,1000.1120.1000.52010.030,,Teacher Benefits,"$20,397.30",,,"$21,572.14","$26,999.56","$32,713.00","$35,257.00",,"$2,544.00",7.78
,1000.1120.1000.52020.030,,Ed Tech Benefits,"$13,328.88",,,"$4,650.61",$370.36,"$5,537.00","$8,023.00",,"$2,486.00",44.90
,1000.1120.1000.52310.030,,Retirement,"$11,528.32",,,"$6,065.38","$5,459.94","$5,914.00","$6,495.00",,$581.00,9.82
,1000.1120.1000.52320.030,,Retirement,$601.29,,,$565.10,$653.12,"$1,316.00","$1,411.00",,$95.00,7.22
,Program: K-2,INSTRUCTION - 1120,,"$175,172.65",,"$167,158.52",,"$174,203.00","$207,226.00","$225,731.00","$18,505.00",,8.93
,,,,,Page,7 of 89,,,,,,,
