,,,,,,,RSU,No.,5,,,,,,
Article,5,Student,and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2130.53000.020,,,Purchased Professional,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2130.54310.020,,,Repairs & Maintenance,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,1000.0000.2130.56000.020,,,Supplies,,$975.00,$0.00,,$975.00,$0.00,$0.00,$975.00,$456.96,$518.04,53.13%
,1000.0000.2130.58100.020,,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$99,062.00",$0.00,"$99,062.00",,$0.00,$0.00,"$99,062.00","$80,944.08","$18,117.92",18.29%
,,,Function:,HEALTH,SERVICES - 2130,"$99,062.00",$0.00,"$99,062.00",,$0.00,$0.00,"$99,062.00","$80,944.08","$18,117.92",18.29%
,1000.0000.2213.51500.020,,,Stipends-Acad,Leadership and LCC,"$15,030.00",$0.00,"$15,030.00",,$0.00,$0.00,"$15,030.00",$0.00,"$15,030.00",100.00%
,1000.0000.2213.52000.020,,,Stipend Benefits -,MSS,$236.00,$0.00,,$236.00,$0.00,$0.00,$236.00,$0.00,$236.00,100.00%
,1000.0000.2213.52300.020,,,Stipend Retirement,- MSS,$623.00,$0.00,,$623.00,$0.00,$0.00,$623.00,$0.00,$623.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$15,889.00",$0.00,"$15,889.00",,$0.00,$0.00,"$15,889.00",$0.00,"$15,889.00",100.00%
,Function:,,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$15,889.00",$0.00,"$15,889.00",,$0.00,$0.00,"$15,889.00",$0.00,"$15,889.00",100.00%
,1000.0000.2220.51010.020,,,Librarian Salary,,"$38,654.00",$0.00,"$38,654.00",,$0.00,$0.00,"$38,654.00",$0.00,"$38,654.00",100.00%
,1000.0000.2220.51020.020,,,Ed Tech Salaries,,"$12,776.00",$0.00,"$12,776.00",,$0.00,$0.00,"$12,776.00","$19,402.50","($6,626.50)",-51.87%
,1000.0000.2220.52010.020,,,Librarian Benefits,,"$15,198.00",$0.00,"$15,198.00",,$0.00,$0.00,"$15,198.00","$1,750.00","$13,448.00",88.49%
,1000.0000.2220.52020.020,,,Library Ed Tech,Benefit,"$4,429.00",$0.00,"$4,429.00",,$0.00,$0.00,"$4,429.00",$0.00,"$4,429.00",100.00%
,1000.0000.2220.52310.020,,,Retirement,,"$1,872.00",$0.00,"$1,872.00",,$0.00,$0.00,"$1,872.00",$0.00,"$1,872.00",100.00%
,1000.0000.2220.52320.020,,,Retirement,,$571.00,$0.00,,$571.00,$0.00,$0.00,$571.00,$0.00,$571.00,100.00%
,1000.0000.2220.54330.020,,,Software,,"$1,320.00",$0.00,"$1,320.00",,"$1,319.05","$1,319.05",$0.95,$0.00,$0.95,0.07%
,1000.0000.2220.56100.020,,,Instructional Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2220.56400.020,,,Books,,"$6,846.00",$0.00,"$6,846.00",,$0.00,$0.00,"$6,846.00",$0.00,"$6,846.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$82,016.00",$0.00,"$82,016.00",,"$1,319.05","$1,319.05","$80,696.95","$21,152.50","$59,544.45",72.60%
,,,Function:,LIBRARY,SERVICES - 2220,"$82,016.00",$0.00,"$82,016.00",,"$1,319.05","$1,319.05","$80,696.95","$21,152.50","$59,544.45",72.60%
,,,Cost,Center: MORSE,STREET - 020,"$338,801.00",$0.00,"$338,801.00",,"$1,319.05","$1,319.05","$337,481.95","$199,611.54","$137,870.41",40.69%
,1000.0000.2120.51010.030,,,Guidance Salaries,,"$40,321.00",$0.00,"$40,321.00",,$0.00,$0.00,"$40,321.00","$40,321.33",($0.33),0.00%
,1000.0000.2120.52010.030,,,Benefits,,"$6,587.00",$0.00,"$6,587.00",,$0.00,$0.00,"$6,587.00",$0.00,"$6,587.00",100.00%
,1000.0000.2120.52310.030,,,Retirement,,"$1,953.00",$0.00,"$1,953.00",,$0.00,$0.00,"$1,953.00",$0.00,"$1,953.00",100.00%
,1000.0000.2120.53000.030,,,Purchased Professional,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,1000.0000.2120.54330.030,,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.56100.030,,,Supplies,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2120.56400.030,,,Books,,$150.00,$0.00,,$150.00,$0.00,$0.00,$150.00,$0.00,$150.00,100.00%
,1000.0000.2120.58100.030,,,Dues & Fees,,$276.00,$0.00,,$276.00,$0.00,$0.00,$276.00,$0.00,$276.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$50,071.00",$0.00,"$50,071.00",,$0.00,$0.00,"$50,071.00","$40,321.33","$9,749.67",19.47%
,,,,,,,Page,25 of,44,,,,,,
