,,,,,RSU,No.,5,,,,,
Article,2,Special,Education- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.2500.2330.51040.900,,Admin Salaries,"$128,978.98","$136,213.02",,"$140,837.68",,"$136,873.00","$126,000.00","($10,873.00)",(7.94)
,1000.2500.2330.51180.900,,Support Wages,"$47,660.85","$51,839.29",,"$52,079.65",,"$55,080.00","$53,040.00","($2,040.00)",(3.70)
,1000.2500.2330.51230.900,,Substitutes,$0.00,"$38,214.28",,,$0.00,"$15,000.00",$0.00,"($15,000.00)",(100.00)
,1000.2500.2330.52010.900,,Instructional Strategist,"Benefits $11,664.91","$6,907.35",,"$35,279.24",,"$41,666.00","$34,071.00","($7,595.00)",(18.23)
,1000.2500.2330.52030.900,,Sub Benefits,$0.00,,$76.88,,$0.00,$750.00,$0.00,($750.00),(100.00)
,1000.2500.2330.52040.900,,Admin Benefits,"$6,324.46","$4,452.26",,,"$9,004.30","$9,679.00","$18,114.00","$8,435.00",87.15
,1000.2500.2330.52080.900,,Support Benefits,"$17,785.41","$19,924.26",,"$22,128.95",,"$23,099.00","$22,240.00",($859.00),(3.72)
,1000.2500.2330.52310.900,,Retirement,"$5,213.00","$1,243.02",,,"$9,522.47","$5,693.00","$11,285.00","$5,592.00",98.23
,1000.2500.2330.52330.900,,Retirement,$0.00,,$512.59,,$0.00,$624.00,$0.00,($624.00),(100.00)
,1000.2500.2330.52340.900,,Retirement,"$5,365.62","$2,096.80",,,"$5,637.10",$0.00,"$5,857.00","$5,857.00",0.00
,1000.2500.2330.52380.900,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$2,652.00","$2,652.00",0.00
,1000.2500.2330.53000.900,,Legal,$0.00,,$0.00,,$0.00,$0.00,"$15,000.00","$15,000.00",0.00
,1000.2500.2330.53400.900,,Contracted Services,$60.00,,$0.00,"$13,056.91",,$0.00,$0.00,$0.00,0.00
,1000.2500.2330.53401.900,,Admin Purchased Services,$0.00,,$0.00,,$0.00,$0.00,"$15,000.00","$15,000.00",0.00
,1000.2500.2330.53440.900,,Purchased Professional,"$8,636.84","$1,678.25",,,"$8,024.95","$15,000.00",$0.00,"($15,000.00)",(100.00)
,1000.2500.2330.55310.900,,Postage,$95.78,,$89.26,,$4.45,"$2,000.00","$2,000.00",$0.00,0.00
,1000.2500.2330.55350.900,,Adori Special Ed Software,$0.00,,$0.00,,$0.00,$0.00,"$3,200.00","$3,200.00",0.00
,1000.2500.2330.55800.900,,Travel,"$1,086.60","$2,023.79",,,"$4,227.18","$10,000.00","$6,000.00","($4,000.00)",(40.00)
,1000.2500.2330.56000.900,,Supplies,"$4,277.11",,$76.13,,"$1,070.16","$1,300.00","$4,300.00","$3,000.00",230.77
,1000.2500.2330.58100.900,,Dues & Fees,"$1,403.76",,$210.82,,$0.00,$600.00,$650.00,$50.00,8.33
,1000.2500.2330.59000.900,,Contingency,$0.00,,$0.00,,$0.00,"$40,000.00","$40,000.00",$0.00,0.00
Program:,,ADMINISTRATION,- 2500,"$364,104.02","$482,097.46",,"$534,809.14",,"$608,429.00","$611,880.00","$3,451.00",0.57
Function:,SPECIAL,AREA,ADMINISTRATION - 2330,"$364,104.02","$482,097.46",,"$534,809.14",,"$608,429.00","$611,880.00","$3,451.00",0.57
Cost,Center:,SYSTEM WIDE,- 900,"$364,104.02","$482,097.46",,"$534,809.14",,"$608,429.00","$705,675.00","$97,246.00",15.98
,Page 28,of 80,,,,,,,,,,
