,1000.0000.2620.54300.900,,,Purchased Repair,"$5,128",,"$35,400",,"$45,999","$47,550","$37,950","($9,600)",(20.19)
,1000.0000.2620.55800.900,,Travel,,"$5,738",,"$4,850",,"$2,593","$8,050","$8,050",$0,0.00
,1000.0000.2620.56000.900,,Supplies,,"$52,489",,"$45,066",,"$43,156","$45,881","$55,981","$10,100",22.01
,1000.0000.2620.57300.900,,,Equipment,"$6,290",,"$1,558",,$880,"$37,000","$37,000",$0,0.00
Function:,,MAINTENANCE OF,BUILDINGS,- 2620,"$456,656","$535,397",,,"$553,738","$626,173","$581,764","($44,409)",(7.09)
,,,,,,RSU,No.,5,,,,,
,Article 9,Operations &,Maintenance,- - Adopted,,,,,,,,,
From,Date:,7/1/2022,To Date:,6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY23,Adopted,,
,Account,,Description,,,,,,,,,,
,1000.0000.2670.55900.900,,Crossing Guards,,$0,,$0,,$0,$0,"$1,400","$1,400",0.00
,Function: Safety,- 2670,,,$0,,$0,,$0,$0,"$1,400","$1,400",0.00
,1000.0000.2680.58310.300,,Principal-High,School Renovation,"$904,960","$905,000",,,"$905,000","$905,000","$900,000","($5,000)",(0.55)
,1000.0000.2680.58310.900,,Prinicpal-Central,Office Purchase,"$12,500",,"$12,500",,"$11,250","$11,250",$0,"($11,250)",(100.00)
,1000.0000.2680.58320.300,,Interest-High School,Renovation,"$507,265","$461,975",,,"$416,745","$371,475","$327,425","($44,050)",(11.86)
,1000.0000.2680.58320.900,,Interest-Central,Office Purchase,"$2,063",,"$1,438",,$844,$281,$0,($281),(100.00)
,Function: CAPITAL,ENHANCEMENT,& IMPROVEMENT,-,"$1,426,787","$1,380,913",,"$1,333,839",,"$1,288,006","$1,227,425","($60,581)",(4.70)
2680,,,,,,,,,,,,,
,1000.0000.2690.54300.900,,Capital Renewal/Track,Replacement,$0,,"$70,000",,"$35,000","$35,000","$35,000",$0,0.00
,1000.0000.2690.54500.900,,Capital Renewal/Tennis,Courts Replacement,$0,,$0,,$0,"$30,000","$40,000","$10,000",33.33
,1000.0000.2690.58310.010,,Principal-Durham,Roof,"$40,000",,$0,,$0,$0,$0,$0,0.00
,1000.0000.2690.58310.900,,Capital Improvements,,"$439,453","$350,315",,,"$399,802","$467,000","$400,000","($67,000)",(14.35)
,1000.0000.2690.58320.010,,Interest-Durham,Roof,$273,,$0,,$0,$0,$0,$0,0.00
,Function: CAPITAL,RENEWAL,& RENOVATION,- 2690,"$479,726","$420,315",,,"$434,802","$532,000","$475,000","($57,000)",(10.71)
Grand,Total:,,,,"$4,972,765","$4,837,274",,"$4,592,031",,"$5,077,270","$5,100,233","$22,964",0.45
,,,,,,End,of Report,,,,,,
,,,,,,RSU,No.,5,,,,,
,Article 10,Debt Service,-,- Adopted,,,,,,,,,
From,Date:,7/1/2022,,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY23,Adopted,,
,Account,,,Description,,,,,,,,,
,1000.0000.5100.58310.900,,,Principal Payments-State,"Supported De$b1t,139,734","$1,139,734",,"$1,139,734",,"$995,302","$995,302",$0,0.00
,1000.0000.5100.58320.900,,Interest,Payments-State Supported,"Debt$473,415","$442,022",,,"$287,512","$213,647","$186,301","($27,346)",(12.80)
Grand,Total:,,,,"$1,613,148","$1,581,756",,"$1,427,246",,"$1,208,949","$1,181,603","($27,346)",(2.26)
,,,,,,End,of Report,,,,,,
