,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance - -,Adopted,,,,,,,,
From,Date:,7/1/2022,,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY23,Adopted,,
Account,,,,Description,,,,,,,,,
,1000.0000.2600.56220.020,,,Electricity,"$27,376",,"$24,508",,"$24,335","$26,583","$25,973",($610),(2.29)
,1000.0000.2600.56220.030,,,Electricity,"$14,765",,"$14,120",,"$14,523","$12,583","$13,123",$540,4.29
,1000.0000.2600.56220.040,,,Electricity,"$30,151",,"$23,244",,"$22,943","$27,356","$26,366",($990),(3.62)
,1000.0000.2600.56220.050,,,Electricity,"$30,284",,"$33,636",,"$30,452","$33,583","$33,300",($283),(0.84)
,1000.0000.2600.56220.300,,,Electricity,"$53,560",,"$58,541",,"$51,988","$66,973","$60,642","($6,331)",(9.45)
,1000.0000.2600.56220.941,,,Electricity,"$2,895",,"$2,653",,"$2,775","$3,000","$3,000",$0,0.00
,1000.0000.2600.56240.010,,Heating,Fuel,"$8,187",,"$22,151",,"$11,825","$13,000","$13,000",$0,0.00
,1000.0000.2600.56240.020,,Heating,Fuel,"$43,662",,"$25,912",,"$40,436","$38,553","$41,000","$2,447",6.35
,1000.0000.2600.56240.030,,Heating,Fuel,"$25,278",,"$16,786",,"$19,265","$26,000","$28,000","$2,000",7.69
,1000.0000.2600.56240.040,,Heating,Fuel,"$37,434",,"$24,590",,"$27,889","$37,500","$39,500","$2,000",5.33
,1000.0000.2600.56240.050,,Heating,Fuel,"$48,300",,"$29,172",,"$40,868","$48,802","$50,802","$2,000",4.10
,1000.0000.2600.56240.300,,Heating,Fuel,"$89,751",,"$55,845",,"$68,213","$90,000","$92,000","$2,000",2.22
,1000.0000.2600.56240.941,,Heating,Fuel,"$4,431",,"$3,065",,"$3,217","$5,000","$5,000",$0,0.00
Function:,OPERATION,OF,PLANT -,2600,"$2,609,595","$2,500,649",,"$2,269,652",,"$2,631,090","$2,814,644","$183,554",6.98
,1000.0000.2620.51180.900,,Salaries,,"$248,679","$301,356",,,"$347,667","$341,702","$317,304","($24,398)",(7.14)
,1000.0000.2620.52080.900,,Benefits,,"$100,558","$131,510",,,"$109,230","$140,850","$120,339","($20,511)",(14.56)
,1000.0000.2620.53000.900,,,Purchased Professional,"$37,774",,"$15,659",,"$4,214","$5,140","$5,140",$0,0.00
