,,Freeport High,School,,
,,2025-2026,Class Size,,
,Department,# of,Students,# of Sections,Class Size (Range)
,Choices / Life Skills,,9,6,4 - 7
Drama,,,71,6,3 - 23
,Endeavor,,28,9,5 - 11
,English,,654,40,5 - 25
Fine,Arts,,178,14,8 - 20
Health,/ PE,,326,27,8 - 22
JMG,/ Videography,,71,6,6 - 14
Math,,,623,42,5 - 23
Music,,,153,13,3 - 34
Morse,Street Pre-apprenticeship,,64,12,5 - 8
,Science,,603*,41,7 - 21
Social,Studies,,602,35,10 - 23
World,Language,,292,23,7 - 18
*does,not include lab sections,,,,
