,,,,,,RSU,No.,5,,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2110.51010.010,,Social Worker Salaries,,"$38,631.00",$0.00,"$38,631.00",,$90.00,$90.00,"$38,541.00","$38,630.76",($89.76),-0.23%
,1000.0000.2110.52010.010,,Social Worker Benefits,,"$14,908.00",$0.00,"$14,908.00",,$0.97,$0.97,"$14,907.03",$0.00,"$14,907.03",99.99%
,1000.0000.2110.52310.010,,Social Worker,Retirement,"$1,859.00",$0.00,"$1,859.00",,$4.02,$4.02,"$1,854.98",$0.00,"$1,854.98",99.78%
,,,Program:,OVERHEAD - 0000,"$55,398.00",$0.00,"$55,398.00",,$94.99,$94.99,"$55,303.01","$38,630.76","$16,672.25",30.10%
,,Function:,Attendance & Social,Work - 2110,"$55,398.00",$0.00,"$55,398.00",,$94.99,$94.99,"$55,303.01","$38,630.76","$16,672.25",30.10%
,1000.0000.2120.51010.010,,Guidance Salaries,,"$90,759.00",$0.00,"$90,759.00",,$0.00,$0.00,"$90,759.00","$75,001.20","$15,757.80",17.36%
,1000.0000.2120.52010.010,,Benefits,,"$43,455.00",$0.00,"$43,455.00",,$0.00,$0.00,"$43,455.00",$0.00,"$43,455.00",100.00%
,1000.0000.2120.52310.010,,Retirement,,"$6,665.00",$0.00,"$6,665.00",,$0.00,$0.00,"$6,665.00",$0.00,"$6,665.00",100.00%
,1000.0000.2120.53000.010,,Professional Services,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2120.54330.010,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.55810.010,,Travel - Guidance,,$200.00,$0.00,,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
,1000.0000.2120.56100.010,,Supplies,,$525.00,$0.00,,$525.00,$0.00,$0.00,$525.00,$0.00,$525.00,100.00%
,1000.0000.2120.58100.010,,Dues & Fees,,$608.00,$0.00,,$608.00,$0.00,$0.00,$608.00,$0.00,$608.00,100.00%
,,,Program:,OVERHEAD - 0000,"$142,846.00",$0.00,"$142,846.00",,$0.00,$0.00,"$142,846.00","$75,001.20","$67,844.80",47.50%
,,,Function: COUNSELING,- 2120,"$142,846.00",$0.00,"$142,846.00",,$0.00,$0.00,"$142,846.00","$75,001.20","$67,844.80",47.50%
,1000.0000.2130.51010.010,,Nurse Salary,,"$75,001.00",$0.00,"$75,001.00",,$0.00,$0.00,"$75,001.00","$75,001.20",($0.20),0.00%
,1000.0000.2130.52010.010,,Nurse Benefits,,"$24,231.00",$0.00,"$24,231.00",,$0.00,$0.00,"$24,231.00",$0.00,"$24,231.00",100.00%
,1000.0000.2130.52310.010,,Retirement,,"$3,587.00",$0.00,"$3,587.00",,$0.00,$0.00,"$3,587.00",$0.00,"$3,587.00",100.00%
,1000.0000.2130.53000.010,,Professional Services,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2130.54310.010,,Repairs & Maintenance,,$135.00,$0.00,,$135.00,$0.00,$0.00,$135.00,$0.00,$135.00,100.00%
,1000.0000.2130.56000.010,,Supplies,,"$1,437.00",$0.00,"$1,437.00",,$0.00,$0.00,"$1,437.00",$698.82,$738.18,51.37%
,1000.0000.2130.58100.010,,Dues & Fees,,$130.00,$0.00,,$130.00,$0.00,$0.00,$130.00,$0.00,$130.00,100.00%
,,,Program:,OVERHEAD - 0000,"$104,821.00",$0.00,"$104,821.00",,$0.00,$0.00,"$104,821.00","$75,700.02","$29,120.98",27.78%
,,,Function: HEALTH,SERVICES - 2130,"$104,821.00",$0.00,"$104,821.00",,$0.00,$0.00,"$104,821.00","$75,700.02","$29,120.98",27.78%
,1000.0000.2213.51500.010,,Stipends-Acad,Leadership and LCC,"$31,482.00",$0.00,"$31,482.00",,$0.00,$0.00,"$31,482.00",$0.00,"$31,482.00",100.00%
,1000.0000.2213.52000.010,,Stipend Benefits -,DCS,$532.00,$0.00,,$532.00,$0.00,$0.00,$532.00,$0.00,$532.00,100.00%
,1000.0000.2213.52300.010,,Stipend Retirement,- DCS,"$1,407.00",$0.00,"$1,407.00",,$0.00,$0.00,"$1,407.00",$0.00,"$1,407.00",100.00%
,,,Program:,OVERHEAD - 0000,"$33,421.00",$0.00,"$33,421.00",,$0.00,$0.00,"$33,421.00",$0.00,"$33,421.00",100.00%
,Function:,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$33,421.00",$0.00,"$33,421.00",,$0.00,$0.00,"$33,421.00",$0.00,"$33,421.00",100.00%
,1000.0000.2220.51010.010,,Librarian Salary,,"$95,441.00",$0.00,"$95,441.00",,$240.00,$240.00,"$95,201.00","$78,283.43","$16,917.57",17.73%
,1000.0000.2220.51020.010,,Ed Tech Salaries,,"$19,165.00",$0.00,"$19,165.00",,$0.00,$0.00,"$19,165.00","$12,935.00","$6,230.00",32.51%
,1000.0000.2220.52010.010,,Librarian Benefits,,"$27,719.00",$0.00,"$27,719.00",,$50.01,$50.01,"$27,668.99",$0.00,"$27,668.99",99.82%
,,,,,,Page,23 of,44,,,,,,
,,,,,,RSU,No.,5,,,,,,
,Article 5,Student,and Staff,Support- Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2220.52020.010,,Ed Tech Salaries,,"$6,644.00",$0.00,"$6,644.00",,$0.00,$0.00,"$6,644.00",$0.00,"$6,644.00",100.00%
,1000.0000.2220.52310.010,,Retirement,,"$4,622.00",$0.00,"$4,622.00",,$10.73,$10.73,"$4,611.27",$0.00,"$4,611.27",99.77%
,1000.0000.2220.52320.010,,Ed Tech Retirement,,$857.00,$0.00,,$857.00,$0.00,$0.00,$857.00,$0.00,$857.00,100.00%
