,,,,,RSU,No. 5,,,,,,,
FY27,Article,4 Other,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,Description,,,,,,,,,
,1000.9500.1000.51500.300,,,Stipends,"$70,001.42","$73,499.36",,"$81,904.23","$105,262.00","$106,762.00",,"$1,500.00",1.43
,1000.9500.1000.52000.300,,,Stipend Benefits,"$10,785.59","$10,468.60",,"$13,476.63","$3,537.00","$3,587.00",,$50.00,1.41
,1000.9500.1000.52300.300,,,Retirement,"$2,395.63",,"$2,913.45","$3,237.74","$4,705.00","$4,772.00",,$67.00,1.42
,1000.9500.1000.53400.300,,,Co-Curricular Purch,$0.00,,"$4,205.00","$4,372.00","$4,377.00","$4,000.00",,($377.00),(8.61)
,,,,Professional,,,,,,,,,
,1000.9500.1000.55800.300,,,Co-Curricular Travel,$0.00,,$0.00,$276.10,$200.00,$300.00,,$100.00,50.00
,1000.9500.1000.56100.300,,,Instructional Supplies,"$5,535.00",,"$2,482.48","$2,905.42","$2,770.00","$2,320.00",,($450.00),(16.25)
,1000.9500.1000.58100.300,,,Dues and Fees,"$8,961.48",,"$8,974.44","$10,102.84","$10,865.00","$11,627.00",,$762.00,7.01
Program:,,CO-CURRICULAR,9-12 - 9500,,"$97,679.12","$102,543.33",,"$116,274.96","$131,716.00","$133,368.00",,"$1,652.00",1.25
,1000.9600.1000.51500.300,,,Stipends-Coaches,"$148,772.29","$152,571.98",,"$158,971.85","$180,688.00","$180,688.00",,$0.00,0.00
,1000.9600.1000.52000.300,,,Stipend Benefits,"$15,866.11","$15,498.78",,"$18,113.72","$6,071.00","$6,071.00",,$0.00,0.00
,1000.9600.1000.52300.300,,,Retirement,"$2,977.92",,"$3,479.58","$3,321.58","$8,077.00","$8,077.00",,$0.00,0.00
,1000.9600.1000.53000.300,,,Game Officials,"$43,524.05","$46,762.12",,"$46,823.52","$59,524.00","$60,670.00",,"$1,146.00",1.93
,1000.9600.1000.55000.300,,,Purchased Services,"$35,208.98","$13,791.57",,"$13,160.75","$15,711.00","$15,303.00",,($408.00),(2.60)
,1000.9600.1000.55800.300,,,Travel,$572.07,,$625.05,$888.23,"$1,270.00","$1,270.00",,$0.00,0.00
,1000.9600.1000.56000.300,,,Supplies,"$41,746.31","$42,052.64",,"$50,632.62","$48,044.00","$53,292.00",,"$5,248.00",10.92
,1000.9600.1000.56100.300,,,Instructional Supplies,$0.00,,$0.00,$115.11,$0.00,$0.00,,$0.00,0.00
,1000.9600.1000.58100.300,,,Dues and Fees,"$46,310.95","$49,969.41",,"$52,061.75","$54,260.00","$65,133.00","$10,873.00",,20.04
Program:,,EXTRA-CURRICULAR,9-12 - 9600,,"$334,978.68","$324,751.13",,"$344,089.13","$373,645.00","$390,504.00","$16,859.00",,4.51
Function:,REGULAR,INSTRUCTION,- 1000,,"$436,385.58","$435,568.53",,"$466,995.66","$514,727.00","$534,510.00","$19,783.00",,3.84
,,,,,Page,43 of 89,,,,,,,
