,,,,,,,,,RSU No.,5,,,,,,,,
,Article,7 School,,Administration-,,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,Description,,,,,,,,,,,,
,,1000.0000.2400.51040.050,,Admin,Salaries,,,"$201,025.11",,"$196,822.52","$216,645.70",,"$208,800.00",,"$236,686.00","$27,886.00",,13.36
,,1000.0000.2400.51180.050,,Support,Wages,,,"$85,005.23",,"$77,230.76","$76,650.07",,"$73,487.00",,"$74,964.00","$1,477.00",,2.01
,,1000.0000.2400.52040.050,,Admin,Benefits,,,"$33,758.93",,"$40,722.68","$40,576.97",,"$54,875.00",,"$59,442.00","$4,567.00",,8.32
,,1000.0000.2400.52080.050,,Support,Benefits,,,"$13,186.95",,"$23,337.59","$23,272.81",,"$39,280.00",,"$27,655.00","($11,625.00)",,(29.60)
,,1000.0000.2400.52340.050,,,Retirement,,,"$3,083.70",,"$7,694.70","$8,273.10",,"$9,707.00",,"$10,270.00",,$563.00,5.80
,,1000.0000.2400.52380.050,,,Retirement,,,$0.00,,"$2,219.90","$3,794.39",,"$3,932.00",,"$3,748.00",($184.00),,(4.68)
,,1000.0000.2400.53400.050,,Other,Professional,Services,,$0.00,,$0.00,,$0.00,,$0.00,$240.00,,$240.00,0.00
,,1000.0000.2400.55310.050,,Postage,,,,$706.57,,$922.44,"$2,115.27",,"$2,020.00",,"$2,020.00",,$0.00,0.00
,,1000.0000.2400.55800.050,,Travel,,,,$189.10,,$333.87,$390.08,,$810.00,,$810.00,,$0.00,0.00
,,1000.0000.2400.56000.050,,Supplies,,,,$502.37,,$469.58,$494.47,,$500.00,,$500.00,,$0.00,0.00
,,1000.0000.2400.58100.050,,Dues,& Fees,,,$0.00,,$736.00,$340.00,,$900.00,,$900.00,,$0.00,0.00
,,1000.0000.2400.58150.050,,,Fingerprinting,Fees - FMS,,$0.00,,$70.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD,- 0000,,,,"$337,457.96","$350,560.04",,"$372,552.86",,"$394,311.00",,"$417,235.00",,"$22,924.00",,5.81
,Function:,SCHOOL,,ADMINISTRATION,- 2400,,"$337,457.96","$350,560.04",,"$372,552.86",,"$394,311.00",,"$417,235.00",,"$22,924.00",,5.81
Cost,Center:,,FREEPORT,MIDDLE,SCHOOL -,050,"$337,457.96","$350,560.04",,"$372,552.86",,"$394,311.00",,"$417,235.00",,"$22,924.00",,5.81
,,1000.0000.2400.51040.300,,Admin,Salaries,,,"$229,411.83",,"$225,067.52","$239,736.00",,"$239,136.00",,"$262,268.00","$23,132.00",,9.67
,,1000.0000.2400.51180.300,,Support,Wages,,,"$113,072.35",,"$116,016.44","$125,863.97",,"$105,399.00",,"$123,286.00","$17,887.00",,16.97
,,1000.0000.2400.52040.300,,Admin,Benefits,,,"$46,547.83",,"$51,015.19","$50,056.72",,"$65,073.00",,"$66,885.00","$1,812.00",,2.78
,,1000.0000.2400.52080.300,,Support,Benefits,,,"$15,000.75",,"$45,415.10","$41,607.46",,"$58,195.00",,"$34,073.00","($24,122.00)",,(41.45)
,,03/27/2024,,,,,,,,,,,,,,,67 of 81,
