,,,,,,,RSU No.,5,,,,,,,,
,Article 4,Other,Instruction-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,,,
,1000.9100.1000.51180.010,,Support,Wages - DCS,,$0.00,,"$1,208.75",$228.75,,,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.51500.010,,Stipends,,,"$26,116.20",,"$26,004.00","$33,146.19",,"$30,030.00",,"$28,236.00","($1,794.00)",,(5.97)
,1000.9100.1000.52000.010,,Benefits,,,$193.49,,"$1,716.17","$5,078.01",,"$1,762.00",,$477.00,"($1,285.00)",,(72.93)
,1000.9100.1000.52080.010,,Support,Benefits - DCS,,$0.00,,$23.21,,$2.48,,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.52300.010,,Retirement,,,$0.00,,$879.57,"$1,064.00",,"$1,321.00",,"$1,262.00",,($59.00),(4.47)
,1000.9100.1000.52380.010,,Retirement,for Regular Employees,,$0.00,,$46.30,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.56000.010,,Supplies,,,$0.00,,$100.00,$726.65,,"$1,250.00",,"$1,250.00",,$0.00,0.00
,1000.9100.1000.58100.010,,Dues &,Fees,,$0.00,,$752.00,$810.00,,"$1,409.00",,"$1,322.00",,($87.00),(6.17)
,Program:,CO-CURRICULAR,K-8 - 9100,,"$26,309.69",,"$30,730.00","$41,056.08",,"$35,772.00",,"$32,547.00",,"($3,225.00)",,(9.02)
,1000.9200.1000.51500.010,,,EXTRA-CURRICULAR STIPENDS,- DCS,$0.00,,"$31,736.00","$4,090.00",,"$33,975.00",,"$37,330.00","$3,355.00",,9.87
,1000.9200.1000.52000.010,,EXTRA-CURR,STIPEND BENEFITS,,$0.00,,"$2,292.50",$872.53,,$802.00,,$631.00,($171.00),,(21.32)
,1000.9200.1000.52300.010,,EXTRA-CURR,STIPEND,RETIREMENT,$0.00,,$315.18,$157.06,,"$1,609.00",,"$1,669.00",,$60.00,3.73
,Program:,EXTRA-CURRICULAR,K-8 -,9200,$0.00,,"$34,343.68","$5,119.59",,"$36,386.00",,"$39,630.00",,"$3,244.00",,8.92
,Function: REGULAR,INSTRUCTION,-,1000,"$26,309.69",,"$65,073.68","$46,175.67",,"$72,158.00",,"$72,177.00",,$19.00,,0.03
Cost,Center:,DURHAM,COMMUNITY -,010,"$26,309.69",,"$65,073.68","$46,175.67",,"$72,158.00",,"$72,177.00",,$19.00,,0.03
,1000.9100.1000.51500.020,,Stipends,Paid,,$0.00,,"$1,272.00",,$0.00,"$1,272.00",,"$1,422.00",,$150.00,11.79
,1000.9100.1000.52000.020,,Employee,Benefits,,$0.00,,$31.21,,$0.00,,$30.00,$24.00,,($6.00),(20.00)
,1000.9100.1000.52300.020,,Retirement,- Stipends,,$0.00,,$48.88,,$0.00,,$57.00,$64.00,,$7.00,12.28
,Program:,CO-CURRICULAR,K-8 - 9100,,$0.00,,"$1,352.09",,$0.00,"$1,359.00",,,"$1,510.00",$151.00,,11.11
,03/27/2024,,,,,,,,,,,,,,33 of 81,
