,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
Function:,Attendance,& Social,Work,- 2110,,"$24,509.51","$116,359.31",,"$114,442.15","$116,593.00","$120,599.00",,"$4,006.00",3.44
,1000.0000.2120.51010.300,,,,Counselor Salaries,"$258,254.98","$226,304.45",,"$249,286.76","$264,579.00","$285,278.00","$20,699.00",,7.82
,1000.0000.2120.51180.300,,,,Guidance Support Wages,"$36,717.30","$65,449.10",,"$65,410.89","$69,921.00","$64,517.00","($5,404.00)",,(7.73)
,1000.0000.2120.52010.300,,,,Counselor Benefits,"$67,664.84","$53,659.91",,"$66,775.62","$101,077.00","$108,676.00",,"$7,599.00",7.52
,1000.0000.2120.52080.300,,,,Support Benefits,"$9,650.49","$16,826.60",,"$18,411.66","$31,267.00","$35,268.00",,"$4,001.00",12.80
,1000.0000.2120.52310.300,,,,Retirement,"$9,847.15","$10,197.05",,"$11,103.36","$11,827.00","$12,752.00",,$925.00,7.82
,1000.0000.2120.52380.300,,,,Retirement,$0.00,,$0.00,$0.00,"$3,496.00","$3,484.00",,($12.00),(0.34)
,1000.0000.2120.53000.300,,,,Purchased Professional,"$13,457.50","$14,882.59",,"$10,961.32","$24,602.00","$17,686.00","($6,916.00)",,(28.11)
,1000.0000.2120.54330.300,,,,Software,$333.33,,$333.33,$275.35,$334.00,$500.00,,$166.00,49.70
,1000.0000.2120.55810.300,,,,Travel,$200.00,,$348.40,$851.84,$900.00,"$1,200.00",,$300.00,33.33
,1000.0000.2120.56100.300,,,,Instructional Supplies,$543.01,,$849.71,$574.70,"$1,750.00","$1,750.00",,$0.00,0.00
,1000.0000.2120.58100.300,,,,Dues & Fees,$0.00,,$0.00,$0.00,$510.00,$510.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$396,668.60","$388,851.14",,"$423,651.50","$510,263.00","$531,621.00","$21,358.00",,4.19
Function:,,COUNSELING -,2120,,,"$396,668.60","$388,851.14",,"$423,651.50","$510,263.00","$531,621.00","$21,358.00",,4.19
,1000.0000.2130.51010.300,,,,Nurse Salary,"$70,172.49","$73,228.08",,"$84,058.93","$91,021.00","$97,392.00",,"$6,371.00",7.00
,1000.0000.2130.51200.300,,,,Nurse Substitute - FHS,$0.00,,$972.69,"$4,813.54",$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52000.300,,,,Employee Benefits,$0.00,,$40.91,$430.95,$0.00,$0.00,,$0.00,0.00
,,,,,,Page,59 of 89,,,,,,,
