,,,,,RSU,No. 5,,,,,,,,
Article 1,Regular,Instruction-,Adopted,,,,,,,,,,,
From Date:,7/1/2023,To,Date: 6/30/2024,Definition:,FY25,Adopted,,,,,,,,
,,,,,,,,,,,FY25,,Dollar,Percent
,,,,FY21 Actual,,FY22,Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
Account,,,Description,,,,,,,,,,,
1000.1100.1000.51010.010,,Teacher,Salary,"$1,921,742.54",,"$1,791,633.18",,"$1,965,610.00",,"$2,179,945.00","$2,198,951.00","$19,006.00",,0.87
1000.1100.1000.51020.010,,Ed Tech,Salaries,"$127,074.41",,"$65,723.52",,"$75,146.85",,"$86,896.00","$100,925.00","$14,029.00",,16.14
1000.1100.1000.51230.010,,Salaries-Subs,,"$151,065.34",,"$97,265.92",,"$62,373.20",,"$65,000.00","$72,475.00","$7,475.00",,11.50
1000.1100.1000.51500.010,,Stipends,,"$3,045.47",,,$0.00,,$0.00,$0.00,"$1,080.00","$1,080.00",,0.00
1000.1100.1000.52000.010,,Stipend,Benefit,,$4.17,,$0.00,,$0.00,$0.00,$18.00,,$18.00,0.00
1000.1100.1000.52010.010,,Teacher,Benefits,"$112,489.65",,"$435,854.42",,"$401,404.08",,"$525,027.00","$741,268.00","$216,241.00",,41.19
1000.1100.1000.52020.010,,Ed Tech,Benefits,"$15,543.29",,"$24,178.63",,"$17,238.34",,"$57,114.00","$52,669.00","($4,445.00)",,(7.78)
1000.1100.1000.52030.010,,Benefits-Subs,,$145.72,,,"$5,111.41","$4,620.41",,"$1,007.00","$5,544.00","$4,537.00",,450.55
1000.1100.1000.52300.010,,Retirement,,,$0.00,,$0.00,,$0.00,$0.00,$48.00,,$48.00,0.00
1000.1100.1000.52310.010,,Retirement,,"$17,764.62",,"$65,209.60",,"$82,760.72",,"$97,444.00","$102,563.00","$5,119.00",,5.25
1000.1100.1000.52320.010,,Retirement,,$997.74,,,"$1,445.91","$2,894.17",,"$4,156.00","$4,511.00",,$355.00,8.54
1000.1100.1000.52330.010,,Retirement,,$819.61,,,"$2,115.59",$170.10,,"$2,704.00","$5,118.00","$2,414.00",,89.28
1000.1100.1000.53400.010,,Professional,Services,"$11,369.64",,"$19,209.98",,"$18,774.05",,"$23,538.00","$28,671.00","$5,133.00",,21.81
1000.1100.1000.54300.010,,Copiers-,Equipment Maint,"$15,303.48",,"$10,625.64",,"$9,254.83",,"$15,600.00","$15,600.00",,$0.00,0.00
1000.1100.1000.54330.010,,Software,,"$1,313.13",,,"$6,123.43","$6,373.46",,"$8,038.00","$6,251.00","($1,787.00)",,(22.23)
1000.1100.1000.55800.010,,Travel,,$326.84,,,$700.81,"$2,243.34",,"$2,000.00","$2,000.00",,$0.00,0.00
1000.1100.1000.56100.010,,Supplies,,"$48,047.68",,"$53,211.22",,"$60,288.67",,"$66,208.00","$77,449.00","$11,241.00",,16.98
1000.1100.1000.56110.010,,Equipment,"& Furniture, Instructional",,$0.00,,$0.00,,$0.00,$0.00,"$11,788.00","$11,788.00",,0.00
1000.1100.1000.56400.010,,Books,,"$9,515.23",,"$10,643.60",,"$12,184.34",,"$15,800.00","$15,400.00",($400.00),,(2.53)
1000.1100.1000.57300.010,,Equipment,,"$20,356.46",,,"$5,740.17","$8,100.47",,"$7,285.00",$0.00,"($7,285.00)",,(100.00)
1000.1100.1000.58100.010,,Dues & Fees,,$409.00,,,$169.00,$200.00,,$585.00,$472.00,($113.00),,(19.32)
Program:,ELEMENTARY,PROGRAMS -,1100,"$2,457,334.02","$2,594,962.03",,"$2,729,637.03",,"$3,158,347.00","$3,442,801.00",,"$284,454.00",,9.01
,03/27/2024,,,,,,,,,,,,3 of 81,
