,,,,,,Final FY22 Version,,,,,,
43,,Cost Center:,020 - MORSE STREET,,,,,,,,,
44,1000-1100-1000-51010-020,,Teacher Salary,"778,209.00","893,772.17","917,849.00","969,013.73","905,498.00","1,010,888.55","1,066,763.08","161,265.08",17.81%
45,1000-1100-1000-51020-020,,Ed Tech Salaries,"74,299.00","58,288.81","93,857.00","73,048.06","72,363.00","90,226.13","84,749.52","12,386.52",17.12%
46,1000-1100-1000-51230-020,,Substitute Wages,"10,000.00","26,473.52","10,000.00","31,345.19","15,000.00","3,266.54","30,000.00","15,000.00",100.00%
47,1000-1100-1000-51500-020,,Stipends,"7,500.00",0.00,"7,725.00",0.00,"11,730.00",0.00,"13,900.00","2,170.00",18.50%
48,1000-1100-1000-52000-020,,Stipend Benefits,375.00,0.00,386.00,0.00,229.00,0.00,229.00,0.00,0.00%
49,1000-1100-1000-52010-020,,Teacher Benefits,"248,606.00","220,844.64","246,886.00","235,748.36","237,112.00","47,084.08","293,631.19","56,519.19",23.84%
50,1000-1100-1000-52020-020,,Ed Tech Benefits,"29,291.00","14,903.71","35,522.00","16,720.99","23,840.00","3,426.27","9,393.23","-14,446.77",-60.60%
51,1000-1100-1000-52030-020,,Substitute Benefits,500.00,"2,535.68",500.00,"1,642.63",293.00,7.46,534.50,241.50,82.42%
52,1000-1100-1000-52300-020,,Retirement,298.00,0.00,321.00,0.00,488.00,0.00,488.00,0.00,0.00%
53,1000-1100-1000-52310-020,,Retirement,"30,895.00","35,531.46","38,183.00","40,191.09","37,669.00","8,167.50","45,249.86","7,580.86",20.12%
54,1000-1100-1000-52320-020,,Retirement,"2,950.00","2,317.42","3,904.00","2,791.34","3,131.00",761.89,"3,146.13",15.13,0.48%
55,1000-1100-1000-52330-020,,Retirement,397.00,287.32,416.00,60.62,624.00,0.00,"1,248.00",624.00,100.00%
56,1000-1100-1000-53400-020,,Professional Servics,"4,980.00","4,330.67","6,920.00","2,462.77","5,610.00","1,553.33","7,630.00","2,020.00",36.01%
57,1000-1100-1000-54300-020,,Copiers-Equipment Maint,"10,800.00","10,219.38","10,800.00","8,907.57","10,800.00","7,367.29","11,026.80",226.80,2.10%
58,1000-1100-1000-54330-020,,Software,500.00,0.00,500.00,0.00,200.00,0.00,"6,275.00","6,075.00",3037.50%
59,1000-1100-1000-55800-020,,Travel,600.00,434.38,350.00,402.11,540.00,22.69,540.00,0.00,0.00%
60,1000-1100-1000-56100-020,,Instructional Supplies,"38,531.00","37,922.06","42,344.00","32,219.50","49,826.00","20,319.04","47,731.00","-2,095.00",-4.20%
61,1000-1100-1000-56400-020,,BOOKS,"6,775.00","6,777.30","8,469.00","5,937.65","8,469.00","6,599.88","16,307.00","7,838.00",92.55%
62,1000-1100-1000-57300-020,,Equipment,"11,231.00","11,239.49","11,231.00","10,939.76","18,230.00","9,818.41","9,730.00","-8,500.00",-46.63%
,,,Totals,"1,256,737.00","1,325,878.01","1,436,163.00","1,431,431.37","1,401,652.00","1,209,509.06","1,648,572.31","246,920.31",17.62%
63,,Cost Center:,030 - POWNAL ELEMENTARY,,,,,,,,,
64,1000-1100-1000-51010-030,,Teacher Salaries,"417,301.00","417,118.32","386,992.00","387,444.12","444,344.00","644,368.08","537,454.37","93,110.37",20.95%
65,1000-1100-1000-51020-030,,Ed Tech Salaries,"12,231.00","15,392.81","30,990.00","15,580.47","35,818.00","18,115.20","40,947.93","5,129.93",14.32%
66,1000-1100-1000-51230-030,,Sub Salaries,"16,500.00","53,264.60","16,500.00","4,258.96","30,000.00","4,025.67","20,000.00","-10,000.00",-33.33%
67,1000-1100-1000-51500-030,,Stipends,"6,300.00",0.00,"6,489.00",0.00,"4,572.00",0.00,"4,572.00",0.00,0.00%
68,1000-1100-1000-52000-030,,Stipend Benefits,315.00,0.00,324.00,0.00,89.00,0.00,89.00,0.00,0.00%
69,1000-1100-1000-52010-030,,Teacher Benefits,"126,977.00","104,055.70","98,850.00","110,243.61","118,742.00","30,328.00","165,277.71","46,535.71",39.19%
70,1000-1100-1000-52020-030,,Ed Tech Benefits,"10,265.00","8,741.59","9,439.00","6,644.38","11,305.00","2,952.41","5,061.60","-6,243.40",-55.23%
71,1000-1100-1000-52030-030,,Sub Benefits,825.00,"9,846.62",825.00,176.93,585.00,4.03,314.00,-271.00,-46.32%
72,1000-1100-1000-52300-030,,Retirement,250.00,0.00,270.00,0.00,190.00,0.00,190.00,0.00,0.00%
73,1000-1100-1000-52310-030,,Retirement,"16,567.00","15,113.15","16,099.00","15,341.89","18,485.00","3,863.87","20,233.82","1,748.82",9.46%
74,1000-1100-1000-52320-030,,Retirement,486.00,618.51,"1,289.00",669.81,"1,550.00",88.75,"1,703.44",153.44,9.90%
75,1000-1100-1000-52330-030,,Retirement,655.00,"1,432.95",686.00,141.09,"1,248.00",10.16,832.00,-416.00,-33.33%
76,1000-1100-1000-53400-030,,Professional Services,"3,000.00","2,937.38","9,110.00","6,772.02","9,450.00",832.33,"8,750.00",-700.00,-7.41%
77,1000-1100-1000-54300-030,,Copiers Repairs/Maint,"9,700.00","3,703.48","9,700.00","1,980.35","8,000.00","1,568.78","8,168.00",168.00,2.10%
78,1000-1100-1000-54330-030,,Software,0.00,0.00,0.00,0.00,500.00,0.00,"5,853.00","5,353.00",1070.60%
79,1000-1100-1000-55800-030,,Travel,"1,500.00","1,245.40","1,100.00","1,108.72","1,370.00",460.76,"1,100.00",-270.00,-19.71%
80,1000-1100-1000-56100-030,,Instructional Supplies,"18,442.00","17,972.12","18,785.00","18,666.61","19,254.00","11,521.48","18,167.00","-1,087.00",-5.65%
81,1000-1100-1000-56400-030,,Books,"3,537.00","3,378.12","3,537.00","2,193.62","3,387.00","2,767.57","2,371.00","-1,016.00",-30.00%
82,1000-1100-1000-57300-030,,Equipment,"12,331.00","12,458.85","7,900.00","4,088.95","5,715.00","1,375.04","7,315.29","1,600.29",28.00%
83,1000-1100-1000-58100-030,,Dues and Fees,0.00,0.00,0.00,0.00,210.00,0.00,210.00,0.00,0.00%
84,1000-1100-1000-59000-030,,Experiential Education,"5,070.00","5,004.99",0.00,0.00,0.00,0.00,0.00,0.00,0.00%
,,,Totals,"662,252.00","672,284.59","618,885.00","575,311.53","714,814.00","722,282.13","848,610.16","133,796.16",18.72%
,,,,2019 2019,2020,2020,2021,2021,2022,,,
,,,,Total Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$ Diff,% Diff,Notes
85,,Cost Center:,040 - MAST LANDING,,,,,,,,,
86,1000-1100-1000-51010-040,,Teacher Salaries,"1,059,055.00","1,182,361.54","1,120,179.00","1,151,488.93","1,229,538.00","1,484,977.00","1,262,123.06","32,585.06",2.65%
87,1000-1100-1000-51020-040,,Ed Tech Salaries,0.00,0.00,"22,015.00","70,349.86","22,018.00","43,031.00","33,530.11","11,512.11",52.28%
88,1000-1100-1000-51230-040,,Substitute Wages,"20,000.00","27,707.68","20,000.00","22,319.86","30,000.00","15,349.47","60,000.00","30,000.00",100.00%
89,1000-1100-1000-52010-040,,Teacher Benefits,"348,469.00","302,462.13","277,546.00","272,388.55","301,807.00","61,638.04","309,264.26","7,457.26",2.47%
90,1000-1100-1000-52020-040,,Ed Tech Benefits,0.00,0.00,"10,115.00","18,864.07","6,296.00","1,481.36",517.59,"-5,778.41",-91.78%
91,1000-1100-1000-52030-040,,Substitute Benefits,"1,000.00","1,590.43","1,000.00",848.22,585.00,225.40,"1,044.00",459.00,78.46%
92,1000-1100-1000-52310-040,,Retirement,"42,045.00","47,914.08","46,599.00","45,464.33","51,149.00","9,772.16","48,048.84","-3,100.16",-6.06%
93,1000-1100-1000-52320-040,,Retirement,0.00,0.00,916.00,"2,887.90",953.00,4.89,"1,040.93",87.93,9.23%
94,1000-1100-1000-52330-040,,Retirement,794.00,456.24,832.00,418.23,"1,248.00",156.32,"2,496.00","1,248.00",100.00%
95,1000-1100-1000-53400-040,,Purchased Professional,"15,190.00","14,256.83","14,585.00","6,374.00","14,635.00","2,784.63","15,913.80","1,278.80",8.74%
96,1000-1100-1000-54300-040,,Copiers Repair/Maint,"11,500.00","9,512.52","11,500.00","8,921.09","11,500.00","3,953.92","11,741.50",241.50,2.10%
97,1000-1100-1000-54330-040,,Software,500.00,0.00,500.00,0.00,500.00,17.99,"3,890.00","3,390.00",678.00%
98,1000-1100-1000-55800-040,,Travel,300.00,"1,222.86",300.00,"1,730.88","1,420.00",88.56,570.00,-850.00,-59.86%
99,1000-1100-1000-56100-040,,Instructional Supplies,"35,951.00","35,386.09","37,668.00","27,099.97","34,168.00","9,191.85","35,065.80",897.80,2.63%
,,,,,,2 of 24,,,,,,
