,,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction- Adopted,,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
,1000.4900.1000.51502.050,,GaTE Music Advisor,Stipend - FMS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52001.050,,GaTE Art Stipend,Benefits - FMS,$0.00,,$0.00,,$21.02,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52002.050,,GaTE Music Advisor,Benefits - FMS,$0.00,,$0.00,,$20.72,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52301.050,,GaTE Art Stipend,Retirement - FMS,$0.00,,$0.00,,$48.84,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52302.050,,GaTE Music Advisor,Retirement - FMS,$0.00,,$0.00,,$48.76,$0.00,$0.00,$0.00,0.00
Program:,GIFTED,& TALENTED,- 4900,,$0.00,,$0.00,,"$2,683.34",$0.00,$0.00,$0.00,0.00
Function:,REGULAR,INSTRUCTION,- 1000,,"$2,508,030.45","$2,170,573.72",,"$2,423,178.18",,"$2,608,693.68","$2,848,550.00","$239,856.32",9.19
Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,,"$2,508,030.45","$2,170,573.72",,"$2,423,178.18",,"$2,608,693.68","$2,848,550.00","$239,856.32",9.19
,1000.1200.1000.51010.300,,Teacher Salaries,,"$2,690,866.22","$2,941,303.20",,"$2,877,812.11",,"$3,047,678.00","$3,157,132.00","$109,454.00",3.59
,1000.1200.1000.51020.300,,Ed Tech Salaries,,"$171,639.32","$168,633.52",,"$101,930.34",,"$118,487.00","$96,274.00","($22,213.00)",(18.75)
,1000.1200.1000.51230.300,,Substitute Wages,,"$58,933.18","$46,359.25",,"$58,146.50",,"$60,000.00","$60,000.00",$0.00,0.00
,1000.1200.1000.51500.300,,Stipends,,"$5,708.00","$3,173.07",,,$648.00,"$23,610.00",$0.00,"($23,610.00)",(100.00)
,1000.1200.1000.52000.300,,Stipend Benefits,,$85.45,,$1.18,,$10.79,$419.31,$0.00,($419.31),(100.00)
,1000.1200.1000.52010.300,,Teacher Benefits,,"$616,867.38","$173,760.03",,"$633,677.97",,"$653,221.00","$724,910.00","$71,689.00",10.97
,1000.1200.1000.52020.300,,Ed Tech Benefits,,"$57,825.68","$24,878.49",,"$32,585.31",,"$44,159.00","$31,867.00","($12,292.00)",(27.84)
,1000.1200.1000.52030.300,,Substitute Benefits,,"$2,450.48",,$157.34,,"$3,701.89","$3,498.00","$3,498.00",$0.00,0.00
,1000.1200.1000.52300.300,,Retirement,,$12.49,,$0.00,,$24.89,$299.52,$300.00,$0.48,0.16
,1000.1200.1000.52310.300,,Retirement,,"$114,086.67","$27,685.15",,"$113,936.18",,"$126,863.00","$141,324.00","$14,461.00",11.40
,1000.1200.1000.52320.300,,Retirement,,"$6,396.76",,$981.65,,"$3,415.15","$4,662.00","$4,531.00",($131.00),(2.81)
,1000.1200.1000.52330.300,,Retirement,,"$1,372.75",,$35.57,,"$1,360.27","$2,496.00","$2,496.00",$0.00,0.00
,1000.1200.1000.53000.300,,School Resource,Officer,"$32,104.80","$32,966.40",,"$32,666.40",,"$31,830.00","$35,000.00","$3,170.00",9.96
,Page 9,of 80,,,,,,,,,,,
